Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-11,Monday,20:36:00,Above High,5139.0,5138.5,5134.0,5139.25,5094.75,21:09:00,Crossed Below Low,5133.75,,
2024-03-12,Tuesday,20:39:00,Below Low,5177.75,5181.0,5178.0,5183.0,5112.75,,,,,
2024-03-13,Wednesday,21:43:00,Above High,5174.75,5174.5,5170.0,5183.75,5153.0,03:03:00,,,Crossed Above High,5182.0
2024-03-14,Thursday,20:53:00,Above High,5156.25,5155.5,5147.5,5189.5,5124.25,09:46:00,Crossed Below Low,5168.75,,
2024-03-17,Sunday,21:05:00,Above High,5187.5,5187.25,5181.75,5194.75,5183.25,,,,,
2024-03-18,Monday,20:46:00,Below Low,5205.75,5210.75,5207.0,5240.25,5192.0,23:40:00,,,Crossed Above High,5212.25
2024-03-19,Tuesday,21:13:00,Below Low,5236.0,5240.75,5236.25,5244.75,5186.0,,,,,
2024-03-20,Wednesday,20:38:00,Below Low,5299.75,5304.0,5300.0,5307.0,5233.0,03:12:00,,,Crossed Above High,5240.75
2024-03-20,Wednesday,20:38:00,Below Low,5299.75,5304.0,5300.0,5307.0,5233.0,22:31:00,,,Crossed Above High,5304.0
2024-03-21,Thursday,20:47:00,Below Low,5307.75,5311.0,5308.5,5322.75,5299.0,,,,,
2024-03-24,Sunday,21:13:00,Below Low,5290.75,5294.75,5291.0,5295.0,5287.5,,,,,
2024-03-25,Monday,20:35:00,Above High,5286.0,5285.5,5282.0,5293.0,5272.5,,,,,
2024-03-26,Tuesday,20:47:00,Above High,5276.75,5276.25,5273.75,5300.5,5263.0,15:29:00,Crossed Below Low,5280.75,,
2024-03-27,Wednesday,20:59:00,Above High,5307.75,5307.5,5302.5,5311.5,5270.75,10:12:00,Crossed Below Low,5273.5,,
