Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,5138.5,5134.0,5139.25,5094.75,4.5,18.0,1.125,20:36:00,5139.0,Above Opening High,20:37:00,5139.0,Above Opening High,0.004864523033516564,0.0625,0.004864523033516564,0.0625,2024-03-11,21:09:00,Crossed Below Opening Range Low,5133.75,,
2024-03-12,Tuesday,Win,5181.0,5178.0,5183.0,5112.75,3.0,12.0,0.75,20:39:00,5177.75,Below Opening Low,20:40:00,5177.5,Below Opening Low,1.2713314752334848,16.25,1.2664417387902793,16.1875,2024-03-13,03:03:00,,,Crossed Above Opening Range High,5182.0
2024-03-13,Wednesday,Win,5174.5,5170.0,5183.75,5153.0,4.5,18.0,1.125,21:43:00,5174.75,Above Opening High,21:45:00,5175.25,Above Opening High,0.17361948396431157,2.25,0.16397395707740536,2.125,2024-03-14,09:46:00,Crossed Below Opening Range Low,5168.75,,
2024-03-14,Thursday,Win,5155.5,5147.5,5189.5,5124.25,8.0,32.0,2.0,20:53:00,5156.25,Above Opening High,20:54:00,5155.75,Above Opening High,0.6407168320647462,8.3125,0.6503516716446671,8.4375,2024-03-15,01:44:00,Crossed Below Opening Range Low,5147.5,,
2024-03-17,Sunday,Loss,5187.25,5181.75,5194.75,5183.25,5.5,22.0,1.375,21:05:00,5187.5,Above Opening High,21:11:00,5188.25,Above Opening High,0.13956398286731797,1.8125,0.12512632946725058,1.625,2024-03-18,23:40:00,,,Crossed Above Opening Range High,5212.25
2024-03-18,Monday,Win,5210.75,5207.0,5240.25,5192.0,3.75,15.0,0.9375,20:46:00,5205.75,Below Opening Low,20:47:00,5205.25,Below Opening Low,0.26483050847457623,3.4375,0.2552003081664098,3.3125,2024-03-20,03:12:00,,,Crossed Above Opening Range High,5240.75
2024-03-19,Tuesday,Win,5240.75,5236.25,5244.75,5186.0,4.5,18.0,1.125,21:13:00,5236.0,Below Opening Low,21:18:00,5235.75,Below Opening Low,0.9641342074816814,12.5,0.9593135364442731,12.4375,2024-03-20,22:31:00,,,Crossed Above Opening Range High,5304.0
2024-03-20,Wednesday,Win,5304.0,5300.0,5307.0,5233.0,4.0,16.0,1.0,20:38:00,5299.75,Below Opening Low,21:06:00,5299.75,Below Opening Low,1.2755589527995415,16.6875,1.2755589527995415,16.6875,2024-03-22,06:44:00,,,Crossed Above Opening Range High,5311.0
2024-03-21,Thursday,Loss,5311.0,5308.5,5322.75,5299.0,2.5,10.0,0.625,20:47:00,5307.75,Below Opening Low,20:48:00,5308.0,Below Opening Low,0.16512549537648613,2.1875,0.16984336667295716,2.25,2024-03-26,15:29:00,Crossed Below Opening Range Low,5280.75,,
2024-03-24,Sunday,Loss,5294.75,5291.0,5295.0,5287.5,3.75,15.0,0.9375,21:13:00,5290.75,Below Opening Low,22:17:00,5289.5,Below Opening Low,0.061465721040189124,0.8125,0.037825059101654845,0.5,2024-03-27,10:12:00,Crossed Below Opening Range Low,5273.5,,
2024-03-25,Monday,Win,5285.5,5282.0,5293.0,5272.5,3.5,14.0,0.875,20:35:00,5286.0,Above Opening High,20:41:00,5286.25,Above Opening High,0.1322501416965804,1.75,0.12752692235027394,1.6875,2024-03-28,05:20:00,Crossed Below Opening Range Low,5302.25,,
2024-03-26,Tuesday,Win,5276.25,5273.75,5300.5,5263.0,2.5,10.0,0.625,20:47:00,5276.75,Above Opening High,20:49:00,5276.75,Above Opening High,0.4480709367040845,5.9375,0.4480709367040845,5.9375,2024-04-02,01:19:00,Crossed Below Opening Range Low,5285.5,,
2024-03-27,Wednesday,Loss,5307.5,5302.5,5311.5,5270.75,5.0,20.0,1.25,20:59:00,5307.75,Above Opening High,22:02:00,5326.75,Below Opening Low,0.07060152499293985,0.9375,0.03286384976525821,0.4375,2024-04-03,08:06:00,,,Crossed Above Opening Range High,5260.75
2024-03-31,Sunday,Win,5333.5,5327.25,5330.0,5325.0,6.25,25.0,1.5625,21:44:00,5327.0,Below Opening Low,22:55:00,5292.25,Above Opening High,0.03755868544600939,0.5,0.7176360225140713,9.5625,2024-04-04,23:58:00,,,Crossed Above Opening Range High,5205.25
