Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,2100.0,2097.800048828125,2114.10009765625,2070.0,2.199951171875,21.99951171875,0.2199951171875,20:37:00,2100.300048828125,Above Opening High,20:45:00,2097.699951171875,Below Opening Low,0.6527623192215031,1.3800048828125,1.3381618923611112,2.7699951171875,2024-03-11,20:45:00,Crossed Below Opening Range Low,2097.699951171875,,
2024-03-12,Tuesday,Win,2089.300048828125,2087.199951171875,2109.199951171875,2073.60009765625,2.10009765625,21.0009765625,0.210009765625,20:41:00,2086.39990234375,Below Opening Low,20:41:00,2086.39990234375,Below Opening Low,0.6172745025411298,1.27998046875,0.6172745025411298,1.27998046875,2024-03-13,03:03:00,,,Crossed Above Opening Range High,2089.39990234375
2024-03-13,Wednesday,Win,2099.699951171875,2096.199951171875,2105.89990234375,2084.5,3.5,35.0,0.35,23:39:00,2096.0,Below Opening Low,23:39:00,2096.0,Below Opening Low,0.5516910530103142,1.15,0.5516910530103142,1.15,2024-03-14,02:59:00,,,Crossed Above Opening Range High,2099.800048828125
2024-03-14,Thursday,Win,2056.60009765625,2053.800048828125,2106.300048828125,2040.300048828125,2.800048828125,28.00048828125,0.2800048828125,20:38:00,2056.800048828125,Above Opening High,20:38:00,2056.800048828125,Above Opening High,2.350092524924934,4.95,2.350092524924934,4.95,2024-03-15,09:28:00,Crossed Below Opening Range Low,2051.60009765625,,
2024-03-17,Sunday,Win,2063.60009765625,2060.60009765625,2066.0,2061.300048828125,3.0,30.0,0.3,21:36:00,2064.0,Above Opening High,21:38:00,2063.699951171875,Above Opening High,0.0968054211035818,0.2,0.11132859768272023,0.2300048828125,2024-03-18,09:39:00,Crossed Below Opening Range Low,2057.5,,
2024-03-18,Monday,Win,2049.199951171875,2047.800048828125,2076.39990234375,2044.5999755859375,1.39990234375,13.9990234375,0.139990234375,20:46:00,2047.4000244140625,Below Opening Low,20:47:00,2047.199951171875,Below Opening Low,0.1369484917127893,0.2800048828125,0.12716304494684366,0.25999755859375,2024-03-18,23:40:00,,,Crossed Above Opening Range High,2049.5
2024-03-19,Tuesday,Win,2059.10009765625,2056.800048828125,2065.699951171875,2032.4000244140625,2.300048828125,23.00048828125,0.2300048828125,21:13:00,2056.699951171875,Below Opening Low,21:14:00,2056.60009765625,Below Opening Low,1.1956271632509021,2.42999267578125,1.190714079486608,2.42000732421875,2024-03-20,10:26:00,,,Crossed Above Opening Range High,2059.60009765625
2024-03-20,Wednesday,Win,2110.5,2105.5,2112.5,2047.699951171875,5.0,50.0,0.5,20:35:00,2105.300048828125,Below Opening Low,20:38:00,2104.89990234375,Below Opening Low,2.8129168838083984,5.760009765625,2.7933756182950598,5.7199951171875,2024-03-20,23:10:00,,,Crossed Above Opening Range High,2110.89990234375
2024-03-21,Thursday,Win,2129.199951171875,2127.199951171875,2132.60009765625,2104.699951171875,2.0,20.0,0.2,20:37:00,2129.39990234375,Above Opening High,20:37:00,2129.39990234375,Above Opening High,0.150060731780752,0.32001953125,0.150060731780752,0.32001953125,2024-03-21,21:55:00,Crossed Below Opening Range Low,2127.10009765625,,
2024-03-24,Sunday,Win,2096.699951171875,2093.699951171875,2096.39990234375,2093.0,3.0,30.0,0.3,20:41:00,2093.39990234375,Below Opening Low,20:45:00,2093.5,Below Opening Low,0.019106657608695652,0.039990234375,0.023889154323936932,0.05,2024-03-25,09:13:00,,,Crossed Above Opening Range High,2097.10009765625
2024-03-25,Monday,Win,2105.0,2102.800048828125,2111.89990234375,2089.199951171875,2.199951171875,21.99951171875,0.2199951171875,20:35:00,2105.39990234375,Above Opening High,20:36:00,2105.39990234375,Above Opening High,0.30777973865079555,0.65,0.30777973865079555,0.65,2024-03-25,23:40:00,Crossed Below Opening Range Low,2102.800048828125,,
2024-03-26,Tuesday,Loss,2098.800048828125,2097.300048828125,2118.199951171875,2091.5,1.5,15.0,0.15,20:36:00,2098.89990234375,Above Opening High,20:37:00,2099.0,Above Opening High,0.911153303419133,1.9300048828125,0.9064277034494689,1.9199951171875,2024-03-28,06:26:00,,,Crossed Above Opening Range High,2137.89990234375
2024-03-27,Wednesday,Loss,2137.800048828125,2133.800048828125,2139.60009765625,2099.60009765625,4.0,40.0,0.4,23:00:00,2133.60009765625,Below Opening Low,23:00:00,2133.60009765625,Below Opening Low,1.6193559925032228,3.4,1.6193559925032228,3.4,2024-04-02,01:19:00,Crossed Below Opening Range Low,2121.60009765625,,
2024-03-31,Sunday,Win,2165.89990234375,2162.300048828125,2164.0,2159.89990234375,3.599853515625,35.99853515625,0.3599853515625,21:34:00,2162.0,Below Opening Low,21:34:00,2162.0,Below Opening Low,0.09723124918757312,0.210009765625,0.09723124918757312,0.210009765625,2024-04-04,04:30:00,,,Crossed Above Opening Range High,2107.800048828125
2024-04-01,Monday,Loss,2125.199951171875,2122.0,2164.60009765625,2119.5,3.199951171875,31.99951171875,0.3199951171875,22:34:00,2125.300048828125,Above Opening High,22:35:00,2125.300048828125,Above Opening High,1.8155801097245472,3.9300048828125,1.8155801097245472,3.9300048828125,2024-04-05,01:08:00,,,Crossed Above Opening Range High,2079.60009765625
2024-04-02,Tuesday,Win,2086.300048828125,2081.10009765625,2129.39990234375,2072.10009765625,5.199951171875,51.99951171875,0.5199951171875,20:34:00,2100.39990234375,Below Opening Low,21:04:00,2100.10009765625,Below Opening Low,1.4833044352391527,3.0699951171875,1.4688190173248195,3.0400146484375,2024-04-08,08:17:00,,,Crossed Above Opening Range High,2090.800048828125
2024-04-03,Wednesday,Win,2107.5,2100.5,2102.800048828125,2069.699951171875,7.0,70.0,0.7,20:36:00,2075.89990234375,Below Opening Low,20:37:00,2074.199951171875,Below Opening Low,0.3334897217858869,0.689990234375,0.25132678452754953,0.5199951171875,2024-04-09,01:08:00,,,Crossed Above Opening Range High,2093.0
2024-04-04,Thursday,Loss,2079.60009765625,2076.300048828125,2123.800048828125,2069.0,3.300048828125,33.00048828125,0.3300048828125,20:31:00,2079.199951171875,Below Opening Low,20:33:00,2078.39990234375,Below Opening Low,0.17343675786534815,0.3599853515625,0.13489133531365294,0.27998046875,2024-04-09,21:30:00,Crossed Below Opening Range Low,2101.5,,
2024-04-07,Sunday,Loss,2090.60009765625,2079.699951171875,2083.0,2075.60009765625,10.900146484375,109.00146484375,1.0900146484375,20:51:00,2091.0,Below Opening Low,20:51:00,2091.0,Below Opening Low,0.8245382352795757,1.710009765625,0.8245382352795757,1.710009765625,2024-04-11,04:49:00,Crossed Below Opening Range Low,2036.699951171875,,
2024-04-08,Monday,Win,2092.89990234375,2091.199951171875,2101.699951171875,2073.89990234375,1.699951171875,16.99951171875,0.1699951171875,20:31:00,2104.0,Above Opening High,20:31:00,2104.0,Above Opening High,0.1281602142902753,0.2699951171875,0.1281602142902753,0.2699951171875,2024-04-12,05:09:00,Crossed Below Opening Range Low,2053.89990234375,,
2024-04-09,Tuesday,Loss,2103.800048828125,2101.800048828125,2106.699951171875,2080.89990234375,2.0,20.0,0.2,21:46:00,2041.5,Above Opening High,21:49:00,2041.5,Above Opening High,3.420382588608965,7.2300048828125,3.420382588608965,7.2300048828125,2024-04-16,14:09:00,,,Crossed Above Opening Range High,1993.300048828125
2024-04-10,Wednesday,Loss,2041.300048828125,2036.9000244140625,2113.800048828125,2027.800048828125,4.4000244140625,44.000244140625,0.44000244140625,20:43:00,2057.89990234375,Above Opening High,20:50:00,2058.0,Above Opening High,0.28105097472292107,0.5800048828125,0.27620057696072897,0.5699951171875,2024-04-16,22:32:00,,,Crossed Above Opening Range High,1990.300048828125
2024-04-11,Thursday,Win,2057.800048828125,2054.5,2063.699951171875,2016.0999755859375,3.300048828125,33.00048828125,0.3300048828125,21:08:00,1987.699951171875,Below Opening Low,21:09:00,1987.699951171875,Below Opening Low,0.3331470227283944,0.65999755859375,0.3331470227283944,0.65999755859375,2024-04-17,21:01:00,,,Crossed Above Opening Range High,1965.699951171875
2024-04-14,Sunday,Win,2034.699951171875,2025.199951171875,2032.9000244140625,2025.5,9.5,95.0,0.95,20:31:00,1985.5999755859375,Below Opening Low,20:32:00,1984.5,Below Opening Low,1.0329174300848871,2.02999267578125,0.9769475751717203,1.9199951171875,2024-04-19,07:44:00,,,Crossed Above Opening Range High,1956.699951171875
2024-04-15,Monday,Win,1991.800048828125,1988.0999755859375,2035.699951171875,1981.0999755859375,3.7000732421875,37.000732421875,0.37000732421875,20:54:00,1963.699951171875,Below Opening Low,20:54:00,1963.699951171875,Below Opening Low,0.28087019390989937,0.55,0.28087019390989937,0.55,2024-04-22,02:18:00,,,Crossed Above Opening Range High,1973.800048828125
2024-04-16,Tuesday,Loss,1990.300048828125,1985.9000244140625,1994.699951171875,1965.300048828125,4.4000244140625,44.000244140625,0.44000244140625,20:52:00,1948.300048828125,Below Opening Low,20:55:00,1948.5,Below Opening Low,1.6805006864185579,3.22000732421875,1.690936006830994,3.24000244140625,2024-04-22,21:42:00,Crossed Below Opening Range Low,1982.0,,
2024-04-17,Wednesday,Loss,1965.699951171875,1964.0,2000.699951171875,1958.199951171875,1.699951171875,16.99951171875,0.1699951171875,20:39:00,1968.0,Below Opening Low,20:40:00,1966.5999755859375,Below Opening Low,0.12210136568337424,0.24000244140625,0.050875051506952935,0.1,2024-04-24,02:30:00,Crossed Below Opening Range Low,2014.4000244140625,,
2024-04-18,Thursday,Win,1956.4000244140625,1948.699951171875,1987.4000244140625,1916.0999755859375,7.7000732421875,77.000732421875,0.77000732421875,20:48:00,1985.0999755859375,Above Opening High,20:49:00,1985.0999755859375,Above Opening High,0.4063804828599975,0.80999755859375,0.4063804828599975,0.80999755859375,2024-04-25,08:30:00,Crossed Below Opening Range Low,2003.5,,
2024-04-21,Sunday,Win,1973.5,1969.0,1971.800048828125,1965.5999755859375,4.5,45.0,0.45,23:44:00,2018.9000244140625,Above Opening High,20:33:00,2009.699951171875,Above Opening High,0.24211998694731943,0.49000244140625,0.4644739691307723,0.94000244140625,2024-04-25,21:11:00,Crossed Below Opening Range Low,1984.9000244140625,,
2024-04-22,Monday,Loss,1984.9000244140625,1982.0999755859375,1993.199951171875,1958.800048828125,2.800048828125,28.00048828125,0.2800048828125,20:32:00,2009.9000244140625,Above Opening High,20:36:00,1988.5,Above Opening High,0.45564614348554977,0.9199951171875,1.797833156705914,3.6300048828125,2024-04-30,03:43:00,,,Crossed Above Opening Range High,2025.699951171875
2024-04-23,Tuesday,Win,2018.5999755859375,2015.199951171875,2023.800048828125,1974.0,3.4000244140625,34.000244140625,0.34000244140625,20:35:00,1988.5,Above Opening High,21:57:00,2022.5,Below Opening Low,1.7927720245331902,3.6300048828125,0.37220843672456577,0.75,2024-05-01,03:45:00,Crossed Below Opening Range Low,1979.800048828125,,
2024-04-24,Wednesday,Loss,2009.5999755859375,2005.0,2019.0999755859375,1993.4000244140625,4.5999755859375,45.999755859375,0.45999755859375,20:59:00,2022.5,Below Opening Low,21:27:00,1984.0999755859375,Above Opening High,0.37220843672456577,0.75,2.0660140437602457,4.2,2024-05-02,09:49:00,Crossed Below Opening Range Low,1999.5999755859375,,
2024-04-25,Thursday,Win,1988.199951171875,1985.0,2024.800048828125,1965.699951171875,3.199951171875,31.99951171875,0.3199951171875,21:21:00,1983.9000244140625,Above Opening High,20:52:00,2004.9000244140625,Above Opening High,2.0828168244595626,4.2199951171875,1.3029971241388396,2.64000244140625,2024-05-02,22:24:00,Crossed Below Opening Range Low,2023.0999755859375,,
2024-04-28,Sunday,Win,2020.800048828125,2017.0,2021.300048828125,2017.699951171875,3.800048828125,38.00048828125,0.3800048828125,20:52:00,2004.9000244140625,Above Opening High,20:36:00,2026.300048828125,Above Opening High,1.2996614867061569,2.64000244140625,0.13291739806891778,0.2699951171875,2024-05-07,03:35:00,Crossed Below Opening Range Low,2071.300048828125,,
2024-04-29,Monday,Loss,2024.5,2022.5999755859375,2032.9000244140625,2015.0,1.9000244140625,19.000244140625,0.19000244140625,20:35:00,2026.300048828125,Above Opening High,23:20:00,2073.5,Above Opening High,0.1330680715561853,0.2699951171875,0.09857072449482504,0.2,2024-05-09,08:30:00,,,Crossed Above Opening Range High,2068.0
2024-04-30,Tuesday,Win,1983.800048828125,1980.199951171875,2026.0999755859375,1981.199951171875,3.60009765625,36.0009765625,0.360009765625,23:14:00,2073.5,Above Opening High,21:52:00,2072.39990234375,Below Opening Low,0.0963623223319682,0.2,0.1546467836548485,0.3199951171875,2024-05-09,21:59:00,Crossed Below Opening Range Low,2085.10009765625,,
2024-05-01,Wednesday,Win,2004.699951171875,1999.800048828125,2031.300048828125,1972.0999755859375,4.89990234375,48.9990234375,0.489990234375,21:52:00,2072.39990234375,Below Opening Low,23:35:00,2060.60009765625,Below Opening Low,0.1546467836548485,0.3199951171875,0.4191080729166667,0.860009765625,2024-05-14,03:50:00,,,Crossed Above Opening Range High,2073.60009765625
2024-05-02,Thursday,Loss,2026.0999755859375,2023.0999755859375,2029.0,1991.699951171875,3.0,30.0,0.3,23:34:00,2060.800048828125,Below Opening Low,20:56:00,2087.199951171875,Above Opening High,0.42885228207236836,0.8800048828125,0.06752575280323125,0.1400146484375,2024-05-15,08:00:00,Crossed Below Opening Range Low,2098.0,,
2024-05-05,Sunday,Win,2052.89990234375,2047.4000244140625,2052.800048828125,2048.0,5.4998779296875,54.998779296875,0.54998779296875,20:55:00,2087.10009765625,Above Opening High,21:32:00,2069.10009765625,Above Opening High,0.07181843961815594,0.15,0.1101122560551805,0.22998046875,2024-05-16,01:14:00,Crossed Below Opening Range Low,2118.89990234375,,
2024-05-06,Monday,Win,2073.39990234375,2071.39990234375,2075.5,2051.0,2.0,20.0,0.2,21:32:00,2069.10009765625,Above Opening High,20:49:00,2071.199951171875,Below Opening Low,0.11102659051484044,0.22998046875,0.07730254349315012,0.1599853515625,2024-05-16,22:51:00,Crossed Below Opening Range Low,2103.0,,
2024-05-07,Tuesday,Loss,2074.39990234375,2072.5,2089.0,2069.199951171875,1.89990234375,18.9990234375,0.189990234375,20:49:00,2071.199951171875,Below Opening Low,21:49:00,2100.699951171875,Above Opening High,0.07730254349315012,0.1599853515625,0.13390955658177905,0.2800048828125,2024-05-21,03:39:00,Crossed Below Opening Range Low,2109.60009765625,,
2024-05-08,Wednesday,Loss,2064.10009765625,2060.89990234375,2073.5,2052.0,3.2001953125,32.001953125,0.32001953125,21:48:00,2100.699951171875,Above Opening High,21:00:00,2104.60009765625,Above Opening High,0.13311380214523413,0.2800048828125,0.9365320262360353,1.9699951171875,2024-05-21,21:47:00,,,Crossed Above Opening Range High,2108.89990234375
2024-05-09,Thursday,Loss,2086.699951171875,2085.300048828125,2088.60009765625,2054.199951171875,1.39990234375,13.9990234375,0.139990234375,23:38:00,2122.199951171875,Above Opening High,20:35:00,2112.300048828125,Above Opening High,0.4830034620457209,1.0300048828125,0.30480656506447834,0.65,2024-05-22,21:46:00,,,Crossed Above Opening Range High,2089.89990234375
2024-05-12,Sunday,Win,2069.0,2066.60009765625,2071.39990234375,2067.10009765625,2.39990234375,23.9990234375,0.239990234375,21:00:00,2104.60009765625,Above Opening High,21:00:00,2107.0,Below Opening Low,0.9273619883755367,1.9699951171875,0.6496655340923377,1.360009765625,2024-05-26,21:19:00,Crossed Below Opening Range Low,2073.5,,
2024-05-13,Monday,Loss,2073.300048828125,2071.5,2091.0,2069.60009765625,1.800048828125,18.00048828125,0.1800048828125,20:35:00,2112.300048828125,Above Opening High,20:33:00,2087.300048828125,Below Opening Low,0.3067774141120606,0.65,0.31720564286709124,0.660009765625,2024-05-28,08:08:00,,,Crossed Above Opening Range High,2088.10009765625
