Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,78.12999725341797,78.02999877929688,78.47000122070312,76.79000091552734,0.09999847412109375,9.999847412109375,0.0009999847412109374,20:31:00,78.0199966430664,Below Opening Low,20:32:00,78.01000213623047,Below Opening Low,1.6017654810189625,0.012299957275390625,1.5887501056878282,0.01220001220703125,2024-03-11,21:44:00,,,Crossed Above Opening Range High,78.1500015258789
2024-03-12,Tuesday,Win,78.04000091552734,77.91999816894531,78.70999908447266,77.3499984741211,0.12000274658203125,12.000274658203125,0.0012000274658203124,20:53:00,77.91000366210938,Below Opening Low,20:53:00,77.91000366210938,Below Opening Low,0.7239886218945971,0.005600051879882812,0.7239886218945971,0.005600051879882812,2024-03-12,21:19:00,,,Crossed Above Opening Range High,78.05000305175781
2024-03-13,Wednesday,Win,79.75,79.63999938964844,79.93000030517578,77.58000183105469,0.1100006103515625,11.00006103515625,0.001100006103515625,20:45:00,79.76000213623047,Above Opening High,20:46:00,79.76000213623047,Above Opening High,0.21268380870293133,0.001699981689453125,0.21268380870293133,0.001699981689453125,2024-03-15,03:35:00,Crossed Below Opening Range Low,80.91000366210938,,
2024-03-14,Thursday,Win,81.12000274658203,80.91000366210938,81.62000274658203,79.6500015258789,0.20999908447265625,20.999908447265625,0.0020999908447265625,21:00:00,81.20999908447266,Above Opening High,21:00:00,81.20999908447266,Above Opening High,0.5023323306939543,0.00410003662109375,0.5023323306939543,0.00410003662109375,2024-03-17,21:08:00,Crossed Below Opening Range Low,80.98999786376953,,
2024-03-17,Sunday,Loss,81.16000366210938,81.0,81.41000366210938,80.98999786376953,0.160003662109375,16.0003662109375,0.00160003662109375,20:34:00,81.16999816894531,Above Opening High,20:38:00,81.16999816894531,Above Opening High,0.29481081239131324,0.002400054931640625,0.29481081239131324,0.002400054931640625,2024-03-19,05:01:00,,,Crossed Above Opening Range High,82.23999786376953
2024-03-18,Monday,Loss,82.2300033569336,82.13999938964844,82.73999786376953,80.72000122070312,0.09000396728515625,9.000396728515625,0.0009000396728515625,20:56:00,82.12999725341797,Below Opening Low,20:57:00,82.06999969482422,Below Opening Low,1.7467740478096114,0.014099960327148437,1.6724460526579443,0.013499984741210938,2024-03-20,03:36:00,Crossed Below Opening Range Low,82.3499984741211,,
2024-03-19,Tuesday,Win,82.51000213623047,82.36000061035156,83.11000061035156,81.80999755859375,0.15000152587890625,15.000152587890625,0.0015000152587890626,21:00:00,82.5199966430664,Above Opening High,21:10:00,82.54000091552734,Above Opening High,0.7099073071257681,0.005900039672851563,0.6858376737314377,0.005699996948242188,2024-03-21,04:26:00,Crossed Below Opening Range Low,81.52999877929688,,
2024-03-20,Wednesday,Loss,81.70999908447266,81.54000091552734,82.6500015258789,80.83000183105469,0.1699981689453125,16.99981689453125,0.001699981689453125,20:33:00,81.72000122070312,Above Opening High,20:35:00,81.7300033569336,Above Opening High,1.1252272087189068,0.009300003051757813,1.1131254107203468,0.009199981689453124,2024-03-22,04:57:00,,,Crossed Above Opening Range High,81.05000305175781
2024-03-21,Thursday,Loss,80.97000122070312,80.81999969482422,81.91000366210938,80.30000305175781,0.15000152587890625,15.000152587890625,0.0015000152587890626,21:03:00,80.80999755859375,Below Opening Low,21:08:00,80.77999877929688,Below Opening Low,0.6351114414120479,0.005099945068359375,0.5977530626364717,0.004799957275390625,2024-03-25,04:29:00,Crossed Below Opening Range Low,80.81999969482422,,
2024-03-24,Sunday,Win,80.95999908447266,80.83999633789062,81.27999877929688,80.88999938964844,0.12000274658203125,12.000274658203125,0.0012000274658203124,21:00:00,81.04000091552734,Above Opening High,21:01:00,81.02999877929688,Above Opening High,0.2952729667494311,0.0023999786376953124,0.3075787447768496,0.0025,2024-03-25,22:56:00,Crossed Below Opening Range Low,81.98999786376953,,
2024-03-25,Monday,Loss,82.16999816894531,81.98999786376953,82.47000122070312,80.7300033569336,0.18000030517578125,18.000030517578125,0.0018000030517578126,21:11:00,82.19000244140625,Above Opening High,21:11:00,82.19000244140625,Above Opening High,0.3395159150629242,0.00279998779296875,0.3395159150629242,0.00279998779296875,2024-03-27,07:38:00,,,Crossed Above Opening Range High,81.31999969482422
2024-03-26,Tuesday,Loss,81.31999969482422,81.1500015258789,82.36000061035156,80.80999755859375,0.1699981689453125,16.99981689453125,0.001699981689453125,20:31:00,81.13999938964844,Below Opening Low,21:02:00,81.0999984741211,Below Opening Low,0.4083675795379274,0.003300018310546875,0.35886762070134914,0.0029000091552734376,2024-03-27,23:46:00,Crossed Below Opening Range Low,81.70999908447266,,
2024-03-27,Wednesday,Loss,81.77999877929688,81.70999908447266,81.97000122070312,80.55000305175781,0.06999969482421875,6.999969482421875,0.0006999969482421875,20:55:00,81.79000091552734,Above Opening High,20:57:00,81.80999755859375,Above Opening High,0.21959290288545058,0.0018000030517578126,0.19519782814028183,0.00160003662109375,2024-03-31,21:05:00,,,Crossed Above Opening Range High,83.22000122070312
2024-03-31,Sunday,Win,83.19999694824219,83.04000091552734,83.54000091552734,82.97000122070312,0.15999603271484375,15.999603271484375,0.0015999603271484376,20:34:00,83.02999877929688,Below Opening Low,20:54:00,83.0199966430664,Below Opening Low,0.07231235110405071,0.0005999755859375,0.060257227465010714,0.0004999542236328125,2024-04-03,06:41:00,,,Crossed Above Opening Range High,85.54000091552734
2024-04-01,Monday,Win,84.01000213623047,83.86000061035156,84.5,82.61000061035156,0.15000152587890625,15.000152587890625,0.0015000152587890626,20:46:00,84.02999877929688,Above Opening High,20:49:00,84.0199966430664,Above Opening High,0.5562144623705622,0.00470001220703125,0.5680513099805843,0.004800033569335937,2024-04-04,02:35:00,Crossed Below Opening Range Low,85.52999877929688,,
