Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-10,Sunday,21:42:00,Above High,5132.5,5131.25,5123.5,5133.0,5119.25,22:34:00,Crossed Below Low,5123.25,,
2024-03-11,Monday,20:36:00,Above High,5202.25,5201.5,5196.75,5202.25,5103.0,21:09:00,Crossed Below Low,5196.75,,
2024-03-12,Tuesday,20:39:00,Below Low,5241.25,5244.5,5241.5,5246.75,5175.75,,,,,
2024-03-13,Wednesday,21:45:00,Above High,5240.0,5239.25,5234.75,5247.5,5217.5,03:03:00,,,Crossed Above High,5245.75
2024-03-14,Thursday,20:31:00,Above High,5217.5,5217.0,5210.0,5253.5,5188.0,09:33:00,Crossed Below Low,5234.25,,
2024-03-17,Sunday,21:06:00,Above High,5187.5,5187.25,5181.75,5194.75,5183.25,,,,,
2024-03-18,Monday,20:46:00,Below Low,5205.5,5210.75,5206.75,5240.25,5192.0,23:40:00,,,Crossed Above High,5212.0
2024-03-19,Tuesday,21:13:00,Below Low,5236.0,5240.75,5236.25,5244.75,5186.0,,,,,
2024-03-20,Wednesday,20:35:00,Below Low,5300.0,5304.0,5300.25,5307.0,5233.0,03:10:00,,,Crossed Above High,5240.75
2024-03-20,Wednesday,20:35:00,Below Low,5300.0,5304.0,5300.25,5307.0,5233.0,22:31:00,,,Crossed Above High,5304.0
2024-03-21,Thursday,20:47:00,Below Low,5307.75,5311.0,5308.5,5324.0,5299.25,,,,,
2024-03-24,Sunday,21:13:00,Below Low,5290.75,5294.75,5291.0,5295.0,5287.5,,,,,
2024-03-25,Monday,20:35:00,Above High,5285.75,5285.5,5282.0,5293.0,5272.75,23:44:00,Crossed Below Low,5282.0,,
2024-03-26,Tuesday,20:47:00,Above High,5276.75,5276.25,5274.0,5300.5,5263.0,,,,,
2024-03-27,Wednesday,21:00:00,Above High,5308.0,5307.75,5302.5,5311.5,5270.5,10:12:00,Crossed Below Low,5273.25,,
2024-03-28,Thursday,,,,,,,,05:20:00,Crossed Below Low,5302.5,,
2024-03-31,Sunday,21:57:00,Below Low,5326.75,5333.25,5327.0,5330.0,5325.0,,,,,
2024-04-01,Monday,21:29:00,Above High,5291.25,5291.0,5286.25,5330.5,5282.25,,,,,
2024-04-02,Tuesday,21:06:00,Below Low,5251.75,5260.25,5252.75,5296.0,5235.0,01:19:00,Crossed Below Low,5285.5,,
2024-04-03,Wednesday,,,,,,,,08:06:00,,,Crossed Above High,5260.75
2024-04-04,Thursday,20:36:00,Below Low,5196.75,5205.25,5199.0,5308.5,5190.75,23:58:00,,,Crossed Above High,5205.25
2024-04-07,Sunday,20:33:00,Below Low,5249.75,5260.0,5250.5,5258.0,5243.75,,,,,
2024-04-08,Monday,21:51:00,Below Low,5252.75,5257.5,5253.0,5268.75,5236.5,08:37:00,,,Crossed Above High,5260.25
2024-04-09,Tuesday,,,,,,,,00:50:00,,,Crossed Above High,5257.5
2024-04-10,Wednesday,21:50:00,Above High,5203.0,5202.25,5194.25,5287.5,5177.0,,,,,
2024-04-11,Thursday,20:34:00,Above High,5245.75,5245.5,5240.5,5257.5,5171.25,05:00:00,Crossed Below Low,5193.5,,
2024-04-14,Sunday,,,,,,,,,,,,
2024-04-15,Monday,21:07:00,Below Low,5100.0,5107.5,5100.25,5213.5,5081.25,,,,,
2024-04-16,Tuesday,20:31:00,Below Low,5098.0,5107.0,5099.0,5122.75,5078.5,07:06:00,,,Crossed Above High,5107.5
