Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-10,Sunday,Win,5131.25,5123.5,5133.0,5119.25,7.75,31.0,1.9375,21:42:00,5132.5,Above Opening High,21:43:00,5131.75,Above Opening High,0.00974089226573154,0.125,0.024352230664328855,0.3125,2024-03-10,22:34:00,Crossed Below Opening Range Low,5123.25,,
2024-03-11,Monday,Win,5201.5,5196.75,5202.25,5103.0,4.75,19.0,1.1875,20:36:00,5202.25,Above Opening High,20:37:00,5201.75,Above Opening High,0.0,0.0,0.009611225911865058,0.125,2024-03-11,21:09:00,Crossed Below Opening Range Low,5196.75,,
2024-03-12,Tuesday,Win,5244.5,5241.5,5246.75,5175.75,3.0,12.0,0.75,20:39:00,5241.25,Below Opening Low,20:41:00,5239.75,Below Opening Low,1.2655170748200744,16.375,1.2365357677631261,16.0,2024-03-13,03:03:00,,,Crossed Above Opening Range High,5245.75
2024-03-13,Wednesday,Win,5239.25,5234.75,5247.5,5217.5,4.5,18.0,1.125,21:45:00,5240.0,Above Opening High,21:58:00,5239.5,Above Opening High,0.14292520247737017,1.875,0.15245354930919486,2.0,2024-03-14,09:33:00,Crossed Below Opening Range Low,5234.25,,
2024-03-14,Thursday,Win,5217.0,5210.0,5253.5,5188.0,7.0,28.0,1.75,20:31:00,5217.5,Above Opening High,20:35:00,5217.5,Above Opening High,0.6852574474160084,9.0,0.6852574474160084,9.0,2024-03-15,01:44:00,Crossed Below Opening Range Low,5210.0,,
2024-03-17,Sunday,Loss,5187.25,5181.75,5194.75,5183.25,5.5,22.0,1.375,21:06:00,5187.5,Above Opening High,21:11:00,5188.25,Above Opening High,0.13956398286731797,1.8125,0.12512632946725058,1.625,2024-03-18,23:40:00,,,Crossed Above Opening Range High,5212.0
2024-03-18,Monday,Win,5210.75,5206.75,5240.25,5192.0,4.0,16.0,1.0,20:46:00,5205.5,Below Opening Low,20:47:00,5205.5,Below Opening Low,0.2600154083204931,3.375,0.2600154083204931,3.375,2024-03-20,03:10:00,,,Crossed Above Opening Range High,5240.75
2024-03-19,Tuesday,Win,5240.75,5236.25,5244.75,5186.0,4.5,18.0,1.125,21:13:00,5236.0,Below Opening Low,21:18:00,5236.0,Below Opening Low,0.9641342074816814,12.5,0.9641342074816814,12.5,2024-03-20,22:31:00,,,Crossed Above Opening Range High,5304.0
2024-03-20,Wednesday,Win,5304.0,5300.25,5307.0,5233.0,3.75,15.0,0.9375,20:35:00,5300.0,Below Opening Low,20:39:00,5299.75,Below Opening Low,1.2803363271545958,16.75,1.2755589527995415,16.6875,2024-03-22,06:44:00,,,Crossed Above Opening Range High,5311.0
2024-03-21,Thursday,Loss,5311.0,5308.5,5324.0,5299.25,2.5,10.0,0.625,20:47:00,5307.75,Below Opening Low,20:48:00,5308.0,Below Opening Low,0.1604000566117847,2.125,0.1651177053356607,2.1875,2024-03-25,23:44:00,Crossed Below Opening Range Low,5282.0,,
2024-03-24,Sunday,Loss,5294.75,5291.0,5295.0,5287.5,3.75,15.0,0.9375,21:13:00,5290.75,Below Opening Low,22:17:00,5289.25,Below Opening Low,0.061465721040189124,0.8125,0.03309692671394799,0.4375,2024-03-27,10:12:00,Crossed Below Opening Range Low,5273.25,,
2024-03-25,Monday,Win,5285.5,5282.0,5293.0,5272.75,3.5,14.0,0.875,20:35:00,5285.75,Above Opening High,20:41:00,5286.25,Above Opening High,0.13697336104288685,1.8125,0.12752692235027394,1.6875,2024-03-28,05:20:00,Crossed Below Opening Range Low,5302.5,,
2024-03-26,Tuesday,Win,5276.25,5274.0,5300.5,5263.0,2.25,9.0,0.5625,20:47:00,5276.75,Above Opening High,20:49:00,5276.75,Above Opening High,0.4480709367040845,5.9375,0.4480709367040845,5.9375,2024-04-02,01:19:00,Crossed Below Opening Range Low,5285.5,,
2024-03-27,Wednesday,Loss,5307.75,5302.5,5311.5,5270.5,5.25,21.0,1.3125,21:00:00,5308.0,Above Opening High,22:05:00,5326.5,Below Opening Low,0.0658947566600772,0.875,0.028169014084507043,0.375,2024-04-03,08:06:00,,,Crossed Above Opening Range High,5260.75
2024-03-31,Sunday,Win,5333.25,5327.0,5330.0,5325.0,6.25,25.0,1.5625,21:57:00,5326.75,Below Opening Low,22:55:00,5292.0,Above Opening High,0.03286384976525821,0.4375,0.7223264540337712,9.625,2024-04-04,23:58:00,,,Crossed Above Opening Range High,5205.25
2024-04-01,Monday,Loss,5291.0,5286.25,5330.5,5282.25,4.75,19.0,1.1875,21:29:00,5291.25,Above Opening High,21:07:00,5252.0,Below Opening Low,0.7363286746083857,9.8125,0.3247373447946514,4.25,2024-04-08,08:37:00,,,Crossed Above Opening Range High,5260.25
2024-04-02,Tuesday,Win,5260.25,5252.75,5296.0,5235.0,7.5,30.0,1.875,21:06:00,5251.75,Below Opening Low,20:37:00,5192.75,Below Opening Low,0.31996179560649474,4.1875,0.03853007754178105,0.5,2024-04-09,00:50:00,,,Crossed Above Opening Range High,5257.5
2024-04-03,Wednesday,Loss,5284.75,5273.75,5280.75,5244.25,11.0,44.0,2.75,20:36:00,5196.75,Below Opening Low,20:35:00,5249.25,Below Opening Low,0.11559023262534315,1.5,0.10488676996424315,1.375,2024-04-11,05:00:00,Crossed Below Opening Range Low,5193.5,,
2024-04-04,Thursday,Loss,5205.25,5199.0,5308.5,5190.75,6.25,25.0,1.5625,20:33:00,5249.75,Below Opening Low,21:57:00,5252.5,Below Opening Low,0.11442193087008344,1.5,0.30554759858684233,4.0,2024-04-12,04:58:00,Crossed Below Opening Range Low,5240.5,,
2024-04-07,Sunday,Win,5260.0,5250.5,5258.0,5243.75,9.5,38.0,2.375,21:51:00,5252.75,Below Opening Low,21:51:00,5204.0,Above Opening High,0.3103217798147618,4.0625,1.5848161328588375,20.875,2024-04-16,07:06:00,,,Crossed Above Opening Range High,5107.5
