Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-11,Monday,20:35:00,Below Low,2209.0,2211.800048828125,2210.0,2213.10009765625,2202.699951171875,,,,,
2024-03-12,Tuesday,20:32:00,Above High,2187.0,2186.699951171875,2183.0,2209.10009765625,2178.0,,,,,
2024-03-13,Wednesday,20:54:00,Above High,2201.699951171875,2201.5,2200.0,2206.89990234375,2183.89990234375,21:28:00,Crossed Below Low,2200.0,,
2024-03-14,Thursday,20:53:00,Above High,2188.300048828125,2187.300048828125,2186.0,2198.0,2178.60009765625,,,,,
2024-03-17,Sunday,20:54:00,Above High,2181.89990234375,2181.300048828125,2179.5,2182.199951171875,2170.89990234375,21:07:00,Crossed Below Low,2178.89990234375,,
2024-03-18,Monday,20:37:00,Above High,2187.800048828125,2187.5,2185.800048828125,2188.60009765625,2170.800048828125,21:10:00,Crossed Below Low,2185.39990234375,,
2024-03-19,Tuesday,20:39:00,Below Low,2179.699951171875,2182.5,2179.800048828125,2187.0,2172.0,21:22:00,,,Crossed Above High,2183.699951171875
2024-03-20,Wednesday,20:36:00,Below Low,2219.39990234375,2229.699951171875,2220.0,2236.39990234375,2173.89990234375,21:11:00,,,Crossed Above High,2234.5
2024-03-21,Thursday,20:35:00,Above High,2208.60009765625,2208.199951171875,2204.699951171875,2235.60009765625,2189.89990234375,21:36:00,Crossed Below Low,2204.0,,
2024-03-24,Sunday,21:16:00,Above High,2194.0,2192.0,2186.800048828125,2201.0,2186.89990234375,,,,,
2024-03-25,Monday,20:35:00,Above High,2196.199951171875,2196.10009765625,2193.60009765625,2204.10009765625,2186.199951171875,04:44:00,Crossed Below Low,2186.800048828125,,
2024-03-25,Monday,20:35:00,Above High,2196.199951171875,2196.10009765625,2193.60009765625,2204.10009765625,2186.199951171875,21:08:00,Crossed Below Low,2193.10009765625,,
2024-03-26,Tuesday,20:35:00,Below Low,2197.39990234375,2200.89990234375,2197.89990234375,2222.39990234375,2191.699951171875,23:14:00,,,Crossed Above High,2200.89990234375
2024-03-27,Wednesday,22:20:00,Above High,2213.0,2212.60009765625,2207.5,2218.199951171875,2196.199951171875,,,,,
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,20:31:00,Above High,2272.699951171875,2271.300048828125,2260.39990234375,2285.89990234375,2269.699951171875,,,,,
2024-04-01,Monday,20:35:00,Above High,2273.300048828125,2272.5,2268.199951171875,2286.5,2249.10009765625,09:50:00,Crossed Below Low,2260.300048828125,,
2024-04-01,Monday,20:35:00,Above High,2273.300048828125,2272.5,2268.199951171875,2286.5,2249.10009765625,21:06:00,Crossed Below Low,2267.89990234375,,
2024-04-02,Tuesday,21:12:00,Below Low,2297.89990234375,2305.800048828125,2298.0,2308.300048828125,2270.60009765625,23:13:00,,,Crossed Above High,2305.89990234375
2024-04-03,Wednesday,20:56:00,Above High,2321.89990234375,2320.800048828125,2316.10009765625,2324.89990234375,2285.60009765625,,,,,
2024-04-04,Thursday,20:40:00,Below Low,2302.199951171875,2310.0,2302.5,2325.10009765625,2286.300048828125,01:54:00,Crossed Below Low,2316.10009765625,,
2024-04-07,Sunday,20:59:00,Below Low,2325.10009765625,2332.300048828125,2325.39990234375,2372.60009765625,2321.699951171875,21:29:00,,,Crossed Above High,2332.5
2024-04-08,Monday,21:13:00,Above High,2363.300048828125,2360.60009765625,2356.60009765625,2367.39990234375,2337.300048828125,,,,,
2024-04-09,Tuesday,20:45:00,Below Low,2370.60009765625,2374.300048828125,2370.699951171875,2384.39990234375,2357.0,,,,,
2024-04-10,Wednesday,21:06:00,Above High,2354.800048828125,2354.60009765625,2350.699951171875,2378.199951171875,2337.300048828125,00:56:00,,,Crossed Above High,2374.5
2024-04-11,Thursday,20:51:00,Above High,2395.800048828125,2394.800048828125,2392.0,2412.699951171875,2343.199951171875,04:14:00,Crossed Below Low,2349.39990234375,,
2024-04-14,Sunday,20:31:00,Below Low,2371.89990234375,2382.5,2372.89990234375,2381.0,2364.199951171875,,,,,
2024-04-15,Monday,20:38:00,Above High,2403.300048828125,2402.89990234375,2396.39990234375,2405.800048828125,2340.199951171875,13:29:00,,,Crossed Above High,2383.5
2024-04-16,Tuesday,22:18:00,Above High,2401.60009765625,2401.39990234375,2397.10009765625,2414.800048828125,2379.199951171875,02:31:00,Crossed Below Low,2393.5,,
2024-04-17,Wednesday,21:00:00,Above High,2385.199951171875,2384.89990234375,2380.5,2412.0,2378.800048828125,00:35:00,Crossed Below Low,2396.699951171875,,
2024-04-17,Wednesday,21:00:00,Above High,2385.199951171875,2384.89990234375,2380.5,2412.0,2378.800048828125,21:31:00,Crossed Below Low,2380.10009765625,,
2024-04-18,Thursday,21:03:00,Above High,2397.60009765625,2396.39990234375,2388.60009765625,2433.199951171875,2384.300048828125,,,,,
2024-04-21,Sunday,20:41:00,Below Low,2397.0,2402.199951171875,2397.10009765625,2398.699951171875,2375.0,,,,,
2024-04-22,Monday,20:31:00,Below Low,2343.89990234375,2347.800048828125,2344.199951171875,2386.699951171875,2308.60009765625,21:17:00,,,Crossed Above High,2347.800048828125
2024-04-23,Tuesday,20:38:00,Below Low,2335.0,2337.89990234375,2335.10009765625,2345.89990234375,2304.300048828125,23:20:00,,,Crossed Above High,2338.39990234375
