Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-10,Sunday,21:41:00,Above High,18049.0,18048.0,18012.0,18055.5,17990.5,22:36:00,Crossed Below Low,18011.75,,
2024-03-11,Monday,20:34:00,Above High,18060.25,18060.0,18035.75,18065.5,17890.0,,,,,
2024-03-12,Tuesday,20:40:00,Below Low,18469.25,18486.75,18471.75,18491.0,17930.0,04:30:00,Crossed Below Low,18034.25,,
2024-03-13,Wednesday,21:45:00,Above High,18379.0,18377.5,18353.5,18504.25,18281.5,03:02:00,,,Crossed Above High,18487.75
2024-03-14,Thursday,20:31:00,Above High,18254.25,18252.75,18223.75,18428.25,18161.25,09:13:00,Crossed Below Low,18353.5,,
2024-03-17,Sunday,20:55:00,Above High,18090.5,18088.75,18063.75,18127.0,18071.75,,,,,
2024-03-18,Monday,20:32:00,Below Low,18176.75,18196.5,18177.25,18380.75,18122.75,23:07:00,,,Crossed Above High,18196.75
2024-03-19,Tuesday,21:13:00,Below Low,18244.0,18281.5,18246.75,18289.5,18053.25,,,,,
2024-03-20,Wednesday,20:35:00,Below Low,18568.5,18585.25,18570.0,18596.75,18234.0,06:32:00,,,Crossed Above High,18283.25
2024-03-20,Wednesday,20:35:00,Below Low,18568.5,18585.25,18570.0,18596.75,18234.0,22:30:00,,,Crossed Above High,18585.5
2024-03-21,Thursday,20:43:00,Below Low,18582.25,18595.5,18584.0,18708.5,18532.0,,,,,
2024-03-24,Sunday,22:18:00,Below Low,18569.0,18598.0,18571.25,18601.25,18565.5,,,,,
2024-03-25,Monday,20:41:00,Above High,18548.0,18547.5,18532.25,18576.25,18415.0,23:35:00,Crossed Below Low,18532.25,,
2024-03-26,Tuesday,20:51:00,Above High,18493.25,18493.0,18483.0,18618.75,18439.25,21:39:00,Crossed Below Low,18483.0,,
2024-03-27,Wednesday,21:00:00,Above High,18504.25,18503.5,18475.0,18572.25,18378.5,,,,,
2024-03-28,Thursday,,,,,,,,05:18:00,Crossed Below Low,18474.5,,
2024-03-31,Sunday,21:35:00,Below Low,18586.25,18611.75,18589.75,18603.75,18563.25,,,,,
2024-04-01,Monday,22:34:00,Above High,18481.5,18481.25,18458.0,18607.25,18414.5,,,,,
2024-04-02,Tuesday,21:06:00,Below Low,18294.5,18333.25,18300.5,18514.0,18201.0,01:19:00,Crossed Below Low,18457.0,,
2024-04-03,Wednesday,,,,,,,,10:01:00,,,Crossed Above High,18336.75
2024-04-04,Thursday,20:36:00,Below Low,18077.75,18110.0,18084.0,18568.25,18054.25,23:58:00,,,Crossed Above High,18110.0
2024-04-07,Sunday,21:25:00,Above High,18326.5,18325.25,18285.0,18334.0,18270.5,23:35:00,Crossed Below Low,18276.0,,
2024-04-08,Monday,21:57:00,Below Low,18289.25,18313.75,18291.75,18377.5,18237.75,,,,,
2024-04-09,Tuesday,20:43:00,Above High,18380.75,18380.5,18366.75,18405.0,18160.25,00:36:00,,,Crossed Above High,18313.75
