Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-10,Sunday,Win,18048.0,18012.0,18055.5,17990.5,36.0,144.0,9.0,21:41:00,18049.0,Above Opening High,21:42:00,18053.25,Above Opening High,0.036000110769571596,1.625,0.012461576804851708,0.5625,2024-03-10,22:36:00,Crossed Below Opening Range Low,18011.75,,
2024-03-11,Monday,Win,18060.0,18035.75,18065.5,17890.0,24.25,97.0,6.0625,20:34:00,18060.25,Above Opening High,20:37:00,18064.5,Above Opening High,0.029060917217901522,1.3125,0.005535412803409814,0.25,2024-03-12,04:30:00,Crossed Below Opening Range Low,18034.25,,
2024-03-12,Tuesday,Win,18486.75,18471.75,18491.0,17930.0,15.0,60.0,3.75,20:40:00,18469.25,Below Opening Low,20:41:00,18462.0,Below Opening Low,3.0075292805354157,134.8125,2.9670942554378135,133.0,2024-03-13,03:02:00,,,Crossed Above Opening Range High,18487.75
2024-03-13,Wednesday,Win,18377.5,18353.5,18504.25,18281.5,24.0,96.0,6.0,21:45:00,18379.0,Above Opening High,21:57:00,18380.0,Above Opening High,0.6768715295134902,31.3125,0.6714673656051988,31.0625,2024-03-14,09:13:00,Crossed Below Opening Range Low,18353.5,,
2024-03-14,Thursday,Win,18252.75,18223.75,18428.25,18161.25,29.0,116.0,7.25,20:31:00,18254.25,Above Opening High,20:33:00,18254.75,Above Opening High,0.9442025151601481,43.5,0.9414892895418717,43.375,2024-03-15,00:38:00,Crossed Below Opening Range Low,18222.5,,
2024-03-17,Sunday,Loss,18088.75,18063.75,18127.0,18071.75,25.0,100.0,6.25,20:55:00,18090.5,Above Opening High,20:56:00,18092.0,Above Opening High,0.20135709163126825,9.125,0.19308214266012025,8.75,2024-03-18,23:07:00,,,Crossed Above Opening Range High,18196.75
2024-03-18,Monday,Win,18196.5,18177.25,18380.75,18122.75,19.25,77.0,4.8125,20:32:00,18176.75,Below Opening Low,20:47:00,18163.0,Below Opening Low,0.2979680236167248,13.5,0.22209653612172545,10.0625,2024-03-20,06:32:00,,,Crossed Above Opening Range High,18283.25
2024-03-19,Tuesday,Win,18281.5,18246.75,18289.5,18053.25,34.75,139.0,8.6875,21:13:00,18244.0,Below Opening Low,21:14:00,18244.75,Below Opening Low,1.0565964577015219,47.6875,1.0607508343373075,47.875,2024-03-20,22:30:00,,,Crossed Above Opening Range High,18585.5
2024-03-20,Wednesday,Win,18585.25,18570.0,18596.75,18234.0,15.25,61.0,3.8125,20:35:00,18568.5,Below Opening Low,20:36:00,18568.75,Below Opening Low,1.834485027969727,83.625,1.8358560930130525,83.6875,2024-03-22,05:00:00,,,Crossed Above Opening Range High,18596.25
2024-03-21,Thursday,Loss,18595.5,18584.0,18708.5,18532.0,11.5,46.0,2.875,20:43:00,18582.25,Below Opening Low,20:44:00,18582.5,Below Opening Low,0.27115260090654003,12.5625,0.2725016188214979,12.625,2024-03-25,23:35:00,Crossed Below Opening Range Low,18532.25,,
2024-03-24,Sunday,Loss,18598.0,18571.25,18601.25,18565.5,26.75,107.0,6.6875,22:18:00,18569.0,Below Opening Low,22:25:00,18569.5,Below Opening Low,0.018852172039535698,0.875,0.021545339473755084,1.0,2024-03-26,21:39:00,Crossed Below Opening Range Low,18483.0,,
2024-03-25,Monday,Win,18547.5,18532.25,18576.25,18415.0,15.25,61.0,3.8125,20:41:00,18548.0,Above Opening High,20:49:00,18548.25,Above Opening High,0.15207590337124016,7.0625,0.15073009891662742,7.0,2024-03-28,05:18:00,Crossed Below Opening Range Low,18474.5,,
2024-03-26,Tuesday,Win,18493.0,18483.0,18618.75,18439.25,10.0,40.0,2.5,20:51:00,18493.25,Above Opening High,20:56:00,18495.5,Above Opening High,0.6740516951997314,31.375,0.6619671030547164,30.8125,2024-04-02,01:19:00,Crossed Below Opening Range Low,18457.0,,
2024-03-27,Wednesday,Loss,18503.5,18475.0,18572.25,18378.5,28.5,114.0,7.125,21:00:00,18504.25,Above Opening High,21:36:00,18586.75,Below Opening Low,0.36613765160387135,17.0,0.1265942116816829,5.875,2024-04-03,10:01:00,,,Crossed Above Opening Range High,18336.75
2024-03-31,Sunday,Win,18611.75,18589.75,18603.75,18563.25,22.0,88.0,5.5,21:35:00,18586.25,Below Opening Low,22:55:00,18487.0,Above Opening High,0.12390071781611517,5.75,0.6463750587919103,30.0625,2024-04-04,23:58:00,,,Crossed Above Opening Range High,18110.0
2024-04-01,Monday,Win,18481.25,18458.0,18607.25,18414.5,23.25,93.0,5.8125,22:34:00,18481.5,Above Opening High,21:07:00,18296.25,Below Opening Low,0.6758118475325479,31.4375,0.5233228943464644,23.8125,2024-04-07,23:35:00,Crossed Below Opening Range Low,18276.0,,
2024-04-02,Tuesday,Win,18333.25,18300.5,18514.0,18201.0,32.75,131.0,8.1875,21:06:00,18294.5,Below Opening Low,20:37:00,18059.25,Below Opening Low,0.5137080380198891,23.375,0.027694310203968592,1.25,2024-04-09,00:36:00,,,Crossed Above Opening Range High,18313.75
2024-04-03,Wednesday,Loss,18485.25,18416.5,18454.5,18232.75,68.75,275.0,17.1875,20:36:00,18077.75,Below Opening Low,21:27:00,18328.75,Above Opening High,0.1301632579586524,5.875,0.028274069985055134,1.3125,2024-04-10,05:51:00,Crossed Below Opening Range Low,18364.25,,
2024-04-04,Thursday,Win,18110.0,18084.0,18568.25,18054.25,26.0,104.0,6.5,21:25:00,18326.5,Above Opening High,21:58:00,18287.0,Below Opening Low,0.04090760335987782,1.875,0.27004427629504735,12.3125,2024-04-11,06:09:00,Crossed Below Opening Range Low,18147.5,,
