Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-10,Sunday,Win,38774.0,38726.0,38783.0,38697.0,48.0,48.0,48.0,21:42:00,38783.0,Above Opening High,22:35:00,38722.0,Below Opening Low,0.0,0.0,0.06460449130423547,25.0,2024-03-10,22:33:00,Crossed Below Opening Range Low,38725.0,,
2024-03-11,Monday,Win,39277.0,39251.0,39281.0,38565.0,26.0,26.0,26.0,20:36:00,39279.0,Above Opening High,23:39:00,39278.0,Above Opening High,0.005091520073317889,2.0,0.007637280109976835,3.0,2024-03-11,21:09:00,Crossed Below Opening Range Low,39251.0,,
2024-03-12,Tuesday,Win,39488.0,39468.0,39543.0,39093.0,20.0,20.0,20.0,20:41:00,39460.0,Below Opening Low,20:42:00,39461.0,Below Opening Low,0.9387869951142148,367.0,0.9413449978256976,368.0,2024-03-13,03:07:00,,,Crossed Above Opening Range High,39488.0
2024-03-13,Wednesday,Win,39559.0,39531.0,39683.0,39404.0,28.0,28.0,28.0,20:31:00,39335.0,Above Opening High,20:35:00,39336.0,Above Opening High,0.9144037482996624,363.0,0.9118847297093052,362.0,2024-03-15,09:21:00,Crossed Below Opening Range Low,39289.0,,
2024-03-14,Thursday,Win,39333.0,39295.0,39698.0,39138.0,38.0,38.0,38.0,21:10:00,39136.0,Above Opening High,21:10:00,39136.0,Above Opening High,0.09700311431051208,38.0,0.09700311431051208,38.0,2024-03-18,04:30:00,Crossed Below Opening Range Low,39099.0,,
2024-03-17,Sunday,Win,39133.0,39099.0,39174.0,39111.0,34.0,34.0,34.0,20:31:00,39211.0,Below Opening Low,20:32:00,39210.0,Below Opening Low,0.3121082657525135,122.0,0.30955000127913224,121.0,2024-03-19,02:02:00,,,Crossed Above Opening Range High,39232.0
2024-03-18,Monday,Win,39230.0,39212.0,39337.0,39089.0,18.0,18.0,18.0,21:33:00,39523.0,Below Opening Low,21:34:00,39524.0,Below Opening Low,1.0404949381327335,407.0,1.0430514367522241,408.0,2024-03-20,03:08:00,,,Crossed Above Opening Range High,39552.0
2024-03-19,Tuesday,Win,39547.0,39525.0,39555.0,39116.0,22.0,22.0,22.0,21:16:00,40028.0,Above Opening High,22:22:00,40031.0,Above Opening High,0.07239683451082209,29.0,0.064907506802806,26.0,2024-03-21,21:36:00,Crossed Below Opening Range Low,40237.0,,
2024-03-20,Wednesday,Loss,40027.0,40001.0,40057.0,39426.0,26.0,26.0,26.0,20:38:00,40257.0,Above Opening High,21:38:00,40235.0,Below Opening Low,0.1438670470048369,58.0,0.5648729035966907,226.0,2024-03-25,04:12:00,,,Crossed Above Opening Range High,39851.0
2024-03-21,Thursday,Loss,40256.0,40237.0,40315.0,40009.0,19.0,19.0,19.0,20:56:00,39828.0,Below Opening Low,20:57:00,39828.0,Below Opening Low,0.08041009146647904,32.0,0.08041009146647904,32.0,2024-03-26,09:22:00,Crossed Below Opening Range Low,39706.0,,
