Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-10,Sunday,Win,1.837000012397766,1.8329999446868896,1.840999960899353,1.8329999446868896,0.004000067710876243,4.000067710876243,4.000067710876243e-06,20:35:00,1.8380000591278076,Above Opening High,21:13:00,1.840999960899353,Above Opening High,0.16294958366429937,2.99990177154541e-06,0.0,0.0,2024-03-11,00:15:00,Crossed Below Opening Range Low,1.8329999446868896,,
2024-03-11,Monday,Win,1.746000051498413,1.7419999837875366,1.8359999656677248,1.7419999837875366,0.004000067710876465,4.000067710876465,4.000067710876465e-06,21:11:00,1.746999979019165,Above Opening High,21:13:00,1.7480000257492063,Above Opening High,4.8474939168199755,8.899998664855979e-05,4.793025139655397,8.799993991851851e-05,2024-03-12,10:39:00,Crossed Below Opening Range Low,1.7359999418258667,,
2024-03-12,Tuesday,Win,1.7170000076293943,1.7039999961853027,1.8229999542236328,1.690999984741211,0.013000011444091575,13.000011444091575,1.3000011444091574e-05,21:58:00,1.7580000162124634,Above Opening High,22:07:00,1.7580000162124634,Above Opening High,0.5093346880150472,8.999943733215332e-06,0.5093346880150472,8.999943733215332e-06,2024-03-15,00:45:00,Crossed Below Opening Range Low,1.743000030517578,,
2024-03-13,Wednesday,Win,1.6649999618530271,1.656999945640564,1.7130000591278076,1.6510000228881836,0.008000016212463157,8.000016212463157,8.000016212463156e-06,20:55:00,1.7200000286102295,Above Opening High,21:37:00,1.7200000286102295,Above Opening High,2.383651358962249,4.1999936103820804e-05,2.383651358962249,4.1999936103820804e-05,2024-03-19,00:11:00,Crossed Below Opening Range Low,1.7029999494552612,,
2024-03-14,Thursday,Loss,1.756999969482422,1.74399995803833,1.7669999599456787,1.6430000066757202,0.013000011444092019,13.000011444092019,1.300001144409202e-05,22:13:00,1.7489999532699585,Below Opening Low,22:13:00,1.7489999532699585,Below Opening Low,2.821868240163902,4.7999978065490725e-05,2.821868240163902,4.7999978065490725e-05,2024-03-22,00:31:00,Crossed Below Opening Range Low,1.6950000524520874,,
2024-03-17,Sunday,Loss,1.746999979019165,1.7059999704360962,1.741000056266785,1.7269999980926514,0.04100000858306885,41.00000858306885,4.100000858306885e-05,21:27:00,1.7020000219345093,Above Opening High,21:27:00,1.7020000219345093,Above Opening High,0.6421504269473947,1.100003719329834e-05,0.6421504269473947,1.100003719329834e-05,2024-03-24,21:47:00,,,Crossed Above Opening Range High,1.6649999618530271
2024-03-18,Monday,Win,1.718999981880188,1.7100000381469729,1.7619999647140503,1.690999984741211,0.00899994373321511,8.99994373321511,8.99994373321511e-06,21:05:00,1.6549999713897705,Below Opening Low,21:20:00,1.6549999713897705,Below Opening Low,0.30303001841675176,4.999995231628418e-06,0.30303001841675176,4.999995231628418e-06,2024-03-26,01:50:00,,,Crossed Above Opening Range High,1.6150000095367432
2024-03-19,Tuesday,Win,1.756999969482422,1.75,1.7690000534057615,1.7009999752044678,0.006999969482422097,6.999969482422097,6.999969482422097e-06,20:45:00,1.6059999465942385,Below Opening Low,20:45:00,1.6059999465942385,Below Opening Low,1.0698527431415785,1.6999959945678934e-05,1.0698527431415785,1.6999959945678934e-05,2024-03-28,08:31:00,,,Crossed Above Opening Range High,1.722000002861023
2024-03-20,Wednesday,Loss,1.7130000591278076,1.7000000476837158,1.7549999952316284,1.6859999895095823,0.013000011444091797,13.000011444091797,1.3000011444091798e-05,21:46:00,1.715000033378601,Below Opening Low,21:46:00,1.715000033378601,Below Opening Low,0.6455420902537451,1.100003719329834e-05,0.6455420902537451,1.100003719329834e-05,2024-04-01,03:01:00,Crossed Below Opening Range Low,1.7209999561309814,,
2024-03-21,Thursday,Loss,1.7009999752044678,1.6950000524520874,1.7130000591278076,1.6510000228881836,0.005999922752380371,5.999922752380371,5.9999227523803715e-06,20:53:00,1.7330000400543213,Above Opening High,21:54:00,1.7330000400543213,Above Opening High,0.17280540737750336,2.99990177154541e-06,0.17280540737750336,2.99990177154541e-06,2024-04-03,03:12:00,,,Crossed Above Opening Range High,1.8580000400543213
