Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,2100.10009765625,2097.89990234375,2114.10009765625,2070.5,2.2001953125,22.001953125,0.22001953125,20:37:00,2100.300048828125,Above Opening High,20:46:00,2097.699951171875,Below Opening Low,0.6527623192215031,1.3800048828125,1.3136899865672542,2.7199951171875,2024-03-11,20:45:00,Crossed Below Opening Range Low,2097.800048828125,,
2024-03-12,Tuesday,Win,2089.39990234375,2087.199951171875,2109.300048828125,2073.199951171875,2.199951171875,21.99951171875,0.2199951171875,20:41:00,2086.300048828125,Below Opening Low,20:42:00,2086.39990234375,Below Opening Low,0.6318781576685442,1.310009765625,0.6366945534806585,1.3199951171875,2024-03-13,03:03:00,,,Crossed Above Opening Range High,2089.39990234375
2024-03-13,Wednesday,Win,2099.39990234375,2096.10009765625,2106.0,2084.39990234375,3.2998046875,32.998046875,0.32998046875,23:39:00,2096.0,Below Opening Low,23:42:00,2096.0,Below Opening Low,0.5565197754618281,1.160009765625,0.5565197754618281,1.160009765625,2024-03-14,02:57:00,,,Crossed Above Opening Range High,2099.39990234375
2024-03-14,Thursday,Win,2056.60009765625,2053.699951171875,2106.199951171875,2040.4000244140625,2.900146484375,29.00146484375,0.2900146484375,20:36:00,2056.699951171875,Above Opening High,20:37:00,2056.800048828125,Above Opening High,2.350204213634064,4.95,2.345451689725101,4.939990234375,2024-03-15,09:28:00,Crossed Below Opening Range Low,2051.89990234375,,
2024-03-17,Sunday,Win,2063.60009765625,2060.5,2065.89990234375,2061.10009765625,3.10009765625,31.0009765625,0.310009765625,21:36:00,2063.800048828125,Above Opening High,21:37:00,2063.800048828125,Above Opening High,0.10164352654466607,0.2099853515625,0.10164352654466607,0.2099853515625,2024-03-18,09:39:00,Crossed Below Opening Range Low,2057.39990234375,,
2024-03-18,Monday,Win,2049.199951171875,2047.9000244140625,2076.39990234375,2044.5,1.2999267578125,12.999267578125,0.12999267578125,20:46:00,2047.5,Below Opening Low,20:47:00,2047.4000244140625,Below Opening Low,0.1467351430667645,0.3,0.14184516576485692,0.29000244140625,2024-03-18,23:40:00,,,Crossed Above Opening Range High,2050.0
2024-03-19,Tuesday,Win,2059.199951171875,2056.699951171875,2065.699951171875,2032.5,2.5,25.0,0.25,21:13:00,2056.5,Below Opening Low,21:15:00,2056.60009765625,Below Opening Low,1.1808118081180812,2.4,1.1857366620541205,2.410009765625,2024-03-20,10:26:00,,,Crossed Above Opening Range High,2059.5
2024-03-20,Wednesday,Win,2110.39990234375,2105.5,2112.39990234375,2047.800048828125,4.89990234375,48.9990234375,0.489990234375,20:35:00,2105.300048828125,Below Opening Low,20:38:00,2104.800048828125,Below Opening Low,2.8078913286922216,5.75,2.783474882355767,5.7,2024-03-20,23:10:00,,,Crossed Above Opening Range High,2110.800048828125
2024-03-21,Thursday,Win,2129.300048828125,2127.300048828125,2132.699951171875,2104.89990234375,2.0,20.0,0.2,20:36:00,2129.39990234375,Above Opening High,20:55:00,2129.800048828125,Above Opening High,0.15473572952968329,0.3300048828125,0.13597329254668775,0.289990234375,2024-03-21,21:55:00,Crossed Below Opening Range Low,2127.300048828125,,
2024-03-24,Sunday,Win,2096.60009765625,2093.699951171875,2096.39990234375,2093.199951171875,2.900146484375,29.00146484375,0.2900146484375,20:45:00,2093.5,Below Opening Low,20:45:00,2093.5,Below Opening Low,0.014334456101865381,0.0300048828125,0.014334456101865381,0.0300048828125,2024-03-25,09:13:00,,,Crossed Above Opening Range High,2097.10009765625
