Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,38839.0,38809.0,38846.0,38500.0,30.0,30.0,30.0,23:18:00,38840.0,Above Opening High,23:18:00,38840.0,Above Opening High,0.015445605725171188,6.0,0.015445605725171188,6.0,2024-03-12,04:18:00,Crossed Below Opening Range Low,38807.0,,
2024-03-12,Tuesday,Win,39038.0,39023.0,39094.0,38653.0,15.0,15.0,15.0,20:41:00,39015.0,Below Opening Low,20:43:00,39009.0,Below Opening Low,0.9365379142627998,362.0,0.9210151864020903,356.0,2024-03-13,03:03:00,,,Crossed Above Opening Range High,39039.0
2024-03-13,Wednesday,Win,39105.0,39078.0,39225.0,38950.0,27.0,27.0,27.0,20:32:00,38896.0,Above Opening High,20:32:00,38896.0,Above Opening High,0.8867597594536745,348.0,0.8867597594536745,348.0,2024-03-15,09:22:00,Crossed Below Opening Range Low,38866.0,,
2024-03-14,Thursday,Win,38891.0,38867.0,39244.0,38706.0,24.0,24.0,24.0,21:05:00,39133.0,Above Opening High,21:09:00,39133.0,Above Opening High,0.10721123165283981,42.0,0.10721123165283981,42.0,2024-03-18,04:29:00,Crossed Below Opening Range Low,39099.0,,
2024-03-17,Sunday,Win,39132.0,39101.0,39175.0,39111.0,31.0,31.0,31.0,20:31:00,39210.0,Below Opening Low,20:32:00,39210.0,Below Opening Low,0.30955000127913224,121.0,0.30955000127913224,121.0,2024-03-19,02:00:00,,,Crossed Above Opening Range High,39230.0
2024-03-18,Monday,Win,39230.0,39211.0,39337.0,39089.0,19.0,19.0,19.0,21:33:00,39524.0,Below Opening Low,21:34:00,39524.0,Below Opening Low,1.0456346670075418,409.0,1.0456346670075418,409.0,2024-03-20,03:08:00,,,Crossed Above Opening Range High,39553.0
2024-03-19,Tuesday,Loss,39546.0,39525.0,39556.0,39115.0,21.0,21.0,21.0,22:18:00,40026.0,Above Opening High,22:19:00,40026.0,Above Opening High,0.06990562740300593,28.0,0.06990562740300593,28.0,2024-03-22,06:21:00,,,Crossed Above Opening Range High,40256.0
2024-03-20,Wednesday,Win,40025.0,40002.0,40054.0,39426.0,23.0,23.0,23.0,21:37:00,40236.0,Below Opening Low,21:38:00,40234.0,Below Opening Low,0.5648587853036741,226.0,0.5598600349912523,224.0,2024-03-25,04:12:00,,,Crossed Above Opening Range High,39850.0
2024-03-21,Thursday,Loss,40256.0,40237.0,40316.0,40010.0,19.0,19.0,19.0,20:54:00,39828.0,Below Opening Low,20:56:00,39828.0,Below Opening Low,0.07789531874261879,31.0,0.07789531874261879,31.0,2024-03-26,09:22:00,Crossed Below Opening Range Low,39707.0,,
2024-03-24,Sunday,Win,39847.0,39829.0,39843.0,39797.0,18.0,18.0,18.0,20:35:00,39741.0,Above Opening High,20:36:00,39739.0,Above Opening High,0.28103279552354904,112.0,0.2860512383007553,114.0,2024-03-28,03:21:00,Crossed Below Opening Range Low,40102.0,,
