Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,78.12999725341797,78.0,78.47000122070312,76.79000091552734,0.12999725341796875,12.999725341796875,0.0012999725341796874,20:45:00,77.98999786376953,Below Opening Low,21:30:00,79.9000015258789,Above Opening High,1.562699484223527,0.011999969482421874,0.038229614923161584,0.00029998779296875,2024-03-11,21:30:00,,,Crossed Above Opening Range High,78.1500015258789
2024-03-12,Tuesday,Win,78.04000091552734,77.91999816894531,78.7300033569336,77.33999633789062,0.12000274658203125,12.000274658203125,0.0012000274658203124,21:15:00,78.05000305175781,Above Opening High,21:15:00,81.16999816894531,Above Opening High,0.8637117695688437,0.006800003051757812,0.5715795229889162,0.004500045776367188,2024-03-13,03:15:00,Crossed Below Opening Range Low,77.87000274658203,,
2024-03-13,Wednesday,Win,79.7699966430664,79.66000366210938,79.93000030517578,77.56999969482422,0.10999298095703125,10.999298095703125,0.0010999298095703124,20:45:00,79.80000305175781,Above Opening High,21:30:00,81.30000305175781,Above Opening High,0.16263887516781472,0.0012999725341796874,0.15012525551026407,0.001199951171875,2024-03-15,03:45:00,Crossed Below Opening Range Low,80.9000015258789,,
2024-03-14,Thursday,Loss,81.11000061035156,80.91000366210938,81.62000274658203,79.63999938964844,0.1999969482421875,19.99969482421875,0.001999969482421875,20:45:00,81.12999725341797,Above Opening High,21:00:00,82.70999908447266,Below Opening Low,0.6003497631401173,0.004900054931640625,1.9474940028894463,0.015800018310546875,2024-03-19,04:45:00,,,Crossed Above Opening Range High,82.80999755859375
2024-03-17,Sunday,Win,81.16999816894531,81.01000213623047,81.41999816894531,81.01000213623047,0.15999603271484375,15.999603271484375,0.0015999603271484376,21:30:00,81.30000305175781,Above Opening High,21:00:00,83.16000366210938,Above Opening High,0.14737794139777782,0.001199951171875,0.8474512742925756,0.006899948120117187,2024-03-19,22:15:00,Crossed Below Opening Range Low,83.11000061035156,,
2024-03-18,Monday,Win,82.80000305175781,82.72000122070312,83.08999633789062,81.12999725341797,0.0800018310546875,8.00018310546875,0.000800018310546875,20:45:00,82.62999725341797,Below Opening Low,21:30:00,80.66000366210938,Below Opening Low,1.848884568940135,0.015,0.44831954753416653,0.003600006103515625,2024-03-22,04:45:00,,,Crossed Above Opening Range High,81.08999633789062
2024-03-19,Tuesday,Win,83.12000274658203,83.12000274658203,83.8499984741211,82.38999938964844,0.0,0.0,0.0,21:00:00,83.16000366210938,Above Opening High,21:15:00,81.0999984741211,Above Opening High,0.8228918599499726,0.006899948120117187,0.21466941973926848,0.0018000030517578126,2024-03-25,04:15:00,Crossed Below Opening Range Low,80.81999969482422,,
2024-03-21,Thursday,Loss,80.95999908447266,80.81999969482422,81.91999816894531,80.30000305175781,0.1399993896484375,13.99993896484375,0.001399993896484375,21:00:00,80.80999755859375,Below Opening Low,21:15:00,82.25,Above Opening High,0.6351114414120479,0.005099945068359375,0.28076582284493345,0.0023000335693359377,2024-03-25,23:00:00,Crossed Below Opening Range Low,81.9000015258789,,
2024-03-24,Sunday,Loss,80.97000122070312,80.83999633789062,81.27999877929688,80.88999938964844,0.1300048828125,13.00048828125,0.001300048828125,21:00:00,81.01000213623047,Above Opening High,21:30:00,81.05000305175781,Below Opening Low,0.3321809142733133,0.0026999664306640624,0.2969997530194692,0.002400054931640625,2024-03-27,07:30:00,,,Crossed Above Opening Range High,81.31999969482422
2024-03-25,Monday,Win,82.16000366210938,81.98999786376953,82.4800033569336,80.72000122070312,0.17000579833984375,17.000579833984375,0.0017000579833984376,21:00:00,82.18000030517578,Above Opening High,21:00:00,81.81999969482422,Above Opening High,0.36372822447587,0.003000030517578125,0.181864112237935,0.0015000152587890626,2024-03-27,23:45:00,Crossed Below Opening Range Low,81.70999908447266,,
