Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,5139.25,5134.0,5139.25,5094.75,5.25,21.0,1.3125,21:00:00,5175.0,Below Opening Low,22:30:00,5174.0,Below Opening Low,1.2175443743582222,15.5625,1.1979854285853992,15.3125,2024-03-13,03:00:00,,,Crossed Above Opening Range High,5182.5
2024-03-12,Tuesday,Win,5181.0,5175.25,5183.0,5112.75,5.75,23.0,1.4375,21:45:00,5174.75,Above Opening High,21:45:00,5190.25,Above Opening High,0.17361948396431157,2.25,0.08680974198215578,1.125,2024-03-14,09:45:00,Crossed Below Opening Range Low,5145.75,,
2024-03-13,Wednesday,Loss,5174.5,5170.0,5183.75,5153.0,4.5,18.0,1.125,21:00:00,5188.25,Above Opening High,21:00:00,5206.0,Below Opening Low,0.12512632946725058,1.625,0.2696456086286595,3.5,2024-03-19,00:00:00,,,Crossed Above Opening Range High,5211.0
2024-03-14,Thursday,Win,5155.5,5147.5,5189.5,5124.25,8.0,32.0,2.0,20:45:00,5205.25,Below Opening Low,21:45:00,5234.5,Below Opening Low,0.2552003081664098,3.3125,0.935210181257231,12.125,2024-03-20,03:15:00,,,Crossed Above Opening Range High,5240.75
2024-03-17,Sunday,Win,5187.25,5181.75,5194.75,5183.25,5.5,22.0,1.375,21:00:00,5236.0,Below Opening Low,23:00:00,5306.0,Above Opening High,0.9641342074816814,12.5,0.0190666857333524,0.25,2024-03-22,06:30:00,,,Crossed Above Opening Range High,5311.0
2024-03-18,Monday,Win,5210.75,5206.75,5240.25,5192.0,4.0,16.0,1.0,22:30:00,5304.75,Above Opening High,22:00:00,5304.25,Below Opening Low,0.0423968343697004,0.5625,0.09907529722589167,1.3125,2024-03-26,15:15:00,Crossed Below Opening Range Low,5280.75,,
2024-03-19,Tuesday,Loss,5240.75,5236.25,5244.75,5186.0,4.5,18.0,1.125,21:30:00,5307.5,Below Opening Low,22:30:00,5289.0,Below Opening Low,0.1604076240800151,2.125,0.028368794326241134,0.375,2024-03-27,11:15:00,Crossed Below Opening Range Low,5272.75,,
2024-03-20,Wednesday,Loss,5304.0,5299.5,5307.0,5233.0,4.5,18.0,1.125,21:00:00,5290.75,Below Opening Low,22:30:00,5277.0,Above Opening High,0.061465721040189124,0.8125,0.4438149197355996,5.875,2024-04-02,01:30:00,Crossed Below Opening Range Low,5286.5,,
2024-03-21,Thursday,Loss,5311.0,5308.25,5322.75,5299.0,2.75,11.0,0.6875,21:00:00,5286.75,Above Opening High,22:30:00,5326.0,Below Opening Low,0.11808048365766106,1.5625,0.018779342723004695,0.25,2024-04-03,10:00:00,,,Crossed Above Opening Range High,5273.0
2024-03-24,Sunday,Loss,5294.75,5291.0,5295.0,5287.5,3.75,15.0,0.9375,21:00:00,5276.5,Above Opening High,23:30:00,5246.0,Below Opening Low,0.452787472879917,6.0,0.04290822407628129,0.5625,2024-04-08,08:45:00,,,Crossed Above Opening Range High,5265.0
2024-03-25,Monday,Win,5286.25,5282.0,5293.0,5272.5,4.25,17.0,1.0625,21:30:00,5327.0,Below Opening Low,22:00:00,5251.75,Below Opening Low,0.03755868544600939,0.5,0.2912250549030841,3.8125,2024-04-09,01:00:00,,,Crossed Above Opening Range High,5258.25
2024-03-26,Tuesday,Win,5276.25,5273.75,5300.5,5263.0,2.5,10.0,0.625,21:15:00,5291.25,Above Opening High,22:15:00,5204.5,Above Opening High,0.7363286746083857,9.8125,1.510177281680893,20.125,2024-04-11,06:00:00,Crossed Below Opening Range Low,5191.25,,
2024-03-27,Wednesday,Loss,5307.75,5302.5,5313.75,5270.75,5.25,21.0,1.3125,21:45:00,5251.5,Below Opening Low,22:30:00,5088.25,Below Opening Low,0.3151862464183381,4.125,0.13776137761377616,1.75,2024-04-12,04:45:00,Crossed Below Opening Range Low,5239.75,,
2024-03-31,Sunday,Win,5333.5,5327.25,5330.0,5325.0,6.25,25.0,1.5625,23:15:00,5248.0,Below Opening Low,22:00:00,5072.75,Above Opening High,0.08104886769964244,1.0625,0.9081399771776342,11.9375,2024-04-16,07:00:00,,,Crossed Above Opening Range High,5110.5
2024-04-01,Monday,Loss,5291.0,5286.5,5330.5,5282.25,4.5,18.0,1.125,21:45:00,5252.25,Below Opening Low,21:00:00,5009.0,Below Opening Low,0.30077341735892293,3.9375,0.9166918505087137,11.375,2024-04-18,09:30:00,Crossed Below Opening Range Low,5057.0,,
2024-04-02,Tuesday,Loss,5260.25,5252.75,5296.0,5235.0,7.5,30.0,1.875,21:45:00,5202.25,Above Opening High,21:45:00,5042.0,Below Opening Low,1.5657521286660359,20.6875,0.7191370355573312,9.0,2024-04-19,08:00:00,,,Crossed Above Opening Range High,5046.5
2024-04-03,Wednesday,Loss,5284.75,5273.75,5280.75,5244.5,11.0,44.0,2.75,21:45:00,5247.25,Above Opening High,22:00:00,5122.75,Above Opening High,0.19495958155016643,2.5625,0.08559201141226819,1.125,2024-04-23,00:00:00,,,Crossed Above Opening Range High,5049.5
2024-04-04,Thursday,Loss,5205.25,5191.5,5308.5,5191.5,13.75,55.0,3.4375,21:00:00,5097.25,Below Opening Low,21:45:00,5123.0,Above Opening High,0.3148831488314883,4.0,0.16784155756965424,2.1875,2024-04-24,04:45:00,Crossed Below Opening Range Low,5113.5,,
