Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-04-28,Sunday,Loss,4.59250020980835,4.569499969482422,4.607999801635742,4.5625,0.023000240325927734,46.00048065185547,1.1500120162963867e-05,21:45:00,4.5929999351501465,Above Opening High,21:30:00,4.683499813079834,Above Opening High,0.3255179498981547,7.499933242797852e-06,0.23871868220747466,5.500078201293945e-06,2024-04-29,21:15:00,,,Crossed Above Opening Range High,4.691500186920166
2024-04-29,Monday,Win,4.674499988555908,4.667500019073486,4.694499969482422,4.573500156402588,0.006999969482421875,13.99993896484375,3.4999847412109374e-06,21:00:00,4.666500091552734,Below Opening Low,21:30:00,4.5335001945495605,Below Opening Low,2.0334521038542643,4.649996757507324e-05,0.26540050049181246,6.000041961669922e-06,2024-05-01,01:30:00,,,Crossed Above Opening Range High,4.548500061035156
2024-04-30,Tuesday,Loss,4.548500061035156,4.535999774932861,4.681000232696533,4.521500110626221,0.012500286102294922,25.000572204589844,6.250143051147461e-06,21:15:00,4.5320000648498535,Below Opening Low,23:30:00,4.563499927520752,Below Opening Low,0.23222280143168203,5.249977111816406e-06,1.130196574211504,2.5500059127807617e-05,2024-05-01,21:30:00,Crossed Below Opening Range Low,4.564499855041504,,
2024-05-01,Wednesday,Win,4.577000141143799,4.56850004196167,4.597499847412109,4.512499809265137,0.008500099182128906,17.000198364257812,4.250049591064453e-06,21:00:00,4.578000068664551,Above Opening High,22:30:00,4.491499900817871,Below Opening Low,0.4241387579063182,9.749889373779296e-06,0.5709767185809856,1.2749910354614257e-05,2024-05-02,22:15:00,Crossed Below Opening Range Low,4.494999885559082,,
2024-05-02,Thursday,Loss,4.506499767303467,4.498000144958496,4.579999923706055,4.466000080108643,0.008499622344970703,16.999244689941406,4.249811172485351e-06,20:45:00,4.510000228881836,Above Opening High,22:00:00,4.5914998054504395,Above Opening High,1.5283776417091344,3.499984741210938e-05,0.15283776417091344,3.4999847412109374e-06,2024-05-05,21:30:00,,,Crossed Above Opening Range High,4.5854997634887695
2024-05-05,Sunday,Loss,4.581500053405762,4.570000171661377,4.598499774932861,4.5355000495910645,0.011499881744384766,22.99976348876953,5.749940872192383e-06,20:45:00,4.557499885559082,Below Opening Low,21:00:00,4.623499870300293,Above Opening High,0.4850586644795904,1.099991798400879e-05,0.4675461928566607,1.0750055313110351e-05,2024-05-06,21:30:00,Crossed Below Opening Range Low,4.603000164031982,,
2024-05-06,Monday,Win,4.61899995803833,4.604499816894531,4.644999980926514,4.5879998207092285,0.014500141143798828,29.000282287597656,7.250070571899414e-06,20:45:00,4.621500015258789,Above Opening High,21:15:00,4.571000099182129,Below Opening Low,0.5059196074105731,1.1749982833862305e-05,0.4394634235733575,9.999990463256835e-06,2024-05-09,03:30:00,Crossed Below Opening Range Low,4.521500110626221,,
2024-05-07,Tuesday,Win,4.597499847412109,4.5904998779296875,4.618500232696533,4.551000118255615,0.006999969482421875,13.99993896484375,3.4999847412109374e-06,20:45:00,4.590000152587891,Below Opening Low,21:30:00,4.552999973297119,Above Opening High,0.8569552476132212,1.9500017166137696e-05,0.6170851720841567,1.4250040054321289e-05,2024-05-12,22:45:00,,,Crossed Above Opening Range High,4.666500091552734
2024-05-08,Wednesday,Win,4.541500091552734,4.5355000495910645,4.581500053405762,4.505000114440918,0.006000041961669922,12.000083923339844,3.000020980834961e-06,21:15:00,4.548500061035156,Above Opening High,21:15:00,4.625999927520752,Above Opening High,0.7202879403236977,1.6499996185302735e-05,0.14188025897310416,3.2501220703125e-06,2024-05-13,22:45:00,Crossed Below Opening Range Low,4.771999835968018,,
2024-05-09,Thursday,Win,4.609499931335449,4.60099983215332,4.632500171661377,4.518499851226807,0.008500099182128906,17.000198364257812,4.250049591064453e-06,21:00:00,4.614500045776367,Above Opening High,21:15:00,4.618500232696533,Below Opening Low,0.3885617963950186,9.000062942504883e-06,0.05416068295970416,1.2500286102294923e-06,2024-05-15,09:15:00,Crossed Below Opening Range Low,4.890999794006348,,
2024-05-12,Sunday,Loss,4.649499893188477,4.638999938964844,4.673999786376953,4.616000175476074,0.010499954223632812,20.999908447265625,5.249977111816406e-06,21:00:00,4.628499984741211,Below Opening Low,21:30:00,4.9704999923706055,Above Opening High,0.27079308470449837,6.249904632568359e-06,2.1180997354849294,4.94999885559082e-05,2024-05-16,02:15:00,Crossed Below Opening Range Low,4.928500175476074,,
2024-05-13,Monday,Loss,4.7870001792907715,4.778500080108643,4.803999900817871,4.652500152587891,0.008500099182128906,17.000198364257812,4.250049591064453e-06,20:45:00,4.789000034332275,Above Opening High,21:45:00,4.9770002365112305,Above Opening High,0.31223702737883086,7.499933242797852e-06,3.14320460384102,7.549977302551269e-05,2024-05-16,23:00:00,,,Crossed Above Opening Range High,4.891499996185303
2024-05-14,Tuesday,Win,4.954999923706055,4.906000137329102,5.069499969482422,4.786499977111816,0.048999786376953125,97.99957275390625,2.4499893188476564e-05,21:15:00,4.961999893188477,Above Opening High,21:15:00,4.854000091552734,Below Opening Low,2.1205262243037493,5.3750038146972653e-05,0.2581903667169916,6.250143051147461e-06,2024-05-20,04:00:00,Crossed Below Opening Range Low,5.072500228881836,,
2024-05-15,Wednesday,Win,4.9679999351501465,4.929999828338623,5.127999782562256,4.814000129699707,0.03800010681152344,76.00021362304688,1.9000053405761717e-05,21:30:00,4.98199987411499,Above Opening High,21:15:00,5.171000003814697,Above Opening High,2.8471122199290604,7.299995422363282e-05,0.5460194835596714,1.399993896484375e-05,2024-05-20,21:45:00,Crossed Below Opening Range Low,5.081500053405762,,
2024-05-16,Thursday,Win,4.886499881744385,4.874000072479248,5.019999980926514,4.8414998054504395,0.012499809265136719,24.999618530273438,6.249904632568359e-06,21:00:00,4.86899995803833,Below Opening Low,22:00:00,5.044000148773193,Below Opening Low,0.5680089578219468,1.3750076293945312e-05,0.7993597194017352,1.999998092651367e-05,2024-05-23,05:45:00,,,Crossed Above Opening Range High,4.820499897003174
2024-05-19,Sunday,Win,5.109499931335449,5.073500156402588,5.198999881744385,5.083499908447266,0.03599977493286133,71.99954986572266,1.7999887466430664e-05,21:00:00,5.1504998207092285,Above Opening High,22:45:00,5.066500186920166,Below Opening Low,0.9328729012950728,2.4250030517578126e-05,0.5357664280541279,1.3499975204467773e-05,2024-05-24,11:15:00,Crossed Below Opening Range Low,4.752999782562256,,
