Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,2100.300048828125,2097.800048828125,2114.10009765625,2070.0,2.5,25.0,0.25,20:45:00,2097.0,Below Opening Low,21:00:00,2096.60009765625,Below Opening Low,1.3043478260869565,2.7,1.2850288722826086,2.660009765625,2024-03-11,23:30:00,,,Crossed Above Opening Range High,2100.39990234375
2024-03-12,Tuesday,Win,2089.300048828125,2086.0,2109.199951171875,2073.60009765625,3.300048828125,33.00048828125,0.3300048828125,21:00:00,2085.5,Below Opening Low,22:15:00,2084.89990234375,Below Opening Low,0.5738764363099823,1.189990234375,0.5449365429849251,1.12998046875,2024-03-13,03:00:00,,,Crossed Above Opening Range High,2090.699951171875
2024-03-13,Wednesday,Win,2099.699951171875,2096.199951171875,2105.89990234375,2084.5,3.5,35.0,0.35,23:30:00,2096.0,Below Opening Low,21:30:00,2058.300048828125,Above Opening High,0.5516910530103142,1.15,2.279310614268924,4.8,2024-03-14,02:45:00,,,Crossed Above Opening Range High,2099.800048828125
2024-03-14,Thursday,Win,2056.800048828125,2053.800048828125,2106.300048828125,2040.300048828125,3.0,30.0,0.3,21:00:00,2057.199951171875,Above Opening High,21:45:00,2065.10009765625,Above Opening High,2.33110651464722,4.910009765625,0.042724318610288956,0.089990234375,2024-03-15,09:15:00,Crossed Below Opening Range Low,2051.300048828125,,
2024-03-17,Sunday,Win,2063.60009765625,2060.60009765625,2066.0,2061.300048828125,3.0,30.0,0.3,21:45:00,2065.10009765625,Above Opening High,21:00:00,2046.199951171875,Below Opening Low,0.043557712669409485,0.089990234375,0.07825372224603408,0.15999755859375,2024-03-18,09:30:00,Crossed Below Opening Range Low,2056.39990234375,,
2024-03-18,Monday,Win,2049.199951171875,2047.800048828125,2076.39990234375,2044.5999755859375,1.39990234375,13.9990234375,0.139990234375,20:45:00,2046.300048828125,Below Opening Low,21:30:00,2056.39990234375,Below Opening Low,0.08314943081716003,0.17000732421875,1.1808638870985364,2.39998779296875,2024-03-19,00:00:00,,,Crossed Above Opening Range High,2050.0
2024-03-19,Tuesday,Win,2059.10009765625,2056.800048828125,2065.699951171875,2032.4000244140625,2.300048828125,23.00048828125,0.2300048828125,21:00:00,2056.60009765625,Below Opening Low,23:15:00,2112.0,Above Opening High,1.190714079486608,2.42000732421875,0.024204870591992278,0.05,2024-03-20,10:15:00,,,Crossed Above Opening Range High,2061.699951171875
2024-03-20,Wednesday,Win,2110.5,2104.800048828125,2112.5,2047.699951171875,5.699951171875,56.99951171875,0.5699951171875,23:00:00,2111.39990234375,Above Opening High,21:00:00,2131.10009765625,Above Opening High,0.05207562869822485,0.110009765625,0.07100591715976332,0.15,2024-03-21,21:45:00,Crossed Below Opening Range Low,2125.199951171875,,
2024-03-21,Thursday,Loss,2129.60009765625,2127.199951171875,2132.60009765625,2104.699951171875,2.400146484375,24.00146484375,0.2400146484375,20:45:00,2130.10009765625,Above Opening High,23:15:00,2100.300048828125,Above Opening High,0.11722779168713002,0.25,0.8393464092692381,1.789990234375,2024-03-26,03:00:00,,,Crossed Above Opening Range High,2106.699951171875
2024-03-24,Sunday,Win,2096.699951171875,2093.39990234375,2096.39990234375,2093.0,3.300048828125,33.00048828125,0.3300048828125,23:30:00,2102.60009765625,Below Opening Low,21:45:00,2161.199951171875,Below Opening Low,0.6414008614569698,1.3400146484375,0.06019023505275829,0.1300048828125,2024-03-28,06:15:00,,,Crossed Above Opening Range High,2138.0
2024-03-25,Monday,Loss,2106.60009765625,2102.800048828125,2111.89990234375,2089.199951171875,3.800048828125,38.00048828125,0.3800048828125,21:00:00,2099.5,Above Opening High,22:15:00,2099.800048828125,Below Opening Low,0.8828227553083182,1.8699951171875,1.454321803467559,3.010009765625,2024-04-04,08:30:00,,,Crossed Above Opening Range High,2108.300048828125
2024-03-26,Tuesday,Win,2099.199951171875,2097.300048828125,2118.199951171875,2091.5,1.89990234375,18.9990234375,0.189990234375,23:00:00,2133.5,Below Opening Low,23:45:00,2077.0,Below Opening Low,1.6145885295772238,3.389990234375,0.06744566765682647,0.139990234375,2024-04-08,08:15:00,,,Crossed Above Opening Range High,2090.89990234375
2024-03-27,Wednesday,Win,2137.800048828125,2133.800048828125,2142.199951171875,2099.60009765625,4.0,40.0,0.4,21:30:00,2161.199951171875,Below Opening Low,21:00:00,2090.60009765625,Below Opening Low,0.06019023505275829,0.1300048828125,0.8052556101491118,1.67001953125,2024-04-09,01:00:00,,,Crossed Above Opening Range High,2093.199951171875
2024-03-31,Sunday,Win,2165.89990234375,2162.300048828125,2164.0,2159.89990234375,3.599853515625,35.99853515625,0.3599853515625,21:00:00,2100.300048828125,Below Opening Low,22:15:00,2042.300048828125,Above Opening High,1.4784798945820172,3.060009765625,3.4002281881173833,7.15,2024-04-10,04:30:00,,,Crossed Above Opening Range High,2104.800048828125
2024-04-01,Monday,Loss,2125.199951171875,2122.0,2164.60009765625,2119.5,3.199951171875,31.99951171875,0.3199951171875,23:15:00,2077.800048828125,Below Opening Low,21:45:00,2058.800048828125,Above Opening High,0.10599109020852167,0.2199951171875,0.23523294977196352,0.489990234375,2024-04-11,04:45:00,Crossed Below Opening Range Low,2034.4000244140625,,
2024-04-02,Tuesday,Loss,2086.300048828125,2081.10009765625,2129.39990234375,2072.10009765625,5.199951171875,51.99951171875,0.5199951171875,20:45:00,2090.800048828125,Below Opening Low,22:30:00,1985.300048828125,Below Opening Low,0.8148969227143439,1.6900146484375,0.21200713209565664,0.42000732421875,2024-04-12,05:00:00,Crossed Below Opening Range Low,2054.10009765625,,
2024-04-03,Wednesday,Loss,2107.5,2100.39990234375,2102.800048828125,2069.699951171875,7.10009765625,71.0009765625,0.710009765625,21:30:00,2101.60009765625,Below Opening Low,22:00:00,1967.4000244140625,Above Opening High,0.994771314525271,2.07001953125,1.580667751916406,3.32999267578125,2024-04-17,02:00:00,Crossed Below Opening Range Low,1978.199951171875,,
2024-04-04,Thursday,Win,2079.60009765625,2073.699951171875,2123.800048828125,2069.0,5.900146484375,59.00146484375,0.5900146484375,21:45:00,2041.699951171875,Above Opening High,21:00:00,1938.5999755859375,Below Opening Low,3.410923265718617,7.210009765625,1.1742602310257622,2.25,2024-04-18,05:00:00,Crossed Below Opening Range Low,1963.5999755859375,,
2024-04-07,Sunday,Loss,2090.60009765625,2078.0,2083.0,2075.60009765625,12.60009765625,126.0009765625,1.260009765625,21:30:00,2058.199951171875,Above Opening High,21:45:00,1980.4000244140625,Below Opening Low,0.2665116116747891,0.55,1.1027146746734022,2.15999755859375,2024-04-19,07:30:00,,,Crossed Above Opening Range High,1956.699951171875
2024-04-08,Monday,Win,2092.89990234375,2091.199951171875,2101.699951171875,2073.89990234375,1.699951171875,16.99951171875,0.1699951171875,21:00:00,1987.5999755859375,Below Opening Low,22:15:00,1988.9000244140625,Above Opening High,0.3281005542427275,0.65,1.7635223891122178,3.59000244140625,2024-04-23,04:00:00,,,Crossed Above Opening Range High,1987.0
2024-04-09,Tuesday,Win,2104.60009765625,2101.800048828125,2106.699951171875,2080.89990234375,2.800048828125,28.00048828125,0.2800048828125,23:00:00,1990.5999755859375,Above Opening High,23:00:00,2021.4000244140625,Below Opening Low,0.20554347452251087,0.40999755859375,0.31761907762096775,0.64000244140625,2024-04-24,02:30:00,Crossed Below Opening Range Low,2014.5,,
2024-04-10,Wednesday,Win,2041.300048828125,2036.9000244140625,2113.800048828125,2027.800048828125,4.4000244140625,44.000244140625,0.44000244140625,21:00:00,1965.800048828125,Above Opening High,22:45:00,1985.5999755859375,Above Opening High,1.7443846251562107,3.489990234375,2.0242915473795975,4.05,2024-04-25,08:30:00,Crossed Below Opening Range Low,1986.5,,
2024-04-11,Thursday,Win,2058.0,2054.5,2063.699951171875,2016.0999755859375,3.5,35.0,0.35,20:45:00,1946.699951171875,Below Opening Low,21:15:00,2005.5,Above Opening High,1.5969926400411398,3.05999755859375,1.2981809656428644,2.5800048828125,2024-04-30,03:30:00,,,Crossed Above Opening Range High,2026.0
2024-04-14,Sunday,Loss,2034.699951171875,2025.199951171875,2032.9000244140625,2025.5,9.5,95.0,0.95,21:30:00,1982.0,Below Opening Low,22:15:00,2072.0,Below Opening Low,1.1843960891135694,2.3199951171875,0.13532036024547625,0.2800048828125,2024-05-01,03:45:00,Crossed Below Opening Range Low,1979.199951171875,,
2024-04-15,Monday,Loss,1991.800048828125,1988.0999755859375,2035.699951171875,1981.0999755859375,3.7000732421875,37.000732421875,0.37000732421875,23:30:00,2018.9000244140625,Above Opening High,23:45:00,2060.60009765625,Below Opening Low,0.24211998694731943,0.49000244140625,0.4191080729166667,0.860009765625,2024-05-03,08:15:00,,,Crossed Above Opening Range High,2027.5999755859375
2024-04-16,Tuesday,Win,1990.300048828125,1982.5,1994.699951171875,1965.300048828125,7.800048828125,78.00048828125,0.7800048828125,20:45:00,2012.5999755859375,Above Opening High,21:00:00,2087.199951171875,Above Opening High,0.32192561431306627,0.65,0.0693450795554926,0.1400146484375,2024-05-07,03:30:00,Crossed Below Opening Range Low,2071.0,,
2024-04-17,Wednesday,Loss,1965.699951171875,1964.0,2000.699951171875,1958.199951171875,1.699951171875,16.99951171875,0.1699951171875,21:45:00,1988.800048828125,Above Opening High,21:45:00,2069.39990234375,Above Opening High,1.7779533352360095,3.6,0.09877518529088941,0.2,2024-05-09,08:30:00,,,Crossed Above Opening Range High,2067.699951171875
2024-04-18,Thursday,Loss,1956.4000244140625,1948.699951171875,1987.4000244140625,1916.0999755859375,7.7000732421875,77.000732421875,0.77000732421875,20:45:00,2022.5,Below Opening Low,21:15:00,2070.800048828125,Below Opening Low,0.37220843672456577,0.75,0.057979856747876216,0.1199951171875,2024-05-09,21:45:00,Crossed Below Opening Range Low,2085.10009765625,,
2024-04-21,Sunday,Loss,1973.5,1965.800048828125,1971.800048828125,1965.5999755859375,7.699951171875,76.99951171875,0.7699951171875,21:15:00,1984.0999755859375,Above Opening High,22:45:00,2100.699951171875,Above Opening High,2.0729480532101494,4.2,0.1381989468370257,0.2800048828125,2024-05-14,03:45:00,,,Crossed Above Opening Range High,2074.300048828125
2024-04-22,Monday,Win,1984.9000244140625,1982.0999755859375,1993.199951171875,1958.800048828125,2.800048828125,28.00048828125,0.2800048828125,21:00:00,2006.0999755859375,Above Opening High,21:45:00,2105.300048828125,Above Opening High,1.2405884230015967,2.52000732421875,0.9353615686151964,1.9,2024-05-15,08:00:00,Crossed Below Opening Range Low,2095.199951171875,,
2024-04-23,Tuesday,Loss,2018.5999755859375,2015.199951171875,2023.800048828125,1974.0,3.4000244140625,34.000244140625,0.34000244140625,22:45:00,2022.4000244140625,Below Opening Low,22:30:00,2090.699951171875,Above Opening High,1.5414005118654652,3.07000732421875,0.9019245356394775,1.8300048828125,2024-05-16,22:45:00,Crossed Below Opening Range Low,2102.89990234375,,
2024-04-24,Wednesday,Loss,2012.0,2005.0,2019.0999755859375,1993.4000244140625,7.0,70.0,0.7,23:00:00,2073.5,Above Opening High,21:00:00,2060.0,Above Opening High,0.0963623223319682,0.2,1.9802504291134666,4.110009765625,2024-05-21,21:45:00,,,Crossed Above Opening Range High,2109.39990234375
2024-04-25,Thursday,Loss,1988.5999755859375,1985.0,2024.800048828125,1965.699951171875,3.5999755859375,35.999755859375,0.35999755859375,21:45:00,2072.39990234375,Below Opening Low,23:00:00,2063.89990234375,Below Opening Low,0.1546467836548485,0.3199951171875,0.14070365568898593,0.289990234375,2024-05-23,09:30:00,Crossed Below Opening Range Low,2086.89990234375,,
2024-04-28,Sunday,Win,2020.800048828125,2017.0,2021.300048828125,2017.699951171875,3.800048828125,38.00048828125,0.3800048828125,23:30:00,2060.800048828125,Below Opening Low,22:45:00,2036.5,Below Opening Low,0.42885228207236836,0.8800048828125,0.06387818687674533,0.1300048828125,2024-05-28,08:00:00,,,Crossed Above Opening Range High,2088.60009765625
2024-04-29,Monday,Loss,2024.5,2022.5999755859375,2032.9000244140625,2015.0,1.9000244140625,19.000244140625,0.19000244140625,20:45:00,2087.5,Above Opening High,21:30:00,2060.300048828125,Above Opening High,0.052671531399643666,0.110009765625,0.4644235716909104,0.9699951171875,2024-05-30,04:00:00,,,Crossed Above Opening Range High,2040.4000244140625
2024-04-30,Tuesday,Win,1983.800048828125,1980.199951171875,2026.0999755859375,1978.699951171875,3.60009765625,36.0009765625,0.360009765625,21:45:00,2069.39990234375,Above Opening High,22:15:00,2088.800048828125,Above Opening High,0.09655306045621792,0.2,0.0820677441353327,0.1699951171875,2024-05-31,04:15:00,Crossed Below Opening Range Low,2056.699951171875,,
2024-05-01,Wednesday,Loss,2004.699951171875,1999.800048828125,2031.300048828125,1972.0999755859375,4.89990234375,48.9990234375,0.489990234375,20:45:00,2071.0,Below Opening Low,22:15:00,2044.0999755859375,Above Opening High,0.06764120012051317,0.139990234375,0.9708238525974414,2.02999267578125,2024-06-03,09:45:00,Crossed Below Opening Range Low,2077.199951171875,,
