Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-10,Sunday,Win,5131.25,5123.5,5133.0,5119.25,7.75,31.0,1.9375,23:30:00,5123.25,Below Opening Low,22:45:00,5236.75,Below Opening Low,0.07813644576842312,1.0,1.1785731536492297,15.25,2024-03-11,03:45:00,,,Crossed Above Opening Range High,5185.75
2024-03-11,Monday,Win,5202.25,5196.75,5202.25,5103.0,5.5,22.0,1.375,21:00:00,5238.5,Below Opening Low,21:45:00,5190.0,Above Opening High,1.2123846785490027,15.6875,0.09053223424024395,1.1875,2024-03-13,03:00:00,,,Crossed Above Opening Range High,5246.25
2024-03-12,Tuesday,Win,5244.5,5238.75,5246.75,5175.75,5.75,23.0,1.4375,21:30:00,5218.25,Above Opening High,21:15:00,5203.5,Below Opening Low,0.6709812505948415,8.8125,0.22149460708782742,2.875,2024-03-15,01:30:00,Crossed Below Opening Range Low,5210.0,,
2024-03-13,Wednesday,Loss,5239.25,5234.75,5247.5,5217.5,4.5,18.0,1.125,21:00:00,5188.25,Above Opening High,21:45:00,5234.5,Below Opening Low,0.12512632946725058,1.625,0.935210181257231,12.125,2024-03-19,00:00:00,,,Crossed Above Opening Range High,5211.25
2024-03-14,Thursday,Win,5218.0,5210.0,5253.5,5188.0,8.0,32.0,2.0,20:45:00,5205.0,Below Opening Low,23:00:00,5305.75,Above Opening High,0.25038520801232667,3.25,0.023853823767950002,0.3125,2024-03-20,07:00:00,,,Crossed Above Opening Range High,5244.25
2024-03-17,Sunday,Win,5187.25,5181.75,5194.75,5183.25,5.5,22.0,1.375,21:30:00,5234.75,Below Opening Low,22:00:00,5304.5,Below Opening Low,0.9400308522946395,12.1875,0.09907062320139642,1.3125,2024-03-22,06:30:00,,,Crossed Above Opening Range High,5311.0
2024-03-18,Monday,Win,5210.75,5206.75,5240.25,5192.0,4.0,16.0,1.0,22:30:00,5304.5,Above Opening High,22:30:00,5289.25,Below Opening Low,0.04710759374411155,0.625,0.03309692671394799,0.4375,2024-03-25,23:30:00,Crossed Below Opening Range Low,5282.0,,
2024-03-19,Tuesday,Loss,5240.75,5236.25,5244.75,5186.0,4.5,18.0,1.125,21:30:00,5307.5,Below Opening Low,22:30:00,5276.75,Above Opening High,0.15568240788790866,2.0625,0.4460931630353118,5.9375,2024-03-27,11:15:00,Crossed Below Opening Range Low,5273.0,,
2024-03-20,Wednesday,Loss,5304.0,5299.5,5307.0,5233.0,4.5,18.0,1.125,21:00:00,5290.75,Below Opening Low,22:30:00,5326.0,Below Opening Low,0.061465721040189124,0.8125,0.018779342723004695,0.25,2024-04-02,03:15:00,Crossed Below Opening Range Low,5285.75,,
2024-03-21,Thursday,Loss,5311.0,5308.25,5324.0,5299.25,2.75,11.0,0.6875,21:00:00,5286.75,Above Opening High,23:30:00,5246.0,Below Opening Low,0.11808048365766106,1.5625,0.04290822407628129,0.5625,2024-04-03,10:00:00,,,Crossed Above Opening Range High,5273.25
