Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-10,Sunday,Win,18048.0,18010.75,18055.5,17990.5,37.25,149.0,9.3125,22:45:00,18010.5,Below Opening Low,22:45:00,18452.25,Below Opening Low,0.11116978405269447,5.0,2.9127161182375905,130.5625,2024-03-13,03:00:00,,,Crossed Above Opening Range High,18496.5
2024-03-11,Monday,Loss,18065.5,18035.75,18065.5,17890.0,29.75,119.0,7.4375,21:30:00,18457.5,Below Opening Low,21:30:00,18099.0,Above Opening High,2.9419966536530953,131.875,0.15142501757611812,7.0,2024-03-14,09:45:00,Crossed Below Opening Range Low,18238.25,,
2024-03-12,Tuesday,Win,18486.75,18458.25,18491.0,17930.0,28.5,114.0,7.125,21:45:00,18379.25,Above Opening High,21:00:00,18167.25,Below Opening Low,0.6755204885364173,31.25,0.24554772316563436,11.125,2024-03-15,00:30:00,Crossed Below Opening Range Low,18223.5,,
2024-03-13,Wednesday,Loss,18377.5,18353.5,18504.25,18281.5,24.0,96.0,6.0,20:45:00,18261.25,Above Opening High,21:45:00,18233.0,Below Opening Low,0.90621735650428,41.75,0.9956656003766634,44.9375,2024-03-18,23:00:00,,,Crossed Above Opening Range High,18196.5
2024-03-14,Thursday,Loss,18259.25,18223.75,18428.25,18161.25,35.5,142.0,8.875,20:45:00,18089.5,Above Opening High,22:45:00,18588.25,Above Opening High,0.2068737242787003,9.375,0.046891377503172064,2.125,2024-03-20,06:30:00,,,Crossed Above Opening Range High,18285.75
2024-03-17,Sunday,Win,18088.75,18063.75,18127.0,18071.75,25.0,100.0,6.25,20:45:00,18163.5,Below Opening Low,22:00:00,18563.5,Below Opening Low,0.2248554993033618,10.1875,0.16997625728469673,7.875,2024-03-20,22:30:00,,,Crossed Above Opening Range High,18589.75
2024-03-18,Monday,Win,18196.5,18176.0,18380.75,18122.75,20.5,82.0,5.125,21:00:00,18244.75,Below Opening Low,23:45:00,18523.25,Below Opening Low,1.0607508343373075,47.875,0.5878360032582134,27.0625,2024-03-22,05:00:00,,,Crossed Above Opening Range High,18601.25
2024-03-19,Tuesday,Loss,18281.5,18246.75,18289.5,18053.25,34.75,139.0,8.6875,20:45:00,18561.0,Below Opening Low,23:15:00,18499.25,Above Opening High,1.7933530766699572,81.75,0.6425853979862073,29.875,2024-03-25,23:30:00,Crossed Below Opening Range Low,18520.25,,
2024-03-20,Wednesday,Loss,18585.25,18563.0,18596.75,18234.0,22.25,89.0,5.5625,21:30:00,18578.0,Below Opening Low,21:45:00,18585.75,Below Opening Low,0.24821929635225554,11.5,0.12120722395054745,5.625,2024-03-27,03:15:00,Crossed Below Opening Range Low,18482.5,,
2024-03-21,Thursday,Loss,18595.5,18581.5,18708.5,18532.0,14.0,56.0,3.5,22:30:00,18568.75,Below Opening Low,23:00:00,18488.75,Above Opening High,0.017505588322426005,0.8125,0.6370539614273234,29.625,2024-04-02,03:15:00,Crossed Below Opening Range Low,18451.5,,
2024-03-24,Sunday,Loss,18598.0,18571.25,18601.25,18565.5,26.75,107.0,6.6875,21:00:00,18553.5,Above Opening High,22:00:00,18185.25,Above Opening High,0.12246820536975978,5.6875,1.5328712738039163,71.1875,2024-04-03,10:00:00,,,Crossed Above Opening Range High,18370.25
2024-03-25,Monday,Win,18548.0,18532.25,18576.25,18415.0,15.75,63.0,3.9375,21:45:00,18493.25,Above Opening High,22:30:00,17822.5,Below Opening Low,0.6740516951997314,31.375,0.15172375038633362,6.75,2024-04-08,04:15:00,Crossed Below Opening Range Low,18273.25,,
2024-03-26,Tuesday,Win,18493.0,18483.0,18618.75,18439.25,10.0,40.0,2.5,21:30:00,18586.5,Below Opening Low,22:00:00,17709.5,Above Opening High,0.12524746474889903,5.8125,1.390848619229994,64.6875,2024-04-09,00:45:00,,,Crossed Above Opening Range High,18314.0
2024-03-27,Wednesday,Win,18503.5,18475.0,18572.25,18378.5,28.5,114.0,7.125,22:45:00,18487.0,Above Opening High,21:15:00,17339.5,Below Opening Low,0.646253476467506,30.0625,0.9269364531948022,39.8125,2024-04-11,07:15:00,Crossed Below Opening Range Low,18145.75,,
2024-03-31,Sunday,Win,18611.75,18589.75,18603.75,18563.25,22.0,88.0,5.5,21:45:00,18293.5,Below Opening Low,22:00:00,17732.5,Above Opening High,0.508213834404703,23.125,0.07021713298044722,3.25,2024-04-16,07:45:00,,,Crossed Above Opening Range High,17907.75
2024-04-01,Monday,Win,18481.25,18458.0,18607.25,18414.5,23.25,93.0,5.8125,21:30:00,18331.75,Above Opening High,22:00:00,17772.75,Above Opening High,0.012272281007963346,0.5625,0.2522635540525799,11.5625,2024-04-18,09:15:00,Crossed Below Opening Range Low,17673.25,,
2024-04-02,Tuesday,Win,18333.25,18300.5,18514.0,18201.0,32.75,131.0,8.1875,21:45:00,18287.25,Below Opening Low,22:00:00,17901.25,Above Opening High,0.2714150594234486,12.375,0.06393687933614475,2.9375,2024-04-19,08:15:00,,,Crossed Above Opening Range High,17530.0
2024-04-03,Wednesday,Loss,18485.25,18416.5,18454.5,18232.75,68.75,275.0,17.1875,21:45:00,18178.5,Above Opening High,23:30:00,17522.75,Above Opening High,1.5782349756361669,72.875,2.1047644829453165,97.1875,2024-04-23,00:00:00,,,Crossed Above Opening Range High,17341.0
2024-04-04,Thursday,Loss,18110.0,18054.25,18568.25,18054.25,55.75,223.0,13.9375,22:15:00,17821.25,Below Opening Low,22:15:00,17546.0,Above Opening High,0.14469950268326262,6.4375,1.3391640782518663,61.4375,2024-04-24,11:00:00,Crossed Below Opening Range Low,17658.0,,
2024-04-07,Sunday,Win,18325.25,18283.75,18334.0,18270.5,41.5,166.0,10.375,21:00:00,17700.5,Above Opening High,21:30:00,17773.25,Above Opening High,1.4901284209647572,66.9375,0.07513252542679448,3.375,2024-04-25,01:00:00,Crossed Below Opening Range Low,17434.75,,
2024-04-08,Monday,Loss,18313.75,18291.75,18377.5,18237.75,22.0,88.0,5.5,20:45:00,17437.0,Below Opening Low,22:00:00,18218.5,Below Opening Low,1.4944485673957013,64.1875,0.6310672908295014,28.5625,2024-04-26,04:45:00,Crossed Below Opening Range Low,17735.25,,
2024-04-09,Tuesday,Loss,18382.5,18366.75,18407.25,18160.25,15.75,63.0,3.9375,21:45:00,17305.75,Below Opening Low,21:00:00,18259.5,Above Opening High,0.9155186238063998,39.25,0.11462631820265932,5.0,2024-04-29,09:30:00,Crossed Below Opening Range Low,17845.75,,
2024-04-10,Wednesday,Win,18176.25,18148.0,18470.0,18054.0,28.25,113.0,7.0625,21:15:00,17720.5,Above Opening High,21:15:00,18273.5,Below Opening Low,0.1408807866783128,6.25,0.21250634091501117,9.6875,2024-04-30,01:15:00,Crossed Below Opening Range Low,17891.75,,
2024-04-11,Thursday,Win,18497.25,18473.0,18519.25,18085.0,24.25,97.0,6.0625,20:45:00,17488.75,Above Opening High,23:00:00,18429.0,Above Opening High,1.7251310003793041,76.75,0.05478836238989646,2.4375,2024-05-01,02:30:00,Crossed Below Opening Range Low,17475.75,,
2024-04-14,Sunday,Win,18255.0,18192.25,18243.0,18194.5,62.75,251.0,15.6875,21:30:00,17775.75,Above Opening High,21:30:00,18664.5,Above Opening High,0.24271844660194172,10.8125,0.5401537684494079,24.0625,2024-05-02,10:00:00,Crossed Below Opening Range Low,17445.25,,
2024-04-15,Monday,Win,17894.0,17863.0,18351.0,17795.5,31.0,124.0,7.75,21:30:00,17895.75,Above Opening High,23:15:00,18675.25,Above Opening High,0.09629877742421705,4.3125,0.022330151286774968,1.0,2024-05-03,02:15:00,Crossed Below Opening Range Low,17736.25,,
2024-04-16,Tuesday,Loss,17940.0,17890.0,17988.0,17791.25,50.0,200.0,12.5,21:15:00,17914.5,Above Opening High,21:30:00,18893.25,Above Opening High,0.19221126525154605,8.625,0.40392222407933587,18.125,2024-05-08,10:30:00,,,Crossed Above Opening Range High,18218.0
2024-04-17,Wednesday,Win,17700.25,17678.75,17968.25,17616.0,21.5,86.0,5.375,22:30:00,17517.5,Above Opening High,21:45:00,18726.25,Above Opening High,2.1997041007174163,98.5,1.6539653295368897,74.0625,2024-05-09,00:45:00,Crossed Below Opening Range Low,18149.5,,
2024-04-18,Thursday,Loss,17517.25,17437.5,17771.0,17180.25,79.75,319.0,19.9375,22:00:00,17546.75,Above Opening High,23:30:00,18852.0,Above Opening High,1.377042730479014,61.25,0.02529262158022679,1.125,2024-05-10,02:45:00,,,Crossed Above Opening Range High,18253.75
2024-04-21,Sunday,Loss,17273.0,17200.0,17259.75,17200.0,73.0,292.0,18.25,21:15:00,17775.0,Above Opening High,23:15:00,18922.25,Above Opening High,0.0660604101367591,2.9375,0.19677568976906967,8.75,2024-05-14,02:30:00,,,Crossed Above Opening Range High,18290.0
2024-04-22,Monday,Loss,17338.0,17316.0,17448.0,17148.75,22.0,88.0,5.5,23:45:00,18195.5,Below Opening Low,23:00:00,18889.0,Below Opening Low,0.24654628596614464,11.1875,0.36929780281091423,17.375,2024-05-15,03:30:00,Crossed Below Opening Range Low,18395.0,,
2024-04-23,Tuesday,Win,17719.25,17681.25,17745.5,17317.5,38.0,152.0,9.5,21:45:00,18173.75,Above Opening High,22:45:00,18692.0,Below Opening Low,0.37550192547520184,17.125,0.08031268404990095,3.75,2024-05-17,04:00:00,Crossed Below Opening Range Low,18627.0,,
2024-04-24,Wednesday,Loss,17484.5,17447.0,17795.75,17456.0,37.5,150.0,9.375,21:45:00,18218.25,Below Opening Low,22:15:00,18758.5,Above Opening High,0.6296863996023033,28.5,0.03974780701754386,1.8125,2024-05-20,04:30:00,Crossed Below Opening Range Low,18655.75,,
2024-04-25,Thursday,Loss,17767.25,17742.0,17819.0,17308.0,25.25,101.0,6.3125,20:45:00,18258.0,Above Opening High,23:15:00,19107.5,Above Opening High,0.11761809677507591,5.375,0.02051478432123417,0.9375,2024-05-21,12:00:00,,,Crossed Above Opening Range High,18763.0
2024-04-28,Sunday,Loss,17894.75,17862.5,17913.0,17877.5,32.25,129.0,8.0625,20:45:00,18277.75,Below Opening Low,21:45:00,19082.0,Above Opening High,0.23581348798310917,10.75,0.23041160510995679,10.5625,2024-05-22,02:00:00,Crossed Below Opening Range Low,18803.25,,
2024-04-29,Monday,Win,17914.0,17897.0,17949.0,17791.25,17.0,68.0,4.25,22:30:00,18431.5,Above Opening High,23:15:00,19049.25,Above Opening High,0.039319368178428585,1.8125,0.008135041692088672,0.375,2024-05-23,09:45:00,Crossed Below Opening Range Low,18851.75,,
2024-04-30,Tuesday,Win,17517.25,17480.75,17911.5,17498.75,36.5,146.0,9.125,21:00:00,18657.5,Above Opening High,21:45:00,19095.75,Above Opening High,0.5503511320176432,25.8125,0.1812294284610157,8.5,2024-05-24,02:45:00,Crossed Below Opening Range Low,18693.5,,
2024-05-01,Wednesday,Win,17540.5,17498.5,17791.75,17399.0,42.0,168.0,10.5,22:30:00,18673.0,Above Opening High,23:15:00,19630.5,Above Opening High,0.033459587510205176,1.5625,0.04550503901387904,2.125,2024-05-28,09:30:00,Crossed Below Opening Range Low,18872.25,,
2024-05-02,Thursday,Win,17764.25,17737.25,17786.75,17386.0,27.0,108.0,6.75,21:45:00,18743.75,Below Opening Low,22:15:00,19630.75,Above Opening High,0.5822299137387478,27.125,0.31525180238899675,14.8125,2024-05-30,04:45:00,,,Crossed Above Opening Range High,18735.0
2024-05-05,Sunday,Win,18025.5,17995.0,18014.75,17995.0,30.5,122.0,7.625,22:00:00,18818.25,Above Opening High,21:00:00,19687.25,Below Opening Low,0.03054611134721632,1.4375,0.013970382788488405,0.6875,2024-06-03,12:00:00,Crossed Below Opening Range Low,18520.75,,
2024-05-06,Monday,Loss,18188.5,18171.5,18201.75,17983.75,17.0,68.0,4.25,21:15:00,18884.0,Above Opening High,21:00:00,20252.0,Above Opening High,0.43104016450707194,20.4375,0.21090650251110554,10.0,2024-06-04,14:15:00,,,Crossed Above Opening Range High,18735.5
