Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-10,Sunday,Win,1.8380000591278076,1.8329999446868896,1.840999960899353,1.8329999446868896,0.005000114440917969,5.000114440917969,5.000114440917969e-06,21:00:00,1.840999960899353,Above Opening High,21:45:00,1.7480000257492063,Above Opening High,0.0,0.0,4.780007701658471,8.799993991851851e-05,2024-03-11,00:15:00,Crossed Below Opening Range Low,1.8320000171661377,,
2024-03-11,Monday,Win,1.746000051498413,1.7419999837875366,1.8359999656677248,1.7419999837875366,0.004000067710876465,4.000067710876465,4.000067710876465e-06,21:30:00,1.7480000257492063,Above Opening High,23:00:00,1.722000002861023,Above Opening High,4.793025139655397,8.799993991851851e-05,2.1786472004905497,3.999996185302734e-05,2024-03-12,10:30:00,Crossed Below Opening Range Low,1.7369999885559082,,
2024-03-12,Tuesday,Win,1.7170000076293943,1.7039999961853027,1.8229999542236328,1.690999984741211,0.013000011444091575,13.000011444091575,1.3000011444091574e-05,22:00:00,1.7580000162124634,Above Opening High,22:00:00,1.7079999446868896,Above Opening High,0.5093346880150472,8.999943733215332e-06,0.28297196119187706,5.000114440917969e-06,2024-03-15,01:00:00,Crossed Below Opening Range Low,1.74399995803833,,
2024-03-13,Wednesday,Win,1.6649999618530271,1.656999945640564,1.7130000591278076,1.6510000228881836,0.008000016212463157,8.000016212463157,8.000016212463156e-06,22:15:00,1.7200000286102295,Above Opening High,20:45:00,1.6059999465942385,Below Opening Low,2.383651358962249,4.1999936103820804e-05,1.0698527431415785,1.6999959945678934e-05,2024-03-19,01:30:00,Crossed Below Opening Range Low,1.7079999446868896,,
2024-03-14,Thursday,Loss,1.756999969482422,1.74399995803833,1.7669999599456787,1.6430000066757202,0.013000011444092019,13.000011444092019,1.300001144409202e-05,22:00:00,1.7489999532699585,Below Opening Low,22:15:00,1.7359999418258667,Above Opening High,2.821868240163902,4.7999978065490725e-05,0.0,0.0,2024-03-22,00:30:00,Crossed Below Opening Range Low,1.6950000524520874,,
2024-03-17,Sunday,Loss,1.746999979019165,1.7059999704360962,1.741000056266785,1.7269999980926514,0.04100000858306885,41.00000858306885,4.100000858306885e-05,21:15:00,1.7020000219345093,Above Opening High,22:45:00,1.8480000495910645,Below Opening Low,0.6421504269473947,1.100003719329834e-05,5.8419241170763545,0.00010199999809265137,2024-03-24,21:45:00,,,Crossed Above Opening Range High,1.6660000085830688
2024-03-18,Monday,Win,1.718999981880188,1.7100000381469729,1.7619999647140503,1.690999984741211,0.00899994373321511,8.99994373321511,8.99994373321511e-06,21:15:00,1.6540000438690186,Below Opening Low,22:45:00,1.8949999809265137,Above Opening High,0.24242834961672047,4.000067710876465e-06,1.7406989027378719,2.9000043869018332e-05,2024-03-26,01:45:00,,,Crossed Above Opening Range High,1.6150000095367432
2024-03-19,Tuesday,Loss,1.756999969482422,1.75,1.7690000534057615,1.7009999752044678,0.006999969482422097,6.999969482422097,6.999969482422097e-06,20:45:00,1.6059999465942385,Below Opening Low,23:45:00,1.8539999723434448,Below Opening Low,1.0698527431415785,1.6999959945678934e-05,0.10798997045644841,1.999974250793679e-06,2024-04-01,03:00:00,Crossed Below Opening Range Low,1.7200000286102295,,
2024-03-20,Wednesday,Loss,1.7130000591278076,1.7000000476837158,1.7549999952316284,1.6859999895095823,0.013000011444091797,13.000011444091797,1.3000011444091798e-05,22:00:00,1.7330000400543213,Above Opening High,21:00:00,1.756999969482422,Below Opening Low,0.17280540737750336,2.99990177154541e-06,0.34265691560576095,5.999922752380593e-06,2024-04-03,03:15:00,,,Crossed Above Opening Range High,1.8639999628067017
2024-03-21,Thursday,Win,1.7009999752044678,1.6950000524520874,1.7130000591278076,1.6510000228881836,0.005999922752380371,5.999922752380371,5.9999227523803715e-06,23:00:00,1.843999981880188,Below Opening Low,22:15:00,1.6920000314712524,Above Opening High,3.712035143274078,6.599998474121094e-05,4.678359274609272,8.799993991851807e-05,2024-04-09,02:15:00,,,Crossed Above Opening Range High,1.8600000143051147
2024-03-24,Sunday,Loss,1.662999987602234,1.6579999923706057,1.6660000085830688,1.649999976158142,0.004999995231628418,4.999995231628418,4.999995231628418e-06,21:30:00,1.847000002861023,Below Opening Low,21:15:00,1.7380000352859497,Above Opening High,5.784647673746169,0.00010099995136260987,0.6465498415595452,1.1999964714050293e-05,2024-04-10,10:45:00,Crossed Below Opening Range Low,1.881999969482422,,
2024-03-25,Monday,Loss,1.6150000095367432,1.6109999418258667,1.6660000085830688,1.5889999866485596,0.004000067710876465,4.000067710876465,4.000067710876465e-06,21:15:00,1.8960000276565552,Above Opening High,21:15:00,1.756999969482422,Above Opening High,1.4553012878444456,2.7999997138976827e-05,1.923080021031382,3.700006008148171e-05,2024-04-11,02:15:00,,,Crossed Above Opening Range High,1.8669999837875368
2024-03-27,Wednesday,Win,1.722000002861023,1.715999960899353,1.7860000133514404,1.7039999961853027,0.006000041961669922,6.000041961669922,6.000041961669922e-06,22:45:00,1.8539999723434448,Below Opening Low,22:15:00,1.75,Below Opening Low,0.10798997045644841,1.999974250793679e-06,0.4016046678062008,6.999969482422097e-06,2024-04-15,07:00:00,,,Crossed Above Opening Range High,1.774999976158142
