Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,2100.300048828125,2097.89990234375,2114.10009765625,2070.5,2.400146484375,24.00146484375,0.2400146484375,20:45:00,2096.89990234375,Below Opening Low,21:00:00,2096.699951171875,Below Opening Low,1.2750496181477904,2.639990234375,1.265392473889157,2.6199951171875,2024-03-12,00:30:00,,,Crossed Above Opening Range High,2100.60009765625
2024-03-12,Tuesday,Win,2089.39990234375,2085.89990234375,2109.300048828125,2073.199951171875,3.5,35.0,0.35,21:00:00,2085.60009765625,Below Opening Low,22:15:00,2084.800048828125,Below Opening Low,0.5981162828682214,1.2400146484375,0.5595262362269038,1.160009765625,2024-03-13,03:00:00,,,Crossed Above Opening Range High,2090.699951171875
2024-03-13,Wednesday,Win,2099.39990234375,2096.10009765625,2106.0,2084.39990234375,3.2998046875,32.998046875,0.32998046875,21:00:00,2057.300048828125,Above Opening High,21:30:00,2058.300048828125,Above Opening High,2.321712253223747,4.889990234375,2.274233380221039,4.789990234375,2024-03-15,09:15:00,Crossed Below Opening Range Low,2051.10009765625,,
2024-03-14,Thursday,Win,2056.800048828125,2053.699951171875,2106.199951171875,2040.4000244140625,3.10009765625,31.0009765625,0.310009765625,21:45:00,2065.10009765625,Above Opening High,21:45:00,2065.10009765625,Above Opening High,0.03871459050811837,0.07998046875,0.03871459050811837,0.07998046875,2024-03-18,09:30:00,Crossed Below Opening Range Low,2056.5,,
2024-03-17,Sunday,Win,2063.60009765625,2060.5,2065.89990234375,2061.10009765625,3.10009765625,31.0009765625,0.310009765625,20:45:00,2046.0999755859375,Below Opening Low,21:00:00,2046.4000244140625,Below Opening Low,0.0782575488352898,0.15999755859375,0.09293345140926877,0.19000244140625,2024-03-19,00:00:00,,,Crossed Above Opening Range High,2050.10009765625
2024-03-18,Monday,Win,2049.199951171875,2047.9000244140625,2076.39990234375,2044.5,1.2999267578125,12.999267578125,0.12999267578125,21:00:00,2056.5,Below Opening Low,21:45:00,2055.800048828125,Below Opening Low,1.1808118081180812,2.4,1.1463738660824108,2.3300048828125,2024-03-20,10:15:00,,,Crossed Above Opening Range High,2061.60009765625
2024-03-19,Tuesday,Win,2059.199951171875,2056.699951171875,2065.699951171875,2032.5,2.5,25.0,0.25,23:00:00,2111.300048828125,Above Opening High,23:15:00,2111.89990234375,Above Opening High,0.05206653884071337,0.1099853515625,0.023669760609496333,0.05,2024-03-21,21:45:00,Crossed Below Opening Range Low,2125.300048828125,,
2024-03-20,Wednesday,Loss,2110.39990234375,2104.699951171875,2112.39990234375,2047.800048828125,5.699951171875,56.99951171875,0.5699951171875,20:45:00,2130.300048828125,Above Opening High,21:00:00,2131.300048828125,Above Opening High,0.11252883193584276,0.239990234375,0.06563991071415284,0.139990234375,2024-03-25,09:00:00,,,Crossed Above Opening Range High,2096.89990234375
2024-03-21,Thursday,Win,2129.60009765625,2127.300048828125,2132.699951171875,2104.89990234375,2.300048828125,23.00048828125,0.2300048828125,21:00:00,2093.39990234375,Below Opening Low,23:15:00,2100.300048828125,Above Opening High,0.009552416230616555,0.0199951171875,0.8538400676196428,1.789990234375,2024-03-26,03:00:00,,,Crossed Above Opening Range High,2106.89990234375
2024-03-24,Sunday,Win,2096.60009765625,2093.5,2096.39990234375,2093.199951171875,3.10009765625,31.0009765625,0.310009765625,23:30:00,2102.5,Below Opening Low,21:45:00,2161.199951171875,Below Opening Low,0.6366096658515012,1.3300048828125,0.06019023505275829,0.1300048828125,2024-03-28,07:00:00,,,Crossed Above Opening Range High,2139.10009765625
