Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,18066.0,18035.5,18066.0,17890.75,30.5,3050.0,0.305,22:30:00,18209.0,Below Opening Low,22:45:00,18204.25,Below Opening Low,1.5560513106525378,2.79,1.5295593976575572,2.7425,2024-03-13,03:00:00,,,Crossed Above Opening Range High,18246.75
2024-03-12,Tuesday,Win,18238.0,18210.0,18241.75,17930.0,28.0,2800.0,0.28,21:45:00,18129.0,Above Opening High,21:15:00,18091.75,Above Opening High,0.6983813984060472,1.275,0.19308191602990715,0.3525,2024-03-14,09:45:00,Crossed Below Opening Range Low,17993.75,,
2024-03-13,Wednesday,Win,18126.25,18105.0,18256.5,18033.25,21.25,2125.0,0.2125,20:45:00,18013.5,Above Opening High,21:00:00,18168.0,Below Opening Low,0.9035771753929942,1.6425,0.25106911298110085,0.455,2024-03-15,00:30:00,Crossed Below Opening Range Low,17974.0,,
2024-03-14,Thursday,Loss,18010.5,17977.5,18177.75,17915.5,33.0,3300.0,0.33,20:45:00,18089.75,Above Opening High,21:45:00,18232.75,Below Opening Low,0.20549456611684228,0.3725,0.994280808164735,1.795,2024-03-18,23:00:00,,,Crossed Above Opening Range High,18197.25
2024-03-17,Sunday,Win,18088.5,18063.5,18127.0,18071.75,25.0,2500.0,0.25,20:45:00,18164.0,Below Opening Low,22:45:00,18588.5,Above Opening High,0.22899710304869636,0.415,0.04352320330776345,0.08,2024-03-20,06:30:00,,,Crossed Above Opening Range High,18286.0
2024-03-18,Monday,Win,18196.25,18175.75,18381.0,18122.5,20.5,2050.0,0.205,21:00:00,18244.5,Below Opening Low,22:00:00,18563.25,Below Opening Low,1.059366042125379,1.9125,0.16727596487204738,0.31,2024-03-20,22:30:00,,,Crossed Above Opening Range High,18589.75
2024-03-19,Tuesday,Win,18281.25,18246.75,18289.25,18053.25,34.5,3450.0,0.345,20:45:00,18561.0,Below Opening Low,23:45:00,18523.75,Below Opening Low,1.7933530766699572,3.27,0.5919168058214204,1.09,2024-03-22,05:00:00,,,Crossed Above Opening Range High,18601.25
2024-03-20,Wednesday,Loss,18584.75,18563.0,18596.5,18234.0,21.75,2175.0,0.2175,21:30:00,18577.75,Below Opening Low,23:15:00,18499.25,Above Opening High,0.24551794844123084,0.455,0.6400662782617991,1.1975,2024-03-25,23:30:00,Crossed Below Opening Range Low,18520.25,,
2024-03-21,Thursday,Loss,18595.0,18581.25,18709.0,18532.25,13.75,1375.0,0.1375,22:30:00,18569.0,Below Opening Low,21:45:00,18585.5,Below Opening Low,0.017505352598198295,0.0325,0.11986047701776359,0.2225,2024-03-27,03:15:00,Crossed Below Opening Range Low,18482.5,,
2024-03-24,Sunday,Win,18597.5,18571.75,18601.25,18565.75,25.75,2575.0,0.2575,21:00:00,18553.5,Above Opening High,23:00:00,18489.25,Above Opening High,0.12246820536975978,0.2275,0.6338738981226028,1.1775,2024-04-02,03:15:00,Crossed Below Opening Range Low,18452.0,,
2024-03-25,Monday,Loss,18548.0,18532.25,18576.25,18414.75,15.75,1575.0,0.1575,22:15:00,18495.0,Above Opening High,22:00:00,18185.0,Above Opening High,0.665986358021376,1.24,1.5535205972393793,2.8925,2024-04-03,10:00:00,,,Crossed Above Opening Range High,18370.25
2024-03-26,Tuesday,Loss,18493.25,18483.0,18619.0,18439.25,10.25,1025.0,0.1025,21:30:00,18586.5,Below Opening Low,22:30:00,17822.5,Below Opening Low,0.12524746474889903,0.2325,0.150316789120998,0.2675,2024-04-08,04:15:00,Crossed Below Opening Range Low,18273.25,,
2024-03-27,Wednesday,Loss,18503.75,18474.75,18571.75,18378.5,29.0,2900.0,0.29,22:45:00,18487.0,Above Opening High,22:00:00,17709.5,Above Opening High,0.6449185790293975,1.2,1.3919492664051163,2.59,2024-04-09,00:45:00,,,Crossed Above Opening Range High,18314.25
2024-03-31,Sunday,Loss,18612.0,18590.0,18604.0,18563.25,22.0,2200.0,0.22,21:45:00,18293.75,Below Opening Low,21:15:00,17340.75,Below Opening Low,0.5068263604647969,0.9225,0.9254004976210224,1.59,2024-04-11,07:15:00,Crossed Below Opening Range Low,18146.0,,
