Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,38839.0,38809.0,38846.0,38500.0,30.0,30.0,30.0,23:30:00,38842.0,Above Opening High,21:30:00,38999.0,Below Opening Low,0.01029707048344746,4.0,0.8951439733009081,346.0,2024-03-12,04:15:00,Crossed Below Opening Range Low,38791.0,,
2024-03-12,Tuesday,Win,39038.0,39009.0,39094.0,38653.0,29.0,29.0,29.0,21:15:00,39004.0,Below Opening Low,21:45:00,38900.0,Above Opening High,0.9080795798514993,351.0,0.879930424106001,344.0,2024-03-13,03:00:00,,,Crossed Above Opening Range High,39044.0
2024-03-13,Wednesday,Win,39105.0,39078.0,39225.0,38950.0,27.0,27.0,27.0,21:45:00,38900.0,Above Opening High,21:45:00,39148.0,Above Opening High,0.8765671185404137,344.0,0.06880032616450923,27.0,2024-03-15,09:15:00,Crossed Below Opening Range Low,38702.0,,
2024-03-14,Thursday,Win,38896.0,38867.0,39244.0,38706.0,29.0,29.0,29.0,21:00:00,39136.0,Above Opening High,21:00:00,39201.0,Below Opening Low,0.09955328653477984,39.0,0.28652562101870094,112.0,2024-03-18,04:15:00,Crossed Below Opening Range Low,39099.0,,
2024-03-17,Sunday,Win,39132.0,39101.0,39175.0,39111.0,31.0,31.0,31.0,20:45:00,39201.0,Below Opening Low,21:45:00,39520.0,Below Opening Low,0.28652562101870094,112.0,1.0354084110954878,405.0,2024-03-19,03:15:00,,,Crossed Above Opening Range High,39230.0
2024-03-18,Monday,Win,39230.0,39207.0,39337.0,39089.0,23.0,23.0,23.0,21:30:00,39521.0,Below Opening Low,22:30:00,40039.0,Above Opening High,1.0379649750735012,406.0,0.0379209222368288,15.0,2024-03-20,03:00:00,,,Crossed Above Opening Range High,39551.0
2024-03-19,Tuesday,Loss,39546.0,39525.0,39556.0,39115.0,21.0,21.0,21.0,22:15:00,40032.0,Above Opening High,22:00:00,40218.0,Below Opening Low,0.05492585010236182,22.0,0.519870032491877,208.0,2024-03-22,06:30:00,,,Crossed Above Opening Range High,40262.0
2024-03-20,Wednesday,Win,40025.0,40001.0,40054.0,39426.0,24.0,24.0,24.0,21:30:00,40235.0,Below Opening Low,22:30:00,39814.0,Below Opening Low,0.5623594101474632,225.0,0.042716787697565144,17.0,2024-03-25,04:00:00,,,Crossed Above Opening Range High,39851.0
2024-03-21,Thursday,Loss,40258.0,40237.0,40316.0,40010.0,21.0,21.0,21.0,21:00:00,39821.0,Below Opening Low,22:00:00,39779.0,Above Opening High,0.06030605322009197,24.0,0.10792360013051226,43.0,2024-03-26,15:30:00,Crossed Below Opening Range Low,39696.0,,
2024-03-24,Sunday,Win,39847.0,39827.0,39843.0,39797.0,20.0,20.0,20.0,20:45:00,39745.0,Above Opening High,21:45:00,40294.0,Below Opening Low,0.2709959099691366,108.0,0.02482375136530632,10.0,2024-04-02,06:00:00,Crossed Below Opening Range Low,39737.0,,
2024-03-25,Monday,Loss,39742.0,39708.0,39853.0,39681.0,34.0,34.0,34.0,21:00:00,39780.0,Above Opening High,23:30:00,39192.0,Below Opening Low,0.10546933855657677,42.0,0.030627871362940276,12.0,2024-04-09,07:45:00,,,Crossed Above Opening Range High,39243.0
2024-03-26,Tuesday,Loss,39777.0,39756.0,39822.0,39657.0,21.0,21.0,21.0,21:30:00,40292.0,Below Opening Low,21:45:00,39201.0,Below Opening Low,0.01985900109224506,8.0,0.21474039420200935,84.0,2024-04-11,04:45:00,Crossed Below Opening Range Low,38657.0,,
2024-03-27,Wednesday,Win,40135.0,40102.0,40177.0,39782.0,33.0,33.0,33.0,21:15:00,39784.0,Above Opening High,22:15:00,38727.0,Above Opening High,1.3489387026383655,544.0,1.5324340408649078,618.0,2024-04-12,06:45:00,Crossed Below Opening Range Low,38618.0,,
2024-03-31,Sunday,Win,40358.0,40302.0,40320.0,40284.0,56.0,56.0,56.0,23:15:00,39202.0,Below Opening Low,21:15:00,37953.0,Below Opening Low,0.05615109749872384,22.0,0.3039272688831334,115.0,2024-04-16,06:00:00,,,Crossed Above Opening Range High,38053.0
2024-04-01,Monday,Loss,39783.0,39741.0,40328.0,39761.0,42.0,42.0,42.0,21:15:00,39210.0,Below Opening Low,22:00:00,38042.0,Above Opening High,0.23774829358079608,93.0,0.5466425974422212,215.0,2024-04-18,13:30:00,Crossed Below Opening Range Low,37957.0,,
2024-04-02,Tuesday,Loss,39500.0,39445.0,39805.0,39368.0,55.0,55.0,55.0,21:45:00,38718.0,Above Opening High,21:00:00,37723.0,Below Opening Low,1.5935951200914982,627.0,0.6940180978565519,260.0,2024-04-19,08:15:00,,,Crossed Above Opening Range High,37997.0
2024-04-03,Wednesday,Loss,39567.0,39504.0,39633.0,39345.0,63.0,63.0,63.0,23:15:00,38781.0,Above Opening High,22:00:00,38769.0,Above Opening High,0.25462962962962965,99.0,0.06172839506172839,24.0,2024-04-22,02:45:00,,,Crossed Above Opening Range High,38386.0
2024-04-04,Thursday,Win,38956.0,38864.0,39759.0,38864.0,92.0,92.0,92.0,21:00:00,37942.0,Below Opening Low,23:45:00,38334.0,Above Opening High,0.27485596490300757,104.0,0.7583404508631623,293.0,2024-04-23,03:00:00,,,Crossed Above Opening Range High,38498.0
2024-04-07,Sunday,Win,39298.0,39218.0,39267.0,39180.0,80.0,80.0,80.0,21:45:00,38024.0,Above Opening High,21:30:00,38561.0,Above Opening High,0.6090388687037667,233.0,0.015683404344303004,6.0,2024-04-24,05:15:00,Crossed Below Opening Range Low,38719.0,,
2024-04-08,Monday,Loss,39238.0,39213.0,39331.0,39117.0,25.0,25.0,25.0,20:45:00,37838.0,Below Opening Low,22:45:00,38512.0,Below Opening Low,1.0009876411392573,375.0,0.30995233506107883,119.0,2024-04-26,09:15:00,Crossed Below Opening Range Low,38269.0,,
2024-04-09,Tuesday,Loss,39240.0,39211.0,39307.0,38873.0,29.0,29.0,29.0,20:45:00,38268.0,Below Opening Low,21:30:00,37999.0,Above Opening High,0.03921261077562544,15.0,1.4918366282405717,572.0,2024-04-29,04:45:00,Crossed Below Opening Range Low,38487.0,,
2024-04-10,Wednesday,Win,38717.0,38661.0,39345.0,38590.0,56.0,56.0,56.0,21:30:00,38466.0,Below Opening Low,21:15:00,38221.0,Above Opening High,0.675251256281407,258.0,0.7910860629249502,306.0,2024-04-30,03:15:00,,,Crossed Above Opening Range High,38550.0
2024-04-11,Thursday,Win,38778.0,38740.0,38880.0,38473.0,38.0,38.0,38.0,20:45:00,38754.0,Above Opening High,22:45:00,39179.0,Below Opening Low,0.10053360142293713,39.0,0.6241010889665092,243.0,2024-05-01,03:30:00,Crossed Below Opening Range Low,37952.0,,
2024-04-14,Sunday,Win,38357.0,38261.0,38336.0,38259.0,96.0,96.0,96.0,21:30:00,38326.0,Above Opening High,23:45:00,39567.0,Below Opening Low,0.7792476764957155,301.0,1.2280297797221582,480.0,2024-05-02,10:00:00,Crossed Below Opening Range Low,38114.0,,
2024-04-15,Monday,Loss,38022.0,37978.0,38637.0,37838.0,44.0,44.0,44.0,20:45:00,38543.0,Above Opening High,23:45:00,39639.0,Above Opening High,0.06222936707547903,24.0,0.03630046412736277,14.0,2024-05-08,03:00:00,,,Crossed Above Opening Range High,39035.0
