Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-11,Monday,20:40:00,Below Low,2187.300048828125,2190.60009765625,2187.699951171875,2192.199951171875,2180.89990234375,,,,,
2024-03-12,Tuesday,22:45:00,Above High,2166.0,2165.699951171875,2161.300048828125,2187.800048828125,2156.199951171875,,,,,
2024-03-13,Wednesday,20:55:00,Above High,2180.800048828125,2180.39990234375,2178.300048828125,2185.60009765625,2162.300048828125,21:35:00,Crossed Below Low,2178.300048828125,,
2024-03-14,Thursday,20:40:00,Above High,2166.199951171875,2166.0,2164.39990234375,2176.699951171875,2158.89990234375,,,,,
2024-03-17,Sunday,20:50:00,Above High,2160.300048828125,2160.199951171875,2157.60009765625,2160.800048828125,2149.300048828125,21:05:00,Crossed Below Low,2156.89990234375,,
2024-03-18,Monday,21:05:00,Below Low,2163.699951171875,2166.199951171875,2164.0,2167.199951171875,2149.199951171875,,,,,
2024-03-19,Tuesday,20:35:00,Below Low,2158.199951171875,2161.10009765625,2158.300048828125,2165.5,2150.199951171875,21:15:00,,,Crossed Above High,2161.699951171875
2024-03-20,Wednesday,20:35:00,Below Low,2196.199951171875,2208.199951171875,2198.10009765625,2214.699951171875,2152.300048828125,21:10:00,,,Crossed Above High,2211.10009765625
2024-03-21,Thursday,20:35:00,Above High,2187.300048828125,2186.800048828125,2182.800048828125,2214.10009765625,2168.199951171875,21:45:00,Crossed Below Low,2181.199951171875,,
2024-03-24,Sunday,21:15:00,Above High,2172.199951171875,2170.5,2165.199951171875,2179.5,2165.0,,,,,
2024-03-25,Monday,20:40:00,Above High,2174.699951171875,2174.300048828125,2171.89990234375,2182.5,2164.39990234375,04:40:00,Crossed Below Low,2165.10009765625,,
2024-03-25,Monday,20:40:00,Above High,2174.699951171875,2174.300048828125,2171.89990234375,2182.5,2164.39990234375,21:25:00,Crossed Below Low,2171.800048828125,,
2024-03-26,Tuesday,21:35:00,Below Low,2175.0,2178.699951171875,2175.60009765625,2200.60009765625,2169.89990234375,23:10:00,,,Crossed Above High,2179.199951171875
2024-03-27,Wednesday,22:20:00,Above High,2213.199951171875,2212.60009765625,2187.39990234375,2218.300048828125,2174.5,,,,,
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,20:35:00,Above High,2274.300048828125,2274.0,2260.300048828125,2285.89990234375,2269.60009765625,,,,,
2024-04-01,Monday,20:35:00,Above High,2273.10009765625,2272.800048828125,2268.199951171875,2286.39990234375,2249.10009765625,10:00:00,Crossed Below Low,2256.800048828125,,
2024-04-01,Monday,20:35:00,Above High,2273.10009765625,2272.800048828125,2268.199951171875,2286.39990234375,2249.10009765625,22:10:00,Crossed Below Low,2268.199951171875,,
2024-04-02,Tuesday,23:10:00,Above High,2305.89990234375,2305.800048828125,2298.10009765625,2308.300048828125,2270.39990234375,,,,,
2024-04-03,Wednesday,20:55:00,Above High,2321.89990234375,2320.800048828125,2316.199951171875,2324.800048828125,2285.699951171875,03:05:00,Crossed Below Low,2298.0,,
2024-04-04,Thursday,20:55:00,Below Low,2301.699951171875,2309.89990234375,2302.5,2325.300048828125,2286.199951171875,01:50:00,Crossed Below Low,2316.10009765625,,
2024-04-07,Sunday,20:55:00,Below Low,2325.10009765625,2332.39990234375,2325.300048828125,2372.5,2321.699951171875,21:25:00,,,Crossed Above High,2332.699951171875
2024-04-08,Monday,21:10:00,Above High,2363.199951171875,2360.5,2356.5,2367.5,2336.800048828125,,,,,
2024-04-09,Tuesday,20:45:00,Below Low,2370.39990234375,2374.300048828125,2370.5,2384.5,2357.0,,,,,
2024-04-10,Wednesday,21:05:00,Above High,2356.800048828125,2354.5,2350.60009765625,2378.10009765625,2337.10009765625,00:55:00,,,Crossed Above High,2374.300048828125
2024-04-11,Thursday,20:50:00,Above High,2395.0,2394.800048828125,2392.10009765625,2412.800048828125,2343.10009765625,04:10:00,Crossed Below Low,2349.5,,
2024-04-14,Sunday,20:50:00,Below Low,2367.89990234375,2382.39990234375,2370.699951171875,2381.0,2364.199951171875,,,,,
2024-04-15,Monday,20:35:00,Above High,2403.300048828125,2402.89990234375,2396.60009765625,2405.89990234375,2340.199951171875,13:25:00,,,Crossed Above High,2383.39990234375
2024-04-16,Tuesday,,,,,,,,02:30:00,Crossed Below Low,2391.39990234375,,
2024-04-17,Wednesday,21:00:00,Above High,2386.699951171875,2384.89990234375,2380.39990234375,2412.0,2378.699951171875,21:30:00,Crossed Below Low,2379.60009765625,,
2024-04-18,Thursday,21:00:00,Above High,2398.89990234375,2396.39990234375,2388.5,2433.300048828125,2384.300048828125,,,,,
2024-04-21,Sunday,20:45:00,Below Low,2396.800048828125,2402.0,2397.0,2398.699951171875,2374.0,,,,,
2024-04-22,Monday,21:25:00,Below Low,2343.10009765625,2347.60009765625,2343.199951171875,2386.699951171875,2308.699951171875,,,,,
