Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-04-28,Sunday,21:55:00,Above High,4.5929999351501465,4.59250020980835,4.570499897003174,4.607999801635742,4.5625,,,,,
2024-04-29,Monday,20:50:00,Below Low,4.666999816894531,4.674499988555908,4.667500019073486,4.694499969482422,4.573500156402588,21:20:00,Crossed Above High,4.684500217437744,,
2024-04-30,Tuesday,21:20:00,Below Low,4.533999919891357,4.548500061035156,4.535999774932861,4.681000232696533,4.521500110626221,,,,,
2024-05-01,Wednesday,21:05:00,Above High,4.578999996185303,4.577000141143799,4.56850004196167,4.597499847412109,4.512499809265137,01:40:00,Crossed Above High,4.548500061035156,,
2024-05-01,Wednesday,21:05:00,Above High,4.578999996185303,4.577000141143799,4.56850004196167,4.597499847412109,4.512499809265137,21:30:00,,,Crossed Below Low,4.563000202178955
2024-05-02,Thursday,20:50:00,Above High,4.508999824523926,4.506499767303467,4.498000144958496,4.579999923706055,4.466000080108643,22:20:00,,,Crossed Below Low,4.495500087738037
2024-05-05,Sunday,20:55:00,Below Low,4.557499885559082,4.581500053405762,4.570000171661377,4.598499774932861,4.5355000495910645,21:35:00,Crossed Above High,4.585000038146973,,
2024-05-06,Monday,20:50:00,Above High,4.619500160217285,4.618000030517578,4.604499816894531,4.644999980926514,4.5879998207092285,21:40:00,,,Crossed Below Low,4.603000164031982
2024-05-07,Tuesday,20:35:00,Below Low,4.591000080108643,4.597499847412109,4.5920000076293945,4.618500232696533,4.551000118255615,,,,,
2024-05-08,Wednesday,21:00:00,Above High,4.541999816894531,4.541500091552734,4.5355000495910645,4.581500053405762,4.505000114440918,,,,,
2024-05-09,Thursday,21:05:00,Above High,4.610499858856201,4.609499931335449,4.60099983215332,4.632500171661377,4.518499851226807,03:30:00,,,Crossed Below Low,4.534999847412109
