Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-03-11,Monday,20:50:00,Below Low,2097.699951171875,2100.0,2097.800048828125,2114.10009765625,2070.0,23:00:00,Crossed Above High,2100.10009765625,,
2024-03-12,Tuesday,20:40:00,Below Low,2086.0,2089.300048828125,2087.199951171875,2109.199951171875,2073.60009765625,,,,,
2024-03-13,Wednesday,23:35:00,Below Low,2096.0,2099.699951171875,2096.199951171875,2105.89990234375,2084.5,03:05:00,Crossed Above High,2090.199951171875,,
2024-03-14,Thursday,20:50:00,Above High,2056.89990234375,2056.60009765625,2053.800048828125,2106.300048828125,2040.300048828125,02:55:00,Crossed Above High,2099.800048828125,,
2024-03-17,Sunday,21:35:00,Above High,2063.699951171875,2063.60009765625,2060.60009765625,2066.0,2061.300048828125,,,,,
2024-03-18,Monday,20:45:00,Below Low,2047.0,2049.199951171875,2047.800048828125,2076.39990234375,2044.5999755859375,09:35:00,,,Crossed Below Low,2057.5
2024-03-19,Tuesday,21:10:00,Below Low,2056.60009765625,2059.10009765625,2056.800048828125,2065.699951171875,2032.4000244140625,00:05:00,Crossed Above High,2049.300048828125,,
2024-03-20,Wednesday,20:35:00,Below Low,2105.0,2110.5,2105.5,2112.5,2047.699951171875,10:25:00,Crossed Above High,2061.699951171875,,
2024-03-20,Wednesday,20:35:00,Below Low,2105.0,2110.5,2105.5,2112.5,2047.699951171875,23:10:00,Crossed Above High,2111.39990234375,,
2024-03-21,Thursday,20:50:00,Above High,2129.39990234375,2129.199951171875,2127.199951171875,2132.60009765625,2104.699951171875,21:55:00,,,Crossed Below Low,2125.199951171875
2024-03-24,Sunday,21:10:00,Below Low,2093.39990234375,2096.699951171875,2093.699951171875,2096.39990234375,2093.0,,,,,
2024-03-25,Monday,20:35:00,Above High,2105.199951171875,2105.0,2102.800048828125,2111.89990234375,2089.199951171875,09:10:00,Crossed Above High,2097.0,,
2024-03-25,Monday,20:35:00,Above High,2105.199951171875,2105.0,2102.800048828125,2111.89990234375,2089.199951171875,23:40:00,,,Crossed Below Low,2102.60009765625
2024-03-26,Tuesday,20:35:00,Above High,2099.199951171875,2098.800048828125,2097.300048828125,2118.199951171875,2091.5,,,,,
2024-03-27,Wednesday,23:00:00,Below Low,2133.5,2137.800048828125,2133.800048828125,2142.199951171875,2099.60009765625,,,,,
2024-03-28,Thursday,,,,,,,,06:25:00,Crossed Above High,2138.0,,
2024-03-31,Sunday,21:30:00,Below Low,2162.0,2165.89990234375,2162.300048828125,2164.0,2159.89990234375,,,,,
2024-04-01,Monday,22:30:00,Above High,2125.300048828125,2125.199951171875,2122.0,2164.60009765625,2119.5,,,,,
2024-04-02,Tuesday,,,,,,,,01:15:00,,,Crossed Below Low,2121.60009765625
2024-04-03,Wednesday,21:00:00,Below Low,2100.10009765625,2107.5,2100.39990234375,2102.800048828125,2069.699951171875,,,,,
2024-04-04,Thursday,20:35:00,Below Low,2075.89990234375,2079.60009765625,2076.300048828125,2123.800048828125,2069.0,08:35:00,Crossed Above High,2109.300048828125,,
2024-04-07,Sunday,20:40:00,Below Low,2078.0,2090.60009765625,2078.39990234375,2083.0,2075.60009765625,,,,,
2024-04-08,Monday,20:50:00,Below Low,2090.800048828125,2092.89990234375,2091.199951171875,2101.699951171875,2073.89990234375,08:15:00,Crossed Above High,2092.699951171875,,
2024-04-09,Tuesday,20:50:00,Above High,2104.199951171875,2104.0,2101.800048828125,2106.699951171875,2080.89990234375,01:05:00,Crossed Above High,2093.0,,
2024-04-09,Tuesday,20:50:00,Above High,2104.199951171875,2104.0,2101.800048828125,2106.699951171875,2080.89990234375,21:30:00,,,Crossed Below Low,2101.699951171875
2024-04-10,Wednesday,21:45:00,Above High,2041.5,2041.300048828125,2036.9000244140625,2113.800048828125,2027.800048828125,,,,,
2024-04-11,Thursday,20:40:00,Above High,2058.0,2057.800048828125,2054.5,2063.699951171875,2016.0999755859375,04:45:00,,,Crossed Below Low,2036.699951171875
2024-04-14,Sunday,,,,,,,,,,,,
2024-04-15,Monday,21:05:00,Below Low,1987.699951171875,1991.800048828125,1988.0999755859375,2035.699951171875,1981.0999755859375,,,,,
2024-04-16,Tuesday,22:35:00,Above High,1990.5999755859375,1990.300048828125,1983.0999755859375,1994.699951171875,1965.300048828125,14:05:00,Crossed Above High,1993.300048828125,,
2024-04-17,Wednesday,20:50:00,Below Low,1963.699951171875,1965.699951171875,1964.0,2000.699951171875,1958.199951171875,01:50:00,,,Crossed Below Low,1982.300048828125
2024-04-17,Wednesday,20:50:00,Below Low,1963.699951171875,1965.699951171875,1964.0,2000.699951171875,1958.199951171875,21:10:00,Crossed Above High,1965.800048828125,,
2024-04-18,Thursday,20:50:00,Below Low,1948.5,1956.4000244140625,1948.699951171875,1987.4000244140625,1916.0999755859375,,,,,
2024-04-21,Sunday,20:35:00,Below Low,1968.0,1973.5,1969.0,1971.800048828125,1965.5999755859375,,,,,
2024-04-22,Monday,20:45:00,Above High,1985.0999755859375,1984.9000244140625,1982.0999755859375,1993.199951171875,1958.800048828125,02:15:00,Crossed Above High,1973.9000244140625,,
2024-04-22,Monday,20:45:00,Above High,1985.0999755859375,1984.9000244140625,1982.0999755859375,1993.199951171875,1958.800048828125,21:40:00,,,Crossed Below Low,1982.0
2024-04-23,Tuesday,23:40:00,Above High,2018.9000244140625,2018.5999755859375,2015.199951171875,2023.800048828125,1974.0,,,,,
2024-04-24,Wednesday,20:35:00,Above High,2011.9000244140625,2010.5999755859375,2005.0,2019.0999755859375,1993.4000244140625,02:30:00,,,Crossed Below Low,2014.4000244140625
2024-04-25,Thursday,21:15:00,Above High,1988.5,1988.4000244140625,1985.0,2024.800048828125,1965.699951171875,08:30:00,,,Crossed Below Low,1997.0
2024-04-28,Sunday,,,,,,,,,,,,
2024-04-29,Monday,20:55:00,Below Low,2022.5,2024.5,2022.5999755859375,2032.9000244140625,2015.0,,,,,
2024-04-30,Tuesday,21:25:00,Above High,1984.0999755859375,1983.800048828125,1980.199951171875,2026.0999755859375,1981.0999755859375,03:40:00,Crossed Above High,2026.0,,
2024-05-01,Wednesday,20:50:00,Above High,2005.0,2004.699951171875,1999.800048828125,2031.300048828125,1972.0999755859375,03:45:00,,,Crossed Below Low,1979.0999755859375
2024-05-02,Thursday,20:35:00,Above High,2026.699951171875,2026.0999755859375,2023.0999755859375,2029.0,1991.699951171875,09:45:00,,,Crossed Below Low,1999.5999755859375
2024-05-02,Thursday,20:35:00,Above High,2026.699951171875,2026.0999755859375,2023.0999755859375,2029.0,1991.699951171875,22:20:00,,,Crossed Below Low,2023.0999755859375
2024-05-05,Sunday,,,,,,,,,,,,
2024-05-06,Monday,23:10:00,Above High,2073.5,2073.39990234375,2071.39990234375,2075.5,2051.0,,,,,
2024-05-07,Tuesday,21:50:00,Below Low,2072.39990234375,2074.39990234375,2072.5,2089.0,2069.199951171875,03:35:00,,,Crossed Below Low,2071.199951171875
2024-05-08,Wednesday,23:30:00,Below Low,2060.800048828125,2064.10009765625,2060.89990234375,2073.5,2052.0,,,,,
2024-05-09,Thursday,20:55:00,Above High,2087.5,2086.699951171875,2085.300048828125,2088.60009765625,2054.199951171875,08:30:00,Crossed Above High,2069.5,,
2024-05-09,Thursday,20:55:00,Above High,2087.5,2086.699951171875,2085.300048828125,2088.60009765625,2054.199951171875,21:55:00,,,Crossed Below Low,2085.10009765625
2024-05-12,Sunday,21:35:00,Above High,2069.39990234375,2069.0,2066.60009765625,2071.39990234375,2067.10009765625,,,,,
2024-05-13,Monday,20:45:00,Below Low,2071.199951171875,2073.300048828125,2071.5,2091.0,2069.60009765625,,,,,
2024-05-14,Tuesday,21:45:00,Above High,2100.699951171875,2100.39990234375,2098.199951171875,2103.5,2058.89990234375,03:50:00,Crossed Above High,2074.10009765625,,
2024-05-15,Wednesday,23:35:00,Above High,2122.199951171875,2122.0,2118.89990234375,2132.5,2094.39990234375,08:00:00,,,Crossed Below Low,2097.39990234375
2024-05-16,Thursday,21:05:00,Above High,2105.199951171875,2104.5,2103.10009765625,2124.300048828125,2102.0,01:10:00,,,Crossed Below Low,2118.89990234375
2024-05-16,Thursday,21:05:00,Above High,2105.199951171875,2104.5,2103.10009765625,2124.300048828125,2102.0,22:50:00,,,Crossed Below Low,2102.89990234375
2024-05-19,Sunday,,,,,,,,,,,,
2024-05-20,Monday,20:35:00,Above High,2112.199951171875,2112.10009765625,2110.10009765625,2118.800048828125,2100.0,,,,,
2024-05-21,Tuesday,21:00:00,Below Low,2107.0,2108.89990234375,2107.5,2113.39990234375,2093.39990234375,03:35:00,,,Crossed Below Low,2109.60009765625
2024-05-21,Tuesday,21:00:00,Below Low,2107.0,2108.89990234375,2107.5,2113.39990234375,2093.39990234375,21:45:00,Crossed Above High,2109.300048828125,,
2024-05-22,Wednesday,20:45:00,Below Low,2087.199951171875,2089.89990234375,2087.300048828125,2109.0,2080.699951171875,21:45:00,Crossed Above High,2090.300048828125,,
2024-05-23,Thursday,20:50:00,Above High,2059.39990234375,2058.89990234375,2055.5,2101.10009765625,2044.9000244140625,,,,,
2024-05-26,Sunday,21:20:00,Below Low,2073.300048828125,2075.39990234375,2073.5,2075.800048828125,2073.0,21:45:00,Crossed Above High,2075.60009765625,,
2024-05-27,Monday,20:35:00,Below Low,2083.39990234375,2087.699951171875,2083.5,2093.39990234375,2073.89990234375,,,,,
2024-05-28,Tuesday,20:40:00,Below Low,2066.60009765625,2068.699951171875,2066.699951171875,2090.5,2061.0,08:05:00,Crossed Above High,2088.699951171875,,
2024-05-29,Wednesday,22:40:00,Below Low,2036.5999755859375,2039.5999755859375,2037.0999755859375,2065.199951171875,2035.199951171875,,,,,
2024-05-30,Thursday,21:00:00,Above High,2060.60009765625,2060.0,2056.699951171875,2070.0,2031.4000244140625,04:00:00,Crossed Above High,2040.300048828125,,
2024-06-02,Sunday,21:00:00,Above High,2088.10009765625,2088.0,2081.0,2090.5,2085.39990234375,,,,,
2024-06-03,Monday,21:40:00,Above High,2066.10009765625,2066.0,2062.300048828125,2104.60009765625,2051.199951171875,09:50:00,,,Crossed Below Low,2079.5
2024-06-04,Tuesday,22:10:00,Above High,2044.0999755859375,2043.4000244140625,2042.0,2064.39990234375,2035.0,01:05:00,,,Crossed Below Low,2061.800048828125
2024-06-05,Wednesday,20:35:00,Below Low,2065.60009765625,2068.0,2066.60009765625,2069.300048828125,2035.800048828125,02:45:00,,,Crossed Below Low,2041.199951171875
2024-06-05,Wednesday,20:35:00,Below Low,2065.60009765625,2068.0,2066.60009765625,2069.300048828125,2035.800048828125,21:45:00,Crossed Above High,2068.300048828125,,
2024-06-06,Thursday,21:40:00,Above High,2057.10009765625,2057.0,2055.60009765625,2067.199951171875,2047.5,,,,,
2024-06-09,Sunday,,,,,,,,,,,,
2024-06-10,Monday,20:40:00,Below Low,2030.800048828125,2033.699951171875,2030.9000244140625,2038.0999755859375,2005.9000244140625,,,,,
2024-06-11,Tuesday,22:30:00,Above High,2028.699951171875,2028.5999755859375,2026.0999755859375,2037.5,2005.5999755859375,02:00:00,Crossed Above High,2034.5999755859375,,
2024-06-12,Wednesday,21:45:00,Below Low,2057.300048828125,2060.300048828125,2057.699951171875,2095.10009765625,2024.199951171875,03:15:00,,,Crossed Below Low,2026.0
2024-06-13,Thursday,20:45:00,Below Low,2036.0999755859375,2037.699951171875,2036.199951171875,2074.0,2025.699951171875,08:30:00,Crossed Above High,2069.60009765625,,
2024-06-13,Thursday,20:45:00,Below Low,2036.0999755859375,2037.699951171875,2036.199951171875,2074.0,2025.699951171875,21:50:00,Crossed Above High,2037.699951171875,,
2024-06-16,Sunday,20:40:00,Above High,2007.5999755859375,2007.5,2004.9000244140625,2007.5999755859375,2002.800048828125,21:00:00,,,Crossed Below Low,2004.300048828125
2024-06-17,Monday,21:10:00,Below Low,2024.5,2049.800048828125,2025.199951171875,2051.5,1993.4000244140625,,,,,
2024-06-18,Tuesday,20:35:00,Below Low,2049.0,2051.0,2049.10009765625,2059.300048828125,2014.300048828125,09:35:00,Crossed Above High,2050.39990234375,,
