Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-03-10,Sunday,22:55:00,Below Low,18010.5,18048.0,18012.0,18055.5,17990.5,,,,,
2024-03-11,Monday,,,,,,,,,,,,
2024-03-12,Tuesday,20:40:00,Below Low,18460.25,18486.75,18471.75,18491.0,17930.0,,,,,
2024-03-13,Wednesday,21:55:00,Above High,18379.25,18377.5,18353.5,18504.25,18281.5,03:00:00,Crossed Above High,18493.5,,
2024-03-14,Thursday,20:50:00,Above High,18261.5,18257.0,18223.75,18428.25,18161.25,09:45:00,,,Crossed Below Low,18275.25
2024-03-17,Sunday,20:55:00,Above High,18089.5,18088.75,18063.75,18127.0,18071.75,,,,,
2024-03-18,Monday,20:45:00,Below Low,18169.0,18196.5,18176.0,18380.75,18122.75,23:05:00,Crossed Above High,18198.0,,
2024-03-19,Tuesday,21:10:00,Below Low,18244.75,18281.5,18246.75,18289.5,18053.25,,,,,
2024-03-20,Wednesday,20:35:00,Below Low,18565.5,18585.25,18568.5,18596.75,18234.0,06:30:00,Crossed Above High,18286.0,,
2024-03-20,Wednesday,20:35:00,Below Low,18565.5,18585.25,18568.5,18596.75,18234.0,22:30:00,Crossed Above High,18592.0,,
2024-03-21,Thursday,20:40:00,Below Low,18582.5,18595.5,18584.0,18708.5,18532.0,,,,,
2024-03-24,Sunday,22:20:00,Below Low,18570.25,18598.0,18571.25,18601.25,18565.5,,,,,
2024-03-25,Monday,20:45:00,Above High,18548.25,18547.5,18532.25,18576.25,18415.0,23:35:00,,,Crossed Below Low,18531.5
2024-03-26,Tuesday,21:55:00,Above High,18493.25,18493.0,18483.0,18618.75,18439.25,,,,,
2024-03-27,Wednesday,,,,,,,,03:15:00,,,Crossed Below Low,18479.5
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,21:35:00,Below Low,18587.0,18611.75,18589.75,18603.75,18563.25,,,,,
2024-04-01,Monday,22:30:00,Above High,18481.5,18481.25,18458.0,18607.25,18414.5,,,,,
2024-04-02,Tuesday,21:15:00,Below Low,18299.75,18333.25,18300.5,18514.0,18201.0,01:15:00,,,Crossed Below Low,18457.0
2024-04-03,Wednesday,,,,,,,,10:00:00,Crossed Above High,18351.75,,
2024-04-04,Thursday,20:35:00,Below Low,18078.0,18110.0,18084.0,18568.25,18054.25,23:55:00,Crossed Above High,18110.0,,
2024-04-07,Sunday,21:30:00,Above High,18325.5,18325.25,18283.75,18334.0,18270.5,23:35:00,,,Crossed Below Low,18280.0
2024-04-08,Monday,21:55:00,Below Low,18287.25,18313.75,18291.75,18377.5,18237.75,,,,,
2024-04-09,Tuesday,20:50:00,Above High,18381.25,18380.5,18366.75,18407.25,18160.25,00:45:00,Crossed Above High,18315.25,,
2024-04-10,Wednesday,21:50:00,Above High,18180.25,18176.25,18148.0,18470.0,18054.0,05:50:00,,,Crossed Below Low,18366.75
2024-04-11,Thursday,20:40:00,Above High,18497.0,18495.75,18473.0,18519.25,18085.0,06:05:00,,,Crossed Below Low,18147.5
2024-04-14,Sunday,,,,,,,,,,,,
2024-04-15,Monday,22:00:00,Below Low,17861.5,17894.0,17863.0,18351.0,17795.5,,,,,
2024-04-16,Tuesday,,,,,,,,07:35:00,Crossed Above High,17900.75,,
2024-04-17,Wednesday,21:10:00,Above High,17700.5,17700.25,17678.75,17968.25,17616.0,,,,,
2024-04-18,Thursday,20:55:00,Below Low,17437.0,17517.25,17437.5,17771.0,17180.25,09:20:00,,,Crossed Below Low,17677.0
2024-04-21,Sunday,20:35:00,Below Low,17232.0,17273.0,17249.0,17259.75,17200.0,,,,,
2024-04-22,Monday,21:45:00,Below Low,17310.5,17338.0,17316.0,17448.0,17148.75,01:50:00,Crossed Above High,17276.75,,
2024-04-23,Tuesday,21:15:00,Above High,17722.5,17717.5,17681.25,17745.5,17317.5,00:10:00,Crossed Above High,17341.0,,
2024-04-24,Wednesday,20:45:00,Above High,17488.25,17484.5,17447.0,17795.75,17456.0,05:45:00,,,Crossed Below Low,17679.5
2024-04-25,Thursday,21:30:00,Above High,17770.0,17767.25,17742.0,17787.75,17308.0,01:00:00,,,Crossed Below Low,17442.75
2024-04-28,Sunday,21:35:00,Above High,17895.0,17894.75,17862.5,17913.0,17877.5,,,,,
2024-04-29,Monday,21:25:00,Above High,17914.5,17913.0,17897.0,17949.0,17791.25,09:40:00,,,Crossed Below Low,17845.75
2024-04-30,Tuesday,22:35:00,Above High,17519.0,17517.25,17480.75,17911.5,17498.75,01:15:00,,,Crossed Below Low,17896.25
2024-05-01,Wednesday,20:50:00,Above High,17541.0,17540.5,17498.5,17791.75,17399.0,02:35:00,,,Crossed Below Low,17474.0
2024-05-02,Thursday,20:35:00,Above High,17760.75,17757.5,17737.25,17786.75,17386.0,09:45:00,,,Crossed Below Low,17492.5
2024-05-05,Sunday,,,,,,,,,,,,
2024-05-06,Monday,21:00:00,Below Low,18171.25,18188.5,18171.5,18201.75,17983.75,,,,,
2024-05-07,Tuesday,23:20:00,Below Low,18195.5,18212.5,18196.5,18267.75,18150.75,03:05:00,Crossed Above High,18195.0,,
2024-05-08,Wednesday,21:50:00,Above High,18173.5,18170.0,18153.25,18242.25,18072.5,04:20:00,Crossed Above High,18213.0,,
2024-05-09,Thursday,21:35:00,Below Low,18222.5,18245.5,18223.25,18239.0,18104.25,00:55:00,,,Crossed Below Low,18149.5
2024-05-12,Sunday,20:55:00,Above High,18258.0,18254.5,18238.0,18279.5,18240.75,,,,,
2024-05-13,Monday,20:40:00,Below Low,18279.5,18290.0,18282.25,18336.75,18234.75,,,,,
2024-05-14,Tuesday,20:35:00,Below Low,18402.0,18426.0,18414.0,18438.75,18167.5,02:40:00,Crossed Above High,18290.0,,
2024-05-14,Tuesday,20:35:00,Below Low,18402.0,18426.0,18414.0,18438.75,18167.5,22:35:00,Crossed Above High,18428.5,,
2024-05-15,Wednesday,,,,,,,,,,,,
2024-05-16,Thursday,21:05:00,Above High,18658.5,18657.0,18645.25,18760.75,18637.75,,,,,
2024-05-19,Sunday,22:40:00,Above High,18673.0,18671.25,18658.5,18679.25,18659.5,,,,,
2024-05-20,Monday,20:40:00,Above High,18757.5,18756.25,18745.75,18794.5,18635.25,03:30:00,,,Crossed Below Low,18657.75
2024-05-20,Monday,20:40:00,Above High,18757.5,18756.25,18745.75,18794.5,18635.25,21:55:00,,,Crossed Below Low,18743.75
2024-05-21,Tuesday,22:00:00,Above High,18822.25,18817.0,18808.25,18824.0,18678.0,,,,,
2024-05-22,Wednesday,20:40:00,Below Low,18862.75,18877.0,18863.0,18965.75,18684.0,02:05:00,,,Crossed Below Low,18805.25
2024-05-22,Wednesday,20:40:00,Below Low,18862.75,18877.0,18863.0,18965.75,18684.0,21:20:00,Crossed Above High,18880.5,,
2024-05-23,Thursday,20:35:00,Above High,18717.0,18715.75,18693.5,19022.5,18621.5,,,,,
2024-05-26,Sunday,21:45:00,Above High,18852.0,18850.5,18834.0,18856.5,18836.5,,,,,
2024-05-27,Monday,23:05:00,Above High,18917.75,18917.0,18885.0,18957.25,18848.0,,,,,
2024-05-28,Tuesday,20:35:00,Below Low,18915.5,18947.75,18920.0,18980.5,18819.5,09:40:00,,,Crossed Below Low,18872.25
2024-05-29,Wednesday,22:20:00,Below Low,18699.0,18731.75,18704.0,18900.5,18677.0,,,,,
2024-05-30,Thursday,20:35:00,Below Low,18508.75,18579.0,18512.0,18787.0,18502.5,04:45:00,Crossed Above High,18732.25,,
2024-06-02,Sunday,22:40:00,Above High,18646.5,18645.0,18580.0,18653.75,18616.25,,,,,
2024-06-03,Monday,23:25:00,Below Low,18646.0,18673.75,18649.0,18755.5,18441.5,10:50:00,,,Crossed Below Low,18578.0
2024-06-04,Tuesday,21:20:00,Below Low,18718.5,18744.5,18726.0,18765.75,18511.25,14:15:00,Crossed Above High,18690.25,,
2024-06-04,Tuesday,21:20:00,Below Low,18718.5,18744.5,18726.0,18765.75,18511.25,21:55:00,Crossed Above High,18744.5,,
2024-06-05,Wednesday,20:35:00,Below Low,19069.25,19096.75,19070.75,19111.25,18703.0,21:45:00,Crossed Above High,19101.0,,
2024-06-06,Thursday,20:45:00,Above High,19080.0,19078.75,19067.5,19124.25,19017.75,,,,,
2024-06-09,Sunday,23:05:00,Above High,19043.0,19040.25,19015.0,19050.75,19018.0,,,,,
2024-06-10,Monday,21:35:00,Above High,19090.25,19089.25,19075.0,19129.75,18973.25,02:25:00,,,Crossed Below Low,19014.75
