Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-03-10,Sunday,22:30:00,Below Low,38720.0,38774.0,38726.0,38783.0,38697.0,,,,,
2024-03-11,Monday,23:35:00,Above High,39278.0,39277.0,39251.0,39281.0,38565.0,04:00:00,Crossed Above High,39126.0,,
2024-03-12,Tuesday,20:40:00,Below Low,39460.0,39488.0,39468.0,39543.0,39093.0,04:15:00,,,Crossed Below Low,39247.0
2024-03-13,Wednesday,,,,,,,,03:10:00,Crossed Above High,39491.0,,
2024-03-14,Thursday,20:50:00,Above High,39339.0,39336.0,39295.0,39698.0,39138.0,,,,,
2024-03-17,Sunday,21:10:00,Above High,39135.0,39133.0,39099.0,39174.0,39111.0,,,,,
2024-03-18,Monday,20:45:00,Below Low,39206.0,39230.0,39208.0,39337.0,39089.0,04:30:00,,,Crossed Below Low,39097.0
2024-03-19,Tuesday,21:30:00,Below Low,39524.0,39547.0,39525.0,39555.0,39116.0,03:05:00,Crossed Above High,39232.0,,
2024-03-20,Wednesday,22:20:00,Above High,40029.0,40027.0,40001.0,40057.0,39426.0,03:05:00,Crossed Above High,39553.0,,
2024-03-21,Thursday,21:35:00,Below Low,40233.0,40257.0,40237.0,40315.0,40009.0,,,,,
2024-03-24,Sunday,21:05:00,Below Low,39828.0,39847.0,39829.0,39844.0,39796.0,,,,,
2024-03-25,Monday,20:40:00,Above High,39742.0,39738.0,39708.0,39853.0,39681.0,04:10:00,Crossed Above High,39853.0,,
2024-03-26,Tuesday,20:45:00,Above High,39778.0,39776.0,39756.0,39822.0,39657.0,10:00:00,,,Crossed Below Low,39701.0
2024-03-27,Wednesday,,,,,,,,,,,,
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,21:35:00,Below Low,40298.0,40358.0,40302.0,40321.0,40284.0,,,,,
2024-04-01,Monday,21:25:00,Above High,39784.0,39783.0,39741.0,40328.0,39760.0,,,,,
2024-04-02,Tuesday,,,,,,,,06:05:00,,,Crossed Below Low,39739.0
2024-04-03,Wednesday,,,,,,,,,,,,
2024-04-04,Thursday,20:35:00,Below Low,38893.0,38956.0,38915.0,39760.0,38863.0,,,,,
2024-04-07,Sunday,23:15:00,Below Low,39216.0,39299.0,39218.0,39267.0,39179.0,,,,,
2024-04-08,Monday,21:15:00,Below Low,39210.0,39238.0,39213.0,39331.0,39116.0,10:35:00,Crossed Above High,39306.0,,
2024-04-09,Tuesday,21:30:00,Below Low,39210.0,39238.0,39212.0,39307.0,38873.0,07:55:00,Crossed Above High,39243.0,,
2024-04-10,Wednesday,21:50:00,Above High,38723.0,38718.0,38660.0,39341.0,38591.0,03:15:00,Crossed Above High,39242.0,,
2024-04-11,Thursday,20:40:00,Above High,38776.0,38774.0,38741.0,38880.0,38472.0,04:55:00,,,Crossed Below Low,38657.0
2024-04-14,Sunday,,,,,,,,,,,,
2024-04-15,Monday,21:05:00,Below Low,37953.0,38021.0,37978.0,38638.0,37838.0,,,,,
2024-04-16,Tuesday,,,,,,,,06:10:00,Crossed Above High,38051.0,,
2024-04-17,Wednesday,21:55:00,Above High,38024.0,38016.0,37984.0,38257.0,37841.0,,,,,
2024-04-18,Thursday,20:50:00,Below Low,37863.0,37985.0,37875.0,38317.0,37462.0,13:15:00,,,Crossed Below Low,37953.0
2024-04-21,Sunday,20:40:00,Below Low,38287.0,38356.0,38293.0,38341.0,38253.0,,,,,
2024-04-22,Monday,20:45:00,Above High,38503.0,38494.0,38468.0,38681.0,38208.0,02:45:00,Crossed Above High,38366.0,,
2024-04-22,Monday,20:45:00,Above High,38503.0,38494.0,38468.0,38681.0,38208.0,21:40:00,,,Crossed Below Low,38466.0
2024-04-23,Tuesday,20:55:00,Above High,38753.0,38751.0,38718.0,38794.0,38449.0,,,,,
2024-04-24,Wednesday,20:35:00,Above High,38635.0,38631.0,38572.0,38802.0,38520.0,04:00:00,,,Crossed Below Low,38718.0
2024-04-25,Thursday,21:30:00,Above High,38326.0,38323.0,38287.0,38629.0,37944.0,03:20:00,,,Crossed Below Low,38563.0
2024-04-28,Sunday,20:50:00,Above High,38545.0,38540.0,38490.0,38567.0,38521.0,,,,,
2024-04-29,Monday,22:10:00,Below Low,38519.0,38547.0,38520.0,38593.0,38392.0,04:55:00,,,Crossed Below Low,38487.0
2024-04-30,Tuesday,21:15:00,Above High,37993.0,37989.0,37954.0,38570.0,37920.0,02:00:00,Crossed Above High,38547.0,,
2024-05-01,Wednesday,20:35:00,Above High,38205.0,38199.0,38139.0,38525.0,37866.0,03:40:00,,,Crossed Below Low,37954.0
2024-05-02,Thursday,20:35:00,Above High,38625.0,38619.0,38593.0,38641.0,38037.0,10:00:00,,,Crossed Below Low,38137.0
2024-05-05,Sunday,,,,,,,,,,,,
2024-05-06,Monday,23:20:00,Above High,39014.0,39012.0,38987.0,39027.0,38833.0,,,,,
2024-05-07,Tuesday,22:15:00,Below Low,39007.0,39030.0,39012.0,39128.0,38976.0,,,,,
2024-05-08,Wednesday,21:20:00,Below Low,39179.0,39206.0,39181.0,39235.0,38935.0,03:00:00,Crossed Above High,39032.0,,
2024-05-09,Thursday,21:45:00,Below Low,39574.0,39598.0,39575.0,39594.0,39087.0,09:45:00,Crossed Above High,39223.0,,
2024-05-12,Sunday,23:20:00,Above High,39643.0,39638.0,39617.0,39655.0,39617.0,,,,,
2024-05-13,Monday,20:45:00,Below Low,39554.0,39573.0,39560.0,39779.0,39519.0,12:40:00,,,Crossed Below Low,39614.0
2024-05-14,Tuesday,21:30:00,Above High,39706.0,39704.0,39685.0,39736.0,39406.0,04:30:00,Crossed Above High,39575.0,,
2024-05-15,Wednesday,21:25:00,Above High,40113.0,40108.0,40079.0,40123.0,39653.0,02:30:00,,,Crossed Below Low,39685.0
2024-05-16,Thursday,20:50:00,Above High,40025.0,40024.0,40011.0,40191.0,39982.0,02:00:00,,,Crossed Below Low,40077.0
2024-05-16,Thursday,20:50:00,Above High,40025.0,40024.0,40011.0,40191.0,39982.0,22:10:00,,,Crossed Below Low,40010.0
2024-05-19,Sunday,20:50:00,Above High,40188.0,40185.0,40160.0,40194.0,40169.0,,,,,
2024-05-20,Monday,20:35:00,Above High,39936.0,39932.0,39918.0,40213.0,39921.0,02:00:00,,,Crossed Below Low,40157.0
2024-05-21,Tuesday,21:25:00,Below Low,40004.0,40022.0,40007.0,40033.0,39904.0,21:45:00,Crossed Above High,40023.0,,
2024-05-22,Wednesday,20:40:00,Below Low,39720.0,39745.0,39726.0,40017.0,39668.0,21:40:00,Crossed Above High,39749.0,,
2024-05-23,Thursday,20:35:00,Above High,39168.0,39164.0,39135.0,39882.0,39114.0,,,,,
