Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-10,Sunday,Win,38774.0,38726.0,38783.0,38697.0,48.0,48.0,48.0,22:30:00,38720.0,Below Opening Low,22:35:00,38721.0,Below Opening Low,0.05943613199989663,23.0,0.06202031165206605,24.0,2024-03-11,04:00:00,,,Crossed Above Opening Range High,39126.0
2024-03-11,Monday,Win,39277.0,39251.0,39281.0,38565.0,26.0,26.0,26.0,23:35:00,39278.0,Above Opening High,20:50:00,39461.0,Below Opening Low,0.007637280109976835,3.0,0.9413449978256976,368.0,2024-03-12,04:15:00,Crossed Below Opening Range Low,39247.0,,
2024-03-12,Tuesday,Win,39488.0,39468.0,39543.0,39093.0,20.0,20.0,20.0,20:40:00,39460.0,Below Opening Low,21:50:00,39345.0,Above Opening High,0.9387869951142148,367.0,0.8926990870697722,353.0,2024-03-13,03:10:00,,,Crossed Above Opening Range High,39491.0
2024-03-13,Wednesday,Win,39559.0,39531.0,39683.0,39404.0,28.0,28.0,28.0,20:50:00,39339.0,Above Opening High,21:10:00,39135.0,Above Opening High,0.9043276739382335,359.0,0.09824172502393066,39.0,2024-03-15,09:20:00,Crossed Below Opening Range Low,39259.0,,
2024-03-14,Thursday,Win,39336.0,39295.0,39698.0,39138.0,41.0,41.0,41.0,21:10:00,39135.0,Above Opening High,20:55:00,39200.0,Below Opening Low,0.09955582784499924,39.0,0.2839673565453196,111.0,2024-03-18,04:30:00,Crossed Below Opening Range Low,39097.0,,
2024-03-17,Sunday,Win,39133.0,39099.0,39174.0,39111.0,34.0,34.0,34.0,20:45:00,39206.0,Below Opening Low,21:40:00,39522.0,Below Opening Low,0.2993169433856072,117.0,1.0379384395132427,406.0,2024-03-19,03:05:00,,,Crossed Above Opening Range High,39232.0
2024-03-18,Monday,Win,39230.0,39208.0,39337.0,39089.0,22.0,22.0,22.0,21:30:00,39524.0,Below Opening Low,22:25:00,40032.0,Above Opening High,1.0430514367522241,408.0,0.06320313487548983,25.0,2024-03-20,03:05:00,,,Crossed Above Opening Range High,39553.0
2024-03-19,Tuesday,Loss,39547.0,39525.0,39555.0,39116.0,22.0,22.0,22.0,22:20:00,40029.0,Above Opening High,21:50:00,40225.0,Below Opening Low,0.06990039194148338,28.0,0.5398785273313504,216.0,2024-03-22,06:40:00,,,Crossed Above Opening Range High,40265.0
2024-03-20,Wednesday,Win,40027.0,40001.0,40057.0,39426.0,26.0,26.0,26.0,21:35:00,40233.0,Below Opening Low,21:10:00,39823.0,Below Opening Low,0.5598740283436228,224.0,0.06784601467484169,27.0,2024-03-25,04:10:00,,,Crossed Above Opening Range High,39853.0
2024-03-21,Thursday,Loss,40257.0,40237.0,40315.0,40009.0,20.0,20.0,20.0,21:05:00,39828.0,Below Opening Low,20:45:00,39747.0,Above Opening High,0.08041009146647904,32.0,0.2660375464310812,106.0,2024-03-26,10:00:00,Crossed Below Opening Range Low,39701.0,,
