Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-03-11,Monday,,,,,,,,,,,,
2024-03-12,Tuesday,20:35:00,Below Low,18223.0,18238.0,18224.5,18241.75,17930.0,,,,,
2024-03-13,Wednesday,21:55:00,Above High,18129.0,18126.25,18105.0,18256.5,18033.25,03:00:00,Crossed Above High,18246.0,,
2024-03-14,Thursday,20:50:00,Above High,18014.25,18008.75,17977.5,18177.75,17915.5,09:45:00,,,Crossed Below Low,18027.25
2024-03-17,Sunday,20:55:00,Above High,18089.75,18088.5,18063.5,18127.0,18071.75,,,,,
2024-03-18,Monday,20:45:00,Below Low,18169.25,18196.25,18175.75,18381.0,18122.5,23:05:00,Crossed Above High,18198.25,,
2024-03-19,Tuesday,21:10:00,Below Low,18244.5,18281.25,18246.75,18289.25,18053.25,,,,,
2024-03-20,Wednesday,20:35:00,Below Low,18565.0,18584.75,18569.0,18596.5,18234.0,06:30:00,Crossed Above High,18285.75,,
2024-03-20,Wednesday,20:35:00,Below Low,18565.0,18584.75,18569.0,18596.5,18234.0,22:30:00,Crossed Above High,18592.25,,
2024-03-21,Thursday,20:40:00,Below Low,18583.0,18595.0,18584.0,18709.0,18532.25,,,,,
2024-03-24,Sunday,21:35:00,Above High,18597.75,18597.5,18571.75,18601.25,18565.75,22:15:00,,,Crossed Below Low,18571.25
2024-03-25,Monday,20:45:00,Above High,18548.5,18547.25,18532.25,18576.25,18414.75,23:35:00,,,Crossed Below Low,18531.75
2024-03-26,Tuesday,21:35:00,Below Low,18482.5,18493.25,18483.0,18619.0,18439.25,22:20:00,Crossed Above High,18493.25,,
2024-03-27,Wednesday,,,,,,,,,,,,
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,21:35:00,Below Low,18586.5,18612.0,18590.0,18604.0,18563.25,,,,,
2024-04-01,Monday,22:30:00,Above High,18481.5,18481.0,18458.0,18607.0,18414.5,,,,,
2024-04-02,Tuesday,21:15:00,Below Low,18295.25,18333.25,18300.5,18511.0,18201.5,01:15:00,,,Crossed Below Low,18457.25
2024-04-03,Wednesday,,,,,,,,10:00:00,Crossed Above High,18352.25,,
2024-04-04,Thursday,20:35:00,Below Low,18078.25,18110.0,18084.0,18568.0,18053.5,23:55:00,Crossed Above High,18110.75,,
2024-04-07,Sunday,21:40:00,Above High,18332.0,18325.5,18283.75,18333.5,18270.25,23:35:00,,,Crossed Below Low,18279.5
2024-04-08,Monday,21:55:00,Below Low,18287.5,18313.75,18291.75,18376.0,18237.5,,,,,
