Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,18060.75,18035.5,18066.0,17890.75,25.25,101.0,6.3125,20:35:00,18223.0,Below Opening Low,20:40:00,18212.0,Below Opening Low,1.6341327384272168,73.25,1.5727830451756832,70.5,2024-03-13,03:00:00,,,Crossed Above Opening Range High,18246.0
2024-03-12,Tuesday,Win,18238.0,18224.5,18241.75,17930.0,13.5,54.0,3.375,21:55:00,18129.0,Above Opening High,21:55:00,18129.0,Above Opening High,0.6983813984060472,31.875,0.6983813984060472,31.875,2024-03-14,09:45:00,Crossed Below Opening Range Low,18027.25,,
2024-03-13,Wednesday,Win,18126.25,18105.0,18256.5,18033.25,21.25,85.0,5.3125,20:50:00,18014.25,Above Opening High,21:00:00,18016.0,Above Opening High,0.8994512522176837,40.875,0.8898240981419593,40.4375,2024-03-15,00:35:00,Crossed Below Opening Range Low,17972.75,,
2024-03-14,Thursday,Loss,18008.75,17977.5,18177.75,17915.5,31.25,125.0,7.8125,20:55:00,18089.75,Above Opening High,21:10:00,18098.75,Above Opening High,0.20549456611684228,9.3125,0.15584487228995422,7.0625,2024-03-18,23:05:00,,,Crossed Above Opening Range High,18198.25
2024-03-17,Sunday,Win,18088.5,18063.5,18127.0,18071.75,25.0,100.0,6.25,20:45:00,18169.25,Below Opening Low,20:50:00,18164.25,Below Opening Low,0.25796661608497723,11.6875,0.23037660366947163,10.4375,2024-03-20,06:30:00,,,Crossed Above Opening Range High,18285.75
2024-03-18,Monday,Win,18196.25,18175.75,18381.0,18122.5,20.5,82.0,5.125,21:10:00,18244.5,Below Opening Low,21:35:00,18236.5,Below Opening Low,1.059366042125379,47.8125,1.015052691343664,45.8125,2024-03-20,22:30:00,,,Crossed Above Opening Range High,18592.25
2024-03-19,Tuesday,Win,18281.25,18246.75,18289.25,18053.25,34.5,138.0,8.625,20:35:00,18565.0,Below Opening Low,20:40:00,18565.25,Below Opening Low,1.8152901173631677,82.75,1.8166611824064933,82.8125,2024-03-22,05:00:00,,,Crossed Above Opening Range High,18595.0
2024-03-20,Wednesday,Loss,18584.75,18569.0,18596.5,18234.0,15.75,63.0,3.9375,20:40:00,18583.0,Below Opening Low,20:45:00,18583.25,Below Opening Low,0.2738469424921421,12.6875,0.27519594220885213,12.75,2024-03-24,22:15:00,Crossed Below Opening Range Low,18571.25,,
2024-03-21,Thursday,Win,18595.0,18584.0,18709.0,18532.25,11.0,44.0,2.75,21:35:00,18597.75,Above Opening High,21:05:00,18551.5,Above Opening High,0.018815939788992677,0.875,0.1330555742221625,6.1875,2024-03-25,23:35:00,Crossed Below Opening Range Low,18531.75,,
2024-03-24,Sunday,Loss,18597.5,18571.75,18601.25,18565.75,25.75,103.0,6.4375,20:45:00,18548.5,Above Opening High,22:30:00,18495.75,Above Opening High,0.14938429446201468,6.9375,0.6634815961240831,30.8125,2024-03-26,22:20:00,,,Crossed Above Opening Range High,18493.25
