Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-04-28,Sunday,Loss,925.7000122070312,922.7000122070312,928.7999877929688,923.2000122070312,3.0,30.0,0.3,20:45:00,925.7999877929688,Above Opening High,20:50:00,926.4000244140624,Above Opening High,0.32299742026576184,0.3,0.2583939933730189,0.23999633789063637,2024-05-01,04:05:00,,,Crossed Above Opening Range High,947.7000122070312
2024-04-29,Monday,Loss,963.0999755859376,958.0,965.5,922.7999877929688,5.099975585937614,50.99975585937614,0.5099975585937614,23:10:00,957.7999877929688,Below Opening Low,20:45:00,943.0,Below Opening Low,3.792804558191248,3.5,0.3191489361702127,0.3,2024-05-02,04:25:00,Crossed Below Opening Range Low,964.2999877929688,,
2024-04-30,Tuesday,Loss,947.2000122070312,943.7999877929688,959.4000244140624,940.0,3.4000244140625,34.000244140625,0.34000244140625,20:40:00,943.0,Below Opening Low,20:45:00,968.7000122070312,Above Opening High,0.3191489361702127,0.3,0.1250794430367066,0.12000122070311363,2024-05-03,10:05:00,Crossed Below Opening Range Low,962.5999755859376,,
2024-05-01,Wednesday,Win,968.0,965.2000122070312,969.9000244140624,942.2000122070312,2.79998779296875,27.9998779296875,0.279998779296875,20:40:00,968.7999877929688,Above Opening High,20:40:00,966.0,Above Opening High,0.11341752690007326,0.11000366210936363,0.5361389912504322,0.520001220703125,2024-05-07,03:50:00,Crossed Below Opening Range Low,964.2999877929688,,
2024-05-02,Thursday,Win,965.5,962.9000244140624,971.2000122070312,951.9000244140624,2.5999755859376137,25.999755859376137,0.2599975585937614,20:40:00,966.0,Above Opening High,20:40:00,968.0,Above Opening High,0.5354213490189661,0.520001220703125,1.0914307508964498,1.0599975585937613,2024-05-09,09:00:00,Crossed Below Opening Range Low,983.5,,
2024-05-05,Sunday,Loss,964.2999877929688,956.2999877929688,963.2999877929688,956.9000244140624,8.0,80.0,0.8,20:35:00,967.9000244140624,Above Opening High,21:35:00,985.9000244140624,Below Opening Low,1.093393770571946,1.0699951171875228,2.580381797742253,2.4800048828124774,2024-05-12,22:45:00,,,Crossed Above Opening Range High,1005.5999755859376
2024-05-06,Monday,Loss,967.7000122070312,965.7000122070312,978.5999755859376,960.7999877929688,2.0,20.0,0.2,21:30:00,987.5,Below Opening Low,21:35:00,986.7000122070312,Above Opening High,2.746855174766551,2.6400024414062386,0.5036261141698023,0.5,2024-05-13,22:50:00,Crossed Below Opening Range Low,1010.2999877929688,,
2024-05-07,Tuesday,Loss,991.5,988.0,992.7999877929688,961.0999755859376,3.5,35.0,0.35,21:20:00,986.2999877929688,Above Opening High,21:20:00,996.5999755859376,Above Opening High,0.5445219670860677,0.54000244140625,0.1310929527197958,0.13000488281247727,2024-05-17,01:05:00,,,Crossed Above Opening Range High,1073.5
2024-05-08,Wednesday,Win,986.0,983.9000244140624,991.7000122070312,972.4000244140624,2.0999755859376137,20.999755859376137,0.20999755859376137,21:15:00,996.2999877929688,Above Opening High,21:25:00,1001.4000244140624,Below Opening Low,0.1603403729780577,0.16000366210936362,0.03996247892731132,0.04000244140623863,2024-05-20,02:15:00,Crossed Below Opening Range Low,1091.0999755859375,,
2024-05-09,Thursday,Win,995.9000244140624,992.5,997.9000244140624,982.0,3.4000244140623863,34.00024414062386,0.34000244140623864,21:15:00,1002.2000122070312,Below Opening Low,21:15:00,1014.0,Above Opening High,0.11988133936376125,0.120001220703125,1.1819650932007697,1.19000244140625,2024-05-21,08:30:00,,,Crossed Above Opening Range High,1062.9000244140625
2024-05-12,Sunday,Loss,1005.2000122070312,1002.5999755859376,1006.7999877929688,1001.0,2.6000366210936363,26.000366210936363,0.26000366210936365,21:10:00,1013.0999755859376,Above Opening High,22:00:00,1062.5999755859375,Above Opening High,1.2476896893959593,1.2800048828124886,0.6725825372704727,0.69000244140625,2024-05-21,21:45:00,,,Crossed Above Opening Range High,1065.5
2024-05-13,Monday,Loss,1012.7000122070312,1010.2999877929688,1025.9000244140625,1003.9000244140624,2.4000244140625,24.000244140625,0.24000244140625,22:00:00,1062.5999755859375,Above Opening High,22:45:00,1066.9000244140625,Below Opening Low,0.6451635730773726,0.69000244140625,0.8316840592734964,0.8800048828125,2024-05-23,09:05:00,,,Crossed Above Opening Range High,1050.800048828125
2024-05-14,Tuesday,Loss,1061.699951171875,1048.199951171875,1069.5,1009.9000244140624,13.5,135.0,1.35,21:25:00,1068.9000244140625,Below Opening Low,21:10:00,1099.9000244140625,Above Opening High,1.020702114858695,1.0800048828125,0.46741597470925933,0.50999755859375,2024-05-24,03:40:00,Crossed Below Opening Range Low,1024.0999755859375,,
2024-05-15,Wednesday,Loss,1084.300048828125,1075.5999755859375,1084.0999755859375,1050.5999755859375,8.7000732421875,87.000732421875,0.87000732421875,21:00:00,1099.0,Above Opening High,20:45:00,1051.199951171875,Below Opening Low,0.5429864253393665,0.6,1.0283470612085537,1.0699951171875,2024-05-27,22:10:00,,,Crossed Above Opening Range High,1066.5999755859375
2024-05-16,Thursday,Loss,1073.199951171875,1069.300048828125,1091.0999755859375,1058.0999755859375,3.89990234375,38.9990234375,0.389990234375,20:35:00,1050.4000244140625,Below Opening Low,20:55:00,1058.5,Below Opening Low,0.951467987896444,0.99000244140625,1.8180093168442122,1.89000244140625,2024-05-29,21:40:00,Crossed Below Opening Range Low,1041.300048828125,,
