Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-04-28,Sunday,20:35:00,Below Low,27.200000762939453,27.23500061035156,27.204999923706055,27.270000457763672,26.96500015258789,21:55:00,Crossed Above High,27.25,,
2024-04-29,Monday,21:00:00,Above High,27.399999618530273,27.395000457763672,27.325000762939453,27.739999771118164,27.13999938964844,22:10:00,,,Crossed Below Low,27.274999618530273
2024-04-30,Tuesday,20:45:00,Below Low,26.565000534057617,26.655000686645508,26.575000762939453,27.229999542236328,26.545000076293945,21:45:00,Crossed Above High,26.665000915527344,,
2024-05-01,Wednesday,20:40:00,Above High,27.045000076293945,27.040000915527344,26.940000534057617,27.25,26.584999084472656,22:25:00,,,Crossed Below Low,26.940000534057617
2024-05-02,Thursday,21:00:00,Above High,26.959999084472656,26.934999465942383,26.854999542236328,27.01499938964844,26.2549991607666,22:20:00,,,Crossed Below Low,26.834999084472656
2024-05-05,Sunday,21:00:00,Above High,27.030000686645508,26.825000762939453,26.65999984741211,27.25,26.684999465942383,,,,,
2024-05-06,Monday,20:35:00,Below Low,27.645000457763672,27.739999771118164,27.65999984741211,27.7450008392334,27.084999084472656,,,,,
2024-05-07,Tuesday,21:00:00,Below Low,27.434999465942383,27.51499938964844,27.475000381469727,27.76499938964844,27.31999969482422,09:15:00,Crossed Above High,27.7450008392334,,
2024-05-07,Tuesday,21:00:00,Below Low,27.434999465942383,27.51499938964844,27.475000381469727,27.76499938964844,27.31999969482422,22:40:00,Crossed Above High,27.53499984741211,,
2024-05-08,Wednesday,20:50:00,Above High,27.59000015258789,27.579999923706055,27.510000228881836,27.73500061035156,27.2450008392334,,,,,
2024-05-09,Thursday,20:45:00,Below Low,28.53499984741211,28.614999771118164,28.545000076293945,28.725000381469727,27.704999923706055,21:15:00,Crossed Above High,28.614999771118164,,
2024-05-12,Sunday,20:40:00,Above High,28.450000762939453,28.440000534057617,28.395000457763672,28.454999923706055,28.190000534057617,21:00:00,,,Crossed Below Low,28.38999938964844
2024-05-13,Monday,21:40:00,Below Low,28.469999313354492,28.56999969482422,28.489999771118164,28.655000686645508,28.219999313354492,22:20:00,Crossed Above High,28.56999969482422,,
2024-05-14,Tuesday,20:35:00,Below Low,28.809999465942383,28.88999938964844,28.825000762939453,28.979999542236328,28.309999465942383,,,,,
2024-05-15,Wednesday,21:20:00,Above High,30.059999465942383,30.049999237060547,29.905000686645508,30.104999542236328,28.760000228881836,03:00:00,Crossed Above High,28.915000915527344,,
2024-05-15,Wednesday,21:20:00,Above High,30.059999465942383,30.049999237060547,29.905000686645508,30.104999542236328,28.760000228881836,22:00:00,,,Crossed Below Low,29.834999084472656
2024-05-16,Thursday,21:00:00,Below Low,29.81999969482422,29.959999084472656,29.8799991607666,29.979999542236328,29.549999237060547,,,,,
2024-05-19,Sunday,20:45:00,Above High,31.84000015258789,31.825000762939453,31.579999923706055,32.755001068115234,31.69499969482422,,,,,
2024-05-20,Monday,20:45:00,Above High,32.15999984741211,32.10499954223633,31.969999313354492,32.720001220703125,31.18000030517578,08:00:00,,,Crossed Below Low,31.524999618530273
2024-05-20,Monday,20:45:00,Above High,32.15999984741211,32.10499954223633,31.969999313354492,32.720001220703125,31.18000030517578,21:55:00,,,Crossed Below Low,31.684999465942383
2024-05-21,Tuesday,20:35:00,Below Low,32.22999954223633,32.29999923706055,32.2400016784668,32.53499984741211,31.469999313354492,21:00:00,Crossed Above High,32.310001373291016,,
2024-05-22,Wednesday,20:40:00,Below Low,31.01499938964844,31.190000534057617,31.045000076293945,32.1349983215332,30.450000762939453,,,,,
2024-05-23,Thursday,21:25:00,Above High,30.479999542236328,30.424999237060547,30.2549991607666,31.155000686645508,30.23500061035156,,,,,
2024-05-26,Sunday,21:05:00,Above High,30.73500061035156,30.719999313354492,30.635000228881836,31.065000534057617,30.614999771118164,,,,,
2024-05-27,Monday,21:00:00,Above High,31.975000381469727,31.934999465942383,31.799999237060547,32.084999084472656,30.924999237060547,,,,,
2024-05-28,Tuesday,20:40:00,Below Low,32.189998626708984,32.334999084472656,32.209999084472656,32.45000076293945,31.43000030517578,02:05:00,,,Crossed Below Low,31.770000457763672
2024-05-28,Tuesday,20:40:00,Below Low,32.189998626708984,32.334999084472656,32.209999084472656,32.45000076293945,31.43000030517578,22:30:00,Crossed Above High,32.369998931884766,,
2024-05-29,Wednesday,20:35:00,Below Low,32.154998779296875,32.25,32.165000915527344,32.5,31.459999084472656,21:10:00,Crossed Above High,32.255001068115234,,
2024-05-30,Thursday,21:05:00,Below Low,31.190000534057617,31.3799991607666,31.280000686645508,31.989999771118164,30.940000534057617,22:10:00,Crossed Above High,31.534000396728516,,
2024-06-02,Sunday,20:45:00,Above High,30.604999542236328,30.600000381469727,30.450000762939453,30.780000686645508,30.270000457763672,23:20:00,,,Crossed Below Low,30.424999237060547
2024-06-03,Monday,21:15:00,Below Low,30.84000015258789,31.0049991607666,30.854999542236328,31.040000915527344,29.940000534057617,,,,,
2024-06-04,Tuesday,21:00:00,Below Low,29.63999938964844,29.760000228881836,29.670000076293945,30.950000762939453,29.510000228881836,22:30:00,Crossed Above High,29.770000457763672,,
2024-06-05,Wednesday,20:55:00,Above High,30.18000030517578,30.15999984741211,30.079999923706055,30.7549991607666,29.524999618530273,,,,,
2024-06-06,Thursday,20:40:00,Above High,31.489999771118164,31.479999542236328,31.399999618530273,31.575000762939453,30.225000381469727,21:10:00,,,Crossed Below Low,31.375
2024-06-09,Sunday,21:30:00,Above High,29.545000076293945,29.479999542236328,29.334999084472656,29.670000076293945,29.344999313354492,,,,,
2024-06-10,Monday,20:55:00,Below Low,29.7450008392334,29.81999969482422,29.7549991607666,29.940000534057617,29.135000228881836,,,,,
2024-06-11,Tuesday,20:40:00,Below Low,29.34000015258789,29.420000076293945,29.344999313354492,29.649999618530273,29.155000686645508,21:20:00,Crossed Above High,29.420000076293945,,
2024-06-12,Wednesday,21:00:00,Below Low,29.584999084472656,29.739999771118164,29.614999771118164,30.350000381469727,28.915000915527344,,,,,
2024-06-13,Thursday,20:40:00,Above High,29.05500030517578,29.049999237060547,28.94499969482422,29.56999969482422,28.725000381469727,21:30:00,,,Crossed Below Low,28.924999237060547
2024-06-16,Sunday,20:35:00,Above High,29.61000061035156,29.594999313354492,29.524999618530273,29.6299991607666,29.25,21:00:00,,,Crossed Below Low,29.450000762939453
2024-06-17,Monday,21:20:00,Below Low,29.524999618530273,29.739999771118164,29.545000076293945,29.760000228881836,29.084999084472656,,,,,
2024-06-18,Tuesday,21:05:00,Below Low,29.450000762939453,29.6200008392334,29.489999771118164,29.645000457763672,28.98500061035156,,,,,
2024-06-19,Wednesday,20:55:00,Above High,29.905000686645508,29.8700008392334,29.799999237060547,30.31999969482422,29.415000915527344,03:55:00,Crossed Above High,29.645000457763672,,
2024-06-20,Thursday,20:45:00,Above High,30.875,30.864999771118164,30.799999237060547,30.899999618530273,30.06999969482422,21:00:00,,,Crossed Below Low,30.790000915527344
