Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,5138.5,5134.0,5183.0,5112.75,4.5,18.0,1.125,20:36:00,5139.0,Above Opening High,20:37:00,5139.0,Above Opening High,0.8489291915878834,11.0,0.8489291915878834,11.0,Crossed Below Opening Low,20:59:00,5134.25
2024-03-12,Tuesday,Win,5181.0,5178.0,5183.75,5153.0,3.0,12.0,0.75,20:39:00,5177.75,Below Opening Low,20:40:00,5177.5,Below Opening Low,0.4803027362701339,6.1875,0.47545119347952647,6.125,Crossed Above Opening High,01:57:00,5180.25
2024-03-13,Wednesday,Win,5174.5,5170.0,5189.5,5124.25,4.5,18.0,1.125,21:43:00,5174.75,Above Opening High,21:45:00,5175.25,Above Opening High,0.2842277676076693,3.6875,0.2745929280277483,3.5625,Crossed Below Opening Low,09:33:00,5170.25
2024-03-14,Thursday,Win,5155.5,5147.5,5167.0,5114.0,8.0,32.0,2.0,20:53:00,5156.25,Above Opening High,20:54:00,5155.75,Above Opening High,0.20805109347784012,2.6875,0.2177278885233211,2.8125,Crossed Below Opening Low,01:44:00,5147.5
2024-03-17,Sunday,Loss,5187.25,5181.75,5240.25,5183.25,5.5,22.0,1.375,21:05:00,5187.5,Above Opening High,21:11:00,5188.25,Above Opening High,1.0066313630074901,13.1875,0.9923190687467202,13.0,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,5210.75,5207.0,5244.75,5186.0,3.75,15.0,0.9375,20:46:00,5205.75,Below Opening Low,20:47:00,5205.25,Below Opening Low,0.38083301195526414,4.9375,0.37119166988044733,4.8125,Crossed Above Opening High,23:40:00,5212.25
2024-03-19,Tuesday,Win,5240.75,5236.25,5289.5,5233.0,4.5,18.0,1.125,21:13:00,5236.0,Below Opening Low,21:18:00,5235.75,Below Opening Low,0.05732849226065354,0.75,0.05255111790559908,0.6875,Crossed Above Opening High,03:10:00,5240.5
2024-03-20,Wednesday,Win,5304.0,5300.0,5322.75,5299.0,4.0,16.0,1.0,20:38:00,5299.75,Below Opening Low,21:06:00,5299.75,Below Opening Low,0.014153613889413098,0.1875,0.014153613889413098,0.1875,Crossed Above Opening High,22:31:00,5304.0
2024-03-21,Thursday,Win,5311.0,5308.5,5311.75,5289.0,2.5,10.0,0.625,20:47:00,5307.75,Below Opening Low,20:48:00,5308.0,Below Opening Low,0.35450935904707886,4.6875,0.3592361505010399,4.75,Crossed Above Opening High,05:08:00,5309.75
2024-03-24,Sunday,Win,5294.75,5291.0,5295.0,5272.5,3.75,15.0,0.9375,21:13:00,5290.75,Below Opening Low,22:17:00,5289.5,Below Opening Low,0.34613560929350407,4.5625,0.3224276908487435,4.25,Crossed Above Opening High,21:38:00,5294.5
2024-03-25,Monday,Win,5285.5,5282.0,5300.5,5263.0,3.5,14.0,0.875,20:35:00,5286.0,Above Opening High,20:41:00,5286.25,Above Opening High,0.27355909819828317,3.625,0.2688425620224507,3.5625,Crossed Below Opening Low,23:44:00,5282.25
2024-03-26,Tuesday,Win,5276.25,5273.75,5311.5,5270.75,2.5,10.0,0.625,20:47:00,5276.75,Above Opening High,20:49:00,5276.75,Above Opening High,0.6542407982679093,8.6875,0.6542407982679093,8.6875,Crossed Below Opening Low,10:12:00,5273.5
