Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Loss,2190.60009765625,2187.800048828125,2189.199951171875,2156.199951171875,2.800048828125,28.00048828125,0.2800048828125,20:39:00,2187.699951171875,Below Opening Low,20:44:00,2187.300048828125,Below Opening Low,1.4609034743220375,3.15,1.4423568481831837,3.110009765625,Not Crossed,N/A,N/A
2024-03-12,Tuesday,Loss,2165.5,2161.300048828125,2185.60009765625,2162.300048828125,4.199951171875,41.99951171875,0.4199951171875,20:36:00,2165.89990234375,Above Opening High,20:37:00,2165.800048828125,Above Opening High,0.9013632152389497,1.97001953125,0.9059319154202902,1.9800048828125,Not Crossed,N/A,N/A
2024-03-13,Wednesday,Win,2180.39990234375,2178.300048828125,2181.300048828125,2158.89990234375,2.099853515625,20.99853515625,0.2099853515625,20:56:00,2180.800048828125,Above Opening High,20:56:00,2180.800048828125,Above Opening High,0.022922110154841763,0.05,0.022922110154841763,0.05,Crossed Below Opening Low,20:42:00,2178.300048828125
2024-03-14,Thursday,Win,2166.0,2164.39990234375,2176.89990234375,2158.800048828125,1.60009765625,16.0009765625,0.160009765625,20:40:00,2166.10009765625,Above Opening High,20:43:00,2166.300048828125,Above Opening High,0.4961093836180725,1.07998046875,0.4869242496732492,1.0599853515625,Crossed Below Opening Low,08:36:00,2164.10009765625
2024-03-17,Sunday,Win,2160.199951171875,2157.60009765625,2167.199951171875,2149.199951171875,2.599853515625,25.99853515625,0.2599853515625,20:54:00,2160.300048828125,Above Opening High,20:56:00,2160.39990234375,Above Opening High,0.31837866829126676,0.689990234375,0.31377117854067843,0.6800048828125,Crossed Below Opening Low,21:06:00,2157.5
2024-03-18,Monday,Win,2166.199951171875,2164.0,2166.300048828125,2150.199951171875,2.199951171875,21.99951171875,0.2199951171875,21:09:00,2163.699951171875,Below Opening Low,21:09:00,2163.699951171875,Below Opening Low,0.6278485864834291,1.35,0.6278485864834291,1.35,Crossed Above Opening High,20:31:00,2166.199951171875
2024-03-19,Tuesday,Win,2161.10009765625,2158.300048828125,2192.199951171875,2152.300048828125,2.800048828125,28.00048828125,0.2800048828125,20:39:00,2158.199951171875,Below Opening Low,20:39:00,2158.199951171875,Below Opening Low,0.274120810756026,0.589990234375,0.274120810756026,0.589990234375,Crossed Above Opening High,21:13:00,2161.199951171875
2024-03-20,Wednesday,Win,2208.199951171875,2198.10009765625,2214.699951171875,2168.199951171875,10.099853515625,100.99853515625,1.0099853515625,20:36:00,2198.0,Below Opening Low,20:39:00,2196.199951171875,Below Opening Low,1.3744142375807444,2.9800048828125,1.2913938119437038,2.8,Crossed Above Opening High,21:08:00,2208.5
2024-03-21,Thursday,Win,2186.39990234375,2182.800048828125,2188.0,2158.39990234375,3.599853515625,35.99853515625,0.3599853515625,20:34:00,2186.800048828125,Above Opening High,20:35:00,2186.800048828125,Above Opening High,0.0548423753142139,0.1199951171875,0.0548423753142139,0.1199951171875,Crossed Below Opening Low,21:36:00,2182.0
2024-03-24,Sunday,Win,2170.5,2165.199951171875,2182.5,2164.39990234375,5.300048828125,53.00048828125,0.5300048828125,21:16:00,2171.89990234375,Above Opening High,21:17:00,2171.10009765625,Above Opening High,0.4856860323596793,1.060009765625,0.5223322952462772,1.139990234375,Crossed Below Opening Low,21:07:00,2165.0
