Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-10,Sunday,Win,18048.0,18012.0,18055.5,17890.0,36.0,144.0,9.0,21:41:00,18049.0,Above Opening High,21:42:00,18053.25,Above Opening High,0.036000110769571596,1.625,0.012461576804851708,0.5625,Crossed Below Opening Low,20:44:00,18014.25
2024-03-11,Monday,Win,18060.0,18035.75,18491.0,17930.0,24.25,97.0,6.0625,20:34:00,18060.25,Above Opening High,20:37:00,18064.5,Above Opening High,2.329511654318317,107.6875,2.306527499864799,106.625,Crossed Below Opening Low,04:30:00,18034.25
2024-03-12,Tuesday,Win,18486.75,18471.75,18504.25,18281.5,15.0,60.0,3.75,20:40:00,18469.25,Below Opening Low,20:41:00,18462.0,Below Opening Low,1.0269945026392802,46.9375,0.9873369253070043,45.125,Crossed Above Opening High,03:02:00,18487.75
2024-03-13,Wednesday,Win,18377.5,18353.5,18428.25,18161.25,24.0,96.0,6.0,21:45:00,18379.0,Above Opening High,21:57:00,18380.0,Above Opening High,0.26725272340021433,12.3125,0.2618262721636618,12.0625,Crossed Below Opening Low,08:32:00,18367.0
2024-03-14,Thursday,Win,18252.75,18223.75,18323.0,18006.25,29.0,116.0,7.25,20:31:00,18254.25,Above Opening High,20:33:00,18254.75,Above Opening High,0.37521148283578015,17.1875,0.37248267205151997,17.0625,Crossed Below Opening Low,00:38:00,18222.5
2024-03-17,Sunday,Loss,18088.75,18063.75,18380.75,18071.75,25.0,100.0,6.25,20:55:00,18090.5,Above Opening High,20:56:00,18092.0,Above Opening High,1.5790976973192064,72.5625,1.5709369857051534,72.1875,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,18196.5,18177.25,18289.5,18053.25,19.25,77.0,4.8125,20:32:00,18176.75,Below Opening Low,20:47:00,18163.0,Below Opening Low,0.6840873526927285,30.875,0.6079237810366555,27.4375,Crossed Above Opening High,23:03:00,18194.5
2024-03-19,Tuesday,Win,18281.5,18246.75,18497.75,18227.5,34.75,139.0,8.6875,21:13:00,18244.0,Below Opening Low,21:14:00,18244.75,Below Opening Low,0.09052256206281717,4.125,0.0946372239747634,4.3125,Crossed Above Opening High,06:32:00,18283.25
2024-03-20,Wednesday,Win,18585.25,18570.0,18708.5,18552.25,15.25,61.0,3.8125,20:35:00,18568.5,Below Opening Low,20:36:00,18568.75,Below Opening Low,0.08759045398806076,4.0625,0.08893799943403091,4.125,Crossed Above Opening High,22:30:00,18585.5
2024-03-21,Thursday,Win,18595.5,18584.0,18626.0,18492.75,11.5,46.0,2.875,20:43:00,18582.25,Below Opening Low,20:44:00,18582.5,Below Opening Low,0.48397344905435913,22.375,0.48532533019696905,22.4375,Crossed Above Opening High,21:09:00,18593.5
2024-03-24,Sunday,Win,18598.0,18571.25,18601.25,18415.0,26.75,107.0,6.6875,22:18:00,18569.0,Below Opening Low,22:25:00,18569.5,Below Opening Low,0.8362747759978278,38.5,0.8389899538419766,38.625,Crossed Above Opening High,21:39:00,18598.0
2024-03-25,Monday,Win,18547.5,18532.25,18618.75,18439.25,15.25,61.0,3.8125,20:41:00,18548.0,Above Opening High,20:49:00,18548.25,Above Opening High,0.3799932863376972,17.6875,0.37865055387714,17.625,Crossed Below Opening Low,23:35:00,18532.25
2024-03-26,Tuesday,Win,18493.0,18483.0,18572.25,18378.5,10.0,40.0,2.5,20:51:00,18493.25,Above Opening High,20:56:00,18495.5,Above Opening High,0.4253658011280271,19.75,0.41325095236172243,19.1875,Crossed Below Opening Low,21:38:00,18483.25
2024-03-27,Wednesday,Win,18503.5,18475.0,18539.25,18447.75,28.5,114.0,7.125,21:00:00,18504.25,Above Opening High,01:04:00,18507.25,Above Opening High,0.18878865110508786,8.75,0.17260676672465175,8.0,Crossed Below Opening Low,05:17:00,18475.25
2024-03-31,Sunday,Loss,18611.75,18589.75,18607.25,18414.5,22.0,88.0,5.5,21:35:00,18586.25,Below Opening Low,21:36:00,18586.75,Below Opening Low,0.9326889136278476,42.9375,0.9354041651959053,43.0625,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,18481.25,18458.0,18514.0,18201.0,23.25,93.0,5.8125,22:34:00,18481.5,Above Opening High,22:55:00,18487.0,Above Opening High,0.17554283245111807,8.125,0.14583558388246734,6.75,Crossed Below Opening Low,21:12:00,18458.5
2024-04-02,Tuesday,Win,18333.25,18300.5,18452.0,18232.75,32.75,131.0,8.1875,21:06:00,18294.5,Below Opening Low,21:07:00,18296.25,Below Opening Low,0.33867628306207237,15.4375,0.34827439634723234,15.875,Crossed Above Opening High,10:01:00,18336.75
2024-04-03,Wednesday,Win,18485.25,18416.5,18568.25,18062.5,68.75,275.0,17.1875,03:02:00,18415.5,Below Opening Low,08:40:00,18488.75,Above Opening High,1.954325259515571,88.25,0.4281502026308349,19.875,Crossed Above Opening High,08:39:00,18485.75
2024-04-04,Thursday,Win,18110.0,18084.0,18407.75,18043.5,26.0,104.0,6.5,20:36:00,18077.75,Below Opening Low,20:37:00,18059.25,Below Opening Low,0.18981904841078506,8.5625,0.08728905145897414,3.9375,Crossed Above Opening High,23:58:00,18110.0
2024-04-07,Sunday,Win,18325.25,18285.0,18377.5,18237.75,40.25,161.0,10.0625,21:25:00,18326.5,Above Opening High,21:27:00,18328.75,Above Opening High,0.2775132635015644,12.75,0.2652700312882601,12.1875,Crossed Below Opening Low,20:30:00,18287.0
2024-04-08,Monday,Win,18313.75,18291.75,18405.0,18160.25,22.0,88.0,5.5,21:57:00,18289.25,Below Opening Low,21:58:00,18287.0,Below Opening Low,0.7103426439613992,32.25,0.6979529466830027,31.6875,Crossed Above Opening High,00:36:00,18313.75
2024-04-09,Tuesday,Win,18380.5,18366.75,18470.0,18054.0,13.75,55.0,3.4375,20:43:00,18380.75,Above Opening High,21:02:00,18380.75,Above Opening High,0.48321602598808877,22.3125,0.48321602598808877,22.3125,Crossed Below Opening Low,05:51:00,18364.25
