Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-10,Sunday,Win,38774.0,38726.0,39258.0,38565.0,48.0,48.0,48.0,21:42:00,38783.0,Above Opening High,22:35:00,38722.0,Below Opening Low,1.2099444699169597,475.0,0.407104887851679,157.0,Crossed Below Opening Low,22:33:00,38725.0
2024-03-11,Monday,Win,39277.0,39251.0,39543.0,39093.0,26.0,26.0,26.0,20:36:00,39279.0,Above Opening High,23:39:00,39278.0,Above Opening High,0.6676276458538806,264.0,0.6701565384518119,265.0,Crossed Below Opening Low,21:09:00,39251.0
2024-03-12,Tuesday,Win,39488.0,39468.0,39683.0,39404.0,20.0,20.0,20.0,20:41:00,39460.0,Below Opening Low,20:42:00,39461.0,Below Opening Low,0.1421175515176124,56.0,0.14465536493756978,57.0,Crossed Above Opening High,03:04:00,39484.0
2024-03-13,Wednesday,Win,39559.0,39531.0,39698.0,39138.0,28.0,28.0,28.0,01:56:00,39561.0,Above Opening High,01:57:00,39560.0,Above Opening High,0.34510554687893596,137.0,0.34762456546929316,138.0,Crossed Below Opening Low,09:34:00,39546.0
2024-03-14,Thursday,Win,39333.0,39295.0,39427.0,39048.0,38.0,38.0,38.0,20:31:00,39335.0,Above Opening High,20:35:00,39336.0,Above Opening High,0.23334263322088925,92.0,0.23080630025109697,91.0,Crossed Below Opening Low,09:21:00,39289.0
2024-03-17,Sunday,Win,39133.0,39099.0,39337.0,39089.0,34.0,34.0,34.0,21:10:00,39136.0,Above Opening High,21:10:00,39136.0,Above Opening High,0.5109693164196558,201.0,0.5109693164196558,201.0,Crossed Below Opening Low,04:29:00,39100.0
2024-03-18,Monday,Win,39230.0,39212.0,39555.0,39116.0,18.0,18.0,18.0,20:31:00,39211.0,Below Opening Low,20:32:00,39210.0,Below Opening Low,0.2428673688516208,95.0,0.24031087023213007,94.0,Crossed Above Opening High,23:40:00,39225.0
2024-03-19,Tuesday,Win,39547.0,39525.0,39972.0,39426.0,22.0,22.0,22.0,21:33:00,39523.0,Below Opening Low,21:34:00,39524.0,Below Opening Low,0.24603053822350734,97.0,0.24856693552478057,98.0,Crossed Above Opening High,03:08:00,39552.0
2024-03-20,Wednesday,Win,40027.0,40001.0,40315.0,40001.0,26.0,26.0,26.0,21:16:00,40028.0,Above Opening High,22:22:00,40031.0,Above Opening High,0.7118938360411757,287.0,0.704452437058167,284.0,Crossed Below Opening Low,20:38:00,40002.0
2024-03-21,Thursday,Win,40256.0,40237.0,40270.0,39848.0,19.0,19.0,19.0,20:38:00,40257.0,Above Opening High,21:38:00,40235.0,Below Opening Low,0.0322820958529923,13.0,0.9711905239911665,387.0,Crossed Below Opening Low,21:36:00,40237.0
2024-03-24,Sunday,Win,39847.0,39829.0,39853.0,39681.0,18.0,18.0,18.0,20:56:00,39828.0,Below Opening Low,20:57:00,39828.0,Below Opening Low,0.37045437362969685,147.0,0.37045437362969685,147.0,Crossed Above Opening High,04:11:00,39845.0
2024-03-25,Monday,Win,39737.0,39708.0,39822.0,39657.0,29.0,29.0,29.0,20:35:00,39742.0,Above Opening High,20:36:00,39741.0,Above Opening High,0.20089397820300336,80.0,0.20340515293054093,81.0,Crossed Below Opening Low,09:22:00,39706.0
2024-03-26,Tuesday,Loss,39776.0,39756.0,40164.0,39770.0,20.0,20.0,20.0,20:46:00,39777.0,Above Opening High,20:48:00,39777.0,Above Opening High,0.9635494472662086,387.0,0.9635494472662086,387.0,Not Crossed,N/A,N/A
2024-03-27,Wednesday,Win,40132.0,40102.0,40240.0,40093.0,30.0,30.0,30.0,03:22:00,40097.0,Below Opening Low,03:22:00,40097.0,Below Opening Low,0.009976803930860749,4.0,0.009976803930860749,4.0,Crossed Above Opening High,20:33:00,40132.0
2024-03-31,Sunday,Loss,40358.0,40302.0,40328.0,39830.0,56.0,56.0,56.0,21:33:00,40301.0,Below Opening Low,21:36:00,40295.0,Below Opening Low,1.182525734371077,471.0,1.167461712277178,465.0,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,39783.0,39741.0,39805.0,39369.0,42.0,42.0,42.0,21:29:00,39784.0,Above Opening High,21:30:00,39786.0,Above Opening High,0.05275719130762467,21.0,0.0477326968973747,19.0,Crossed Below Opening Low,03:27:00,39741.0
2024-04-02,Tuesday,Win,39499.0,39443.0,39633.0,39344.0,56.0,56.0,56.0,21:06:00,39441.0,Below Opening Low,00:23:00,39439.0,Below Opening Low,0.24654331028873527,97.0,0.24145994306628712,95.0,Crossed Above Opening High,04:49:00,39498.0
2024-04-03,Wednesday,Win,39567.0,39504.0,39760.0,38877.0,63.0,63.0,63.0,03:36:00,39569.0,Above Opening High,03:37:00,39569.0,Above Opening High,0.4803822937625755,191.0,0.4803822937625755,191.0,Crossed Below Opening Low,21:04:00,39504.0
2024-04-04,Thursday,Win,38956.0,38915.0,39369.0,38863.0,41.0,41.0,41.0,20:36:00,38896.0,Below Opening Low,20:37:00,38870.0,Below Opening Low,0.08491367110104728,33.0,0.018011990839616087,7.0,Crossed Above Opening High,01:10:00,38949.0
2024-04-07,Sunday,Win,39299.0,39229.0,39331.0,39116.0,70.0,70.0,70.0,20:32:00,39228.0,Below Opening Low,20:33:00,39220.0,Below Opening Low,0.28632784538296346,112.0,0.26587585642703754,104.0,Crossed Above Opening High,09:31:00,39298.0
2024-04-08,Monday,Win,39238.0,39213.0,39307.0,38873.0,25.0,25.0,25.0,21:18:00,39211.0,Below Opening Low,21:18:00,39211.0,Below Opening Low,0.8694981092274843,338.0,0.8694981092274843,338.0,Crossed Above Opening High,07:58:00,39239.0
2024-04-09,Tuesday,Win,39238.0,39212.0,39341.0,38591.0,26.0,26.0,26.0,20:40:00,39239.0,Above Opening High,21:30:00,39206.0,Below Opening Low,0.2592714979283699,102.0,1.5936358218237412,615.0,Crossed Below Opening Low,21:25:00,39214.0
2024-04-10,Wednesday,Win,38718.0,38660.0,38880.0,38472.0,58.0,58.0,58.0,21:50:00,38724.0,Above Opening High,21:51:00,38729.0,Above Opening High,0.4012345679012346,156.0,0.38837448559670784,151.0,Crossed Below Opening Low,04:59:00,38657.0
2024-04-11,Thursday,Win,38771.0,38741.0,38834.0,38133.0,30.0,30.0,30.0,20:33:00,38773.0,Above Opening High,20:34:00,38773.0,Above Opening High,0.15707884843178657,61.0,0.15707884843178657,61.0,Crossed Below Opening Low,06:13:00,38743.0
2024-04-14,Sunday,Win,38357.0,38259.0,38638.0,37911.0,98.0,98.0,98.0,01:01:00,38360.0,Above Opening High,01:01:00,38360.0,Above Opening High,0.7194989388684714,278.0,0.7194989388684714,278.0,Crossed Below Opening Low,21:15:00,38270.0
2024-04-15,Monday,Win,38021.0,37978.0,38282.0,37838.0,43.0,43.0,43.0,21:06:00,37973.0,Below Opening Low,21:07:00,37962.0,Below Opening Low,0.3567841852106348,135.0,0.327712881230509,124.0,Crossed Above Opening High,06:11:00,38038.0
2024-04-16,Tuesday,Win,38156.0,38109.0,38257.0,37841.0,47.0,47.0,47.0,20:31:00,38102.0,Below Opening Low,20:32:00,38087.0,Below Opening Low,0.6897280727253507,261.0,0.6500885283158478,246.0,Crossed Above Opening High,04:12:00,38160.0
2024-04-17,Wednesday,Win,38015.0,37984.0,38317.0,37899.0,31.0,31.0,31.0,21:02:00,38018.0,Above Opening High,21:02:00,38018.0,Above Opening High,0.7803324894955243,299.0,0.7803324894955243,299.0,Crossed Below Opening Low,05:22:00,37984.0
2024-04-18,Thursday,Win,37985.0,37880.0,38345.0,37462.0,105.0,105.0,105.0,20:32:00,37876.0,Below Opening Low,20:51:00,37868.0,Below Opening Low,1.1051198547861834,414.0,1.0837648817468368,406.0,Crossed Above Opening High,08:20:00,37991.0
2024-04-21,Sunday,Win,38356.0,38293.0,38681.0,38208.0,63.0,63.0,63.0,20:40:00,38289.0,Below Opening Low,20:53:00,38288.0,Below Opening Low,0.21199748743718594,81.0,0.20938023450586263,80.0,Crossed Above Opening High,02:28:00,38358.0
