Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,18060.75,18035.5,18241.75,17930.0,25.25,101.0,6.3125,20:36:00,18065.25,Above Opening High,20:37:00,18064.75,Above Opening High,0.9675606781147643,44.125,0.9703016432085737,44.25,Crossed Below Opening Low,04:30:00,18034.75
2024-03-12,Tuesday,Win,18238.0,18224.5,18256.5,18033.25,13.5,54.0,3.375,20:35:00,18223.5,Below Opening Low,20:37:00,18223.75,Below Opening Low,1.054995633066696,47.5625,1.0563819610996354,47.625,Crossed Above Opening High,03:01:00,18236.25
2024-03-13,Wednesday,Win,18126.25,18105.0,18177.75,17915.5,21.25,85.0,5.3125,21:45:00,18129.75,Above Opening High,21:46:00,18127.75,Above Opening High,0.2640590832198704,12.0,0.27506154502069835,12.5,Crossed Below Opening Low,08:32:00,18119.0
2024-03-14,Thursday,Win,18004.75,17977.5,18074.75,17831.75,27.25,109.0,6.8125,20:31:00,18006.5,Above Opening High,20:32:00,18007.0,Above Opening High,0.37759858365952503,17.0625,0.37483229366934534,16.9375,Crossed Below Opening Low,00:37:00,17976.25
2024-03-17,Sunday,Loss,18088.5,18063.5,18381.0,18071.75,25.0,100.0,6.25,20:55:00,18090.75,Above Opening High,20:56:00,18092.0,Above Opening High,1.5790762200097928,72.5625,1.5722757194929544,72.25,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,18196.25,18177.25,18289.25,18053.25,19.0,76.0,4.75,20:32:00,18176.25,Below Opening Low,20:47:00,18162.75,Below Opening Low,0.6813177682688712,30.75,0.6065389888247268,27.375,Crossed Above Opening High,23:03:00,18194.5
2024-03-19,Tuesday,Win,18281.25,18246.75,18497.75,18227.5,34.5,138.0,8.625,21:13:00,18244.25,Below Opening Low,21:14:00,18244.5,Below Opening Low,0.09189411603346591,4.1875,0.09326567000411466,4.25,Crossed Above Opening High,06:32:00,18283.25
2024-03-20,Wednesday,Win,18584.75,18570.0,18709.0,18552.5,14.75,59.0,3.6875,20:35:00,18568.75,Below Opening Low,20:36:00,18569.25,Below Opening Low,0.08758927368279208,4.0625,0.09028432825764722,4.1875,Crossed Above Opening High,22:29:00,18584.5
2024-03-21,Thursday,Win,18595.0,18584.0,18626.0,18492.0,11.0,44.0,2.75,20:43:00,18582.0,Below Opening Low,20:44:00,18583.0,Below Opening Low,0.48669695003244645,22.5,0.49210469392169587,22.75,Crossed Above Opening High,21:09:00,18593.75
2024-03-24,Sunday,Win,18597.5,18571.75,18601.25,18414.75,25.75,103.0,6.4375,21:39:00,18597.75,Above Opening High,22:20:00,18566.0,Below Opening Low,0.018815939788992677,0.875,0.8213524484448608,37.8125,Crossed Below Opening Low,22:18:00,18568.25
2024-03-25,Monday,Win,18547.25,18532.25,18619.0,18439.25,15.0,60.0,3.75,20:41:00,18547.75,Above Opening High,20:48:00,18548.75,Above Opening High,0.3826736129759923,17.8125,0.37730275525001344,17.5625,Crossed Below Opening Low,23:35:00,18532.5
2024-03-26,Tuesday,Win,18493.25,18483.0,18571.75,18378.5,10.25,41.0,2.5625,20:52:00,18494.0,Above Opening High,20:56:00,18495.5,Above Opening High,0.41864660034730167,19.4375,0.4105698170608586,19.0625,Crossed Below Opening Low,21:38:00,18483.0
2024-03-27,Wednesday,Win,18503.75,18474.75,18538.75,18448.75,29.0,116.0,7.25,21:00:00,18504.5,Above Opening High,01:04:00,18507.5,Above Opening High,0.1847481626323242,8.5625,0.16856584181781403,7.8125,Crossed Below Opening Low,05:17:00,18475.5
2024-03-31,Sunday,Loss,18612.0,18590.0,18607.0,18414.5,22.0,88.0,5.5,21:27:00,18589.75,Below Opening Low,21:36:00,18587.0,Below Opening Low,0.9516956746042521,43.8125,0.9367617909799344,43.125,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,18481.0,18458.0,18511.0,18201.5,23.0,92.0,5.75,22:34:00,18481.5,Above Opening High,22:55:00,18487.0,Above Opening High,0.15936470206904002,7.375,0.1296526389714224,6.0,Crossed Below Opening Low,21:12:00,18458.5
2024-04-02,Tuesday,Win,18333.25,18300.5,18451.75,18232.5,32.75,131.0,8.1875,21:06:00,18294.0,Below Opening Low,21:07:00,18296.25,Below Opening Low,0.33730974907445493,15.375,0.34965034965034963,15.9375,Crossed Above Opening High,10:01:00,18337.0
2024-04-03,Wednesday,Win,18485.0,18416.5,18568.0,18069.25,68.5,274.0,17.125,03:02:00,18415.25,Below Opening Low,08:40:00,18489.0,Above Opening High,1.9148553481743844,86.5,0.42546316242998705,19.75,Crossed Above Opening High,08:39:00,18486.0
2024-04-04,Thursday,Win,18110.0,18084.0,18408.25,18051.5,26.0,104.0,6.5,20:36:00,18077.75,Below Opening Low,20:37:00,18059.0,Below Opening Low,0.14541727834252,6.5625,0.04154779381214858,1.875,Crossed Above Opening High,23:58:00,18110.75
2024-04-07,Sunday,Win,18325.5,18285.25,18376.0,18237.5,40.25,161.0,10.0625,21:25:00,18326.5,Above Opening High,21:27:00,18328.75,Above Opening High,0.26937309534175014,12.375,0.2571288637353069,11.8125,Crossed Below Opening Low,20:30:00,18287.0
2024-04-08,Monday,Win,18313.75,18291.75,18405.0,18160.75,22.0,88.0,5.5,21:55:00,18291.0,Below Opening Low,21:58:00,18287.0,Below Opening Low,0.7172060625249508,32.5625,0.6951805404512479,31.5625,Crossed Above Opening High,00:36:00,18313.5
