Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-04-28,Sunday,Loss,924.9000244140624,922.7000122070312,965.5,922.7999877929688,2.2000122070311363,22.000122070311363,0.22000122070311362,20:32:00,925.4000244140624,Above Opening High,20:33:00,925.7000122070312,Above Opening High,4.153285922935019,4.009997558593762,4.122215203828975,3.979998779296875,Not Crossed,N/A,N/A
2024-04-29,Monday,Loss,963.0999755859376,958.0,962.4000244140624,940.0,5.099975585937614,50.99975585937614,0.5099975585937614,20:53:00,957.9000244140624,Below Opening Low,01:05:00,957.7999877929688,Below Opening Low,1.9042579163896154,1.7900024414062385,1.89361572265625,1.779998779296875,Not Crossed,N/A,N/A
2024-04-30,Tuesday,Win,947.2000122070312,943.7999877929688,967.9000244140624,942.2000122070312,3.4000244140625,34.000244140625,0.34000244140625,20:40:00,943.7000122070312,Below Opening Low,20:42:00,943.5999755859376,Below Opening Low,0.1592018659059837,0.15,0.14858452141462583,0.13999633789063637,Crossed Above Opening High,03:22:00,947.5
2024-05-01,Wednesday,Win,967.9000244140624,965.2000122070312,971.2000122070312,951.9000244140624,2.7000122070311363,27.000122070311363,0.2700012207031136,20:35:00,968.0,Above Opening High,20:37:00,968.0,Above Opening High,0.32949054435854985,0.320001220703125,0.32949054435854985,0.320001220703125,Crossed Below Opening Low,04:13:00,965.0999755859376
2024-05-02,Thursday,Win,965.5,962.9000244140624,980.2999877929688,957.5,2.5999755859376137,25.999755859376137,0.2599975585937614,20:37:00,965.7000122070312,Above Opening High,20:37:00,965.7000122070312,Above Opening High,1.48933752603707,1.45999755859375,1.48933752603707,1.45999755859375,Crossed Below Opening Low,09:45:00,962.7000122070312
2024-05-05,Sunday,Loss,964.2999877929688,956.2999877929688,978.5999755859376,956.9000244140624,8.0,80.0,0.8,01:49:00,964.4000244140624,Above Opening High,01:50:00,964.5,Above Opening High,1.4510475706248607,1.4199951171875227,1.4408313854182595,1.4099975585937614,Not Crossed,N/A,N/A
2024-05-06,Monday,Win,967.7000122070312,965.7000122070312,992.7999877929688,961.0999755859376,2.0,20.0,0.2,20:35:00,968.2000122070312,Above Opening High,20:36:00,968.2000122070312,Above Opening High,2.4778380226035415,2.45999755859375,2.4778380226035415,2.45999755859375,Crossed Below Opening Low,03:48:00,964.9000244140624
2024-05-07,Tuesday,Win,991.2000122070312,988.0,991.5,972.4000244140624,3.20001220703125,32.0001220703125,0.320001220703125,21:32:00,987.5999755859376,Below Opening Low,21:33:00,987.2999877929688,Below Opening Low,1.5631376789643996,1.5199951171875228,1.5322874336500159,1.4899963378906365,Crossed Above Opening High,20:31:00,991.5
2024-05-08,Wednesday,Win,986.0,983.9000244140624,997.7000122070312,982.0,2.0999755859376137,20.999755859376137,0.20999755859376137,21:22:00,986.2000122070312,Above Opening High,21:23:00,986.0999755859376,Above Opening High,1.1526510834214214,1.15,1.1626778068723258,1.1600036621093637,Crossed Below Opening Low,08:56:00,983.7999877929688
2024-05-09,Thursday,Loss,995.9000244140624,992.5,1008.5,993.2999877929688,3.4000244140623863,34.00024414062386,0.34000244140623864,21:16:00,996.0,Above Opening High,21:17:00,996.4000244140624,Above Opening High,1.2394645513138325,1.25,1.1997992648425992,1.2099975585937615,Not Crossed,N/A,N/A
