Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,2100.10009765625,2097.89990234375,2109.300048828125,2073.199951171875,2.2001953125,22.001953125,0.22001953125,20:37:00,2100.300048828125,Above Opening High,20:46:00,2097.699951171875,Below Opening Low,0.4266818276992018,0.9,1.1817480502134583,2.45,Crossed Below Opening Low,20:45:00,2097.800048828125
2024-03-12,Tuesday,Win,2089.39990234375,2087.199951171875,2106.0,2082.800048828125,2.199951171875,21.99951171875,0.2199951171875,20:41:00,2086.300048828125,Below Opening Low,20:42:00,2086.39990234375,Below Opening Low,0.16804301507335062,0.35,0.1728372110251503,0.3599853515625,Crossed Above Opening High,03:03:00,2089.39990234375
2024-03-13,Wednesday,Win,2099.39990234375,2096.10009765625,2106.199951171875,2040.4000244140625,3.2998046875,32.998046875,0.32998046875,23:39:00,2096.0,Below Opening Low,23:42:00,2096.0,Below Opening Low,2.7249546618636233,5.55999755859375,2.7249546618636233,5.55999755859375,Crossed Above Opening High,02:57:00,2099.39990234375
2024-03-14,Thursday,Win,2056.60009765625,2053.699951171875,2069.60009765625,2049.699951171875,2.900146484375,29.00146484375,0.2900146484375,20:36:00,2056.699951171875,Above Opening High,20:37:00,2056.800048828125,Above Opening High,0.6233159004478191,1.2900146484375,0.6184793305054735,1.2800048828125,Crossed Below Opening Low,09:25:00,2054.39990234375
2024-03-17,Sunday,Win,2063.60009765625,2060.5,2076.39990234375,2047.0999755859375,3.10009765625,31.0009765625,0.310009765625,21:36:00,2063.800048828125,Above Opening High,21:37:00,2063.800048828125,Above Opening High,0.6068124690914709,1.2599853515625,0.6068124690914709,1.2599853515625,Crossed Below Opening Low,09:39:00,2057.39990234375
2024-03-18,Monday,Win,2049.199951171875,2047.9000244140625,2065.699951171875,2032.5,1.2999267578125,12.999267578125,0.12999267578125,20:46:00,2047.5,Below Opening Low,20:47:00,2047.4000244140625,Below Opening Low,0.7380073800738007,1.5,0.7330885320571956,1.49000244140625,Crossed Above Opening High,23:40:00,2050.0
2024-03-19,Tuesday,Win,2059.199951171875,2056.699951171875,2108.60009765625,2047.800048828125,2.5,25.0,0.25,21:13:00,2056.5,Below Opening Low,21:15:00,2056.60009765625,Below Opening Low,0.4248437818357138,0.8699951171875,0.42973183994017966,0.8800048828125,Crossed Above Opening High,10:24:00,2058.89990234375
2024-03-20,Wednesday,Win,2110.39990234375,2105.5,2132.699951171875,2104.699951171875,4.89990234375,48.9990234375,0.489990234375,20:35:00,2105.300048828125,Below Opening Low,20:38:00,2104.800048828125,Below Opening Low,0.028512266364422726,0.060009765625,0.004755910988369942,0.010009765625,Crossed Above Opening High,23:10:00,2110.800048828125
2024-03-21,Thursday,Win,2129.300048828125,2127.300048828125,2132.199951171875,2092.699951171875,2.0,20.0,0.2,20:36:00,2129.39990234375,Above Opening High,20:55:00,2129.800048828125,Above Opening High,0.1313220566666869,0.2800048828125,0.11255521990003768,0.239990234375,Crossed Below Opening Low,21:55:00,2127.300048828125
2024-03-24,Sunday,Win,2096.60009765625,2093.699951171875,2111.89990234375,2089.199951171875,2.900146484375,29.00146484375,0.2900146484375,20:45:00,2093.5,Below Opening Low,20:45:00,2093.5,Below Opening Low,0.20582275170516898,0.4300048828125,0.20582275170516898,0.4300048828125,Crossed Above Opening High,09:03:00,2096.300048828125
2024-03-25,Monday,Win,2104.89990234375,2102.699951171875,2118.199951171875,2091.5,2.199951171875,21.99951171875,0.2199951171875,20:31:00,2105.0,Above Opening High,20:36:00,2105.39990234375,Above Opening High,0.6231683257556608,1.3199951171875,0.6042889775841742,1.2800048828125,Crossed Below Opening Low,23:40:00,2102.800048828125
2024-03-26,Tuesday,Loss,2098.60009765625,2097.10009765625,2139.5,2097.5,1.5,15.0,0.15,20:35:00,2098.800048828125,Above Opening High,20:35:00,2098.800048828125,Above Opening High,1.90231134245735,4.0699951171875,1.90231134245735,4.0699951171875,Not Crossed,N/A,N/A
2024-03-27,Wednesday,Win,2138.10009765625,2133.89990234375,2161.800048828125,2132.39990234375,4.2001953125,42.001953125,0.42001953125,21:44:00,2133.800048828125,Below Opening Low,23:00:00,2133.5,Below Opening Low,0.06566059597151921,0.1400146484375,0.05158965047038633,0.110009765625,Crossed Above Opening High,06:26:00,2137.89990234375
2024-03-31,Sunday,Loss,2166.10009765625,2162.39990234375,2164.699951171875,2119.5,3.7001953125,37.001953125,0.37001953125,21:33:00,2162.300048828125,Below Opening Low,21:34:00,2162.199951171875,Below Opening Low,2.019346488706063,4.2800048828125,2.0146237873024297,4.2699951171875,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,2125.10009765625,2122.10009765625,2129.5,2072.10009765625,3.0,30.0,0.3,21:30:00,2125.199951171875,Above Opening High,22:35:00,2125.199951171875,Above Opening High,0.2019276275240667,0.4300048828125,0.2019276275240667,0.4300048828125,Crossed Below Opening Low,00:23:00,2122.10009765625
2024-04-02,Tuesday,Win,2086.5,2081.10009765625,2102.699951171875,2069.89990234375,5.39990234375,53.9990234375,0.539990234375,02:00:00,2080.699951171875,Below Opening Low,02:01:00,2080.800048828125,Below Opening Low,0.5217667200184943,1.0800048828125,0.5266025894311483,1.0900146484375,Crossed Above Opening High,07:12:00,2087.10009765625
