Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-04-28,Sunday,Win,27.545000076293945,27.19499969482422,27.73500061035156,26.959999084472656,0.35000038146972656,70.00007629394531,0.0017500019073486328,20:49:00,27.184999465942383,Below Opening Low,00:08:00,27.549999237060547,Above Opening High,0.8345711762257192,0.001125001907348633,0.6670321587155972,0.0009250068664550604,Crossed Above Opening High,21:59:00,27.549999237060547
2024-04-29,Monday,Win,27.395000457763672,27.325000762939453,27.43000030517578,26.545000076293945,0.06999969482421875,13.99993896484375,0.00034999847412109375,21:02:00,27.40999984741211,Above Opening High,21:18:00,27.40999984741211,Above Opening High,0.07291453715331522,0.00010000228881835937,0.07291453715331522,0.00010000228881835937,Crossed Below Opening Low,21:12:00,27.325000762939453
2024-04-30,Tuesday,Win,26.649999618530273,26.575000762939453,27.25,26.549999237060547,0.07499885559082031,14.999771118164062,0.00037499427795410154,20:49:00,26.565000534057617,Below Opening Low,20:49:00,26.565000534057617,Below Opening Low,0.056502061876259266,7.500648498535157e-05,0.056502061876259266,7.500648498535157e-05,Crossed Above Opening High,21:46:00,26.6299991607666
2024-05-01,Wednesday,Win,27.045000076293945,26.934999465942383,27.065000534057617,26.2549991607666,0.1100006103515625,22.0001220703125,0.0005500030517578125,21:05:00,27.049999237060547,Above Opening High,21:06:00,27.059999465942383,Above Opening High,0.05542692296714801,7.500648498535157e-05,0.018477990085170003,2.5005340576171874e-05,Crossed Below Opening Low,22:29:00,26.94499969482422
2024-05-02,Thursday,Win,26.934999465942383,26.854999542236328,27.13999938964844,26.354999542236328,0.07999992370605469,15.999984741210938,0.00039999961853027344,20:56:00,26.940000534057617,Above Opening High,21:02:00,26.950000762939453,Above Opening High,0.7369154756396424,0.0009999942779541193,0.7000686476855853,0.0009499931335449396,Crossed Below Opening Low,22:21:00,26.854999542236328
2024-05-05,Sunday,Loss,26.825000762939453,26.655000686645508,27.729999542236328,26.684999465942383,0.1700000762939453,34.00001525878906,0.0008500003814697265,21:00:00,26.899999618530273,Above Opening High,21:01:00,26.934999465942383,Above Opening High,2.993147989208795,0.004149999618530274,2.866931443987436,0.003975000381469727,Not Crossed,N/A,N/A
2024-05-06,Monday,Win,27.75,27.65999984741211,27.770000457763672,27.38999938964844,0.09000015258789062,18.000030517578125,0.00045000076293945314,20:37:00,27.649999618530273,Below Opening Low,20:38:00,27.649999618530273,Below Opening Low,0.9492524084542141,0.001300001144409162,0.9492524084542141,0.001300001144409162,Crossed Above Opening High,09:17:00,27.7450008392334
2024-05-07,Tuesday,Win,27.520000457763672,27.479999542236328,27.725000381469727,27.239999771118164,0.04000091552734375,8.00018310546875,0.00020000457763671875,21:04:00,27.434999465942383,Below Opening Low,21:04:00,27.434999465942383,Below Opening Low,0.7158579165296898,0.0009749984741210938,0.7158579165296898,0.0009749984741210938,Crossed Above Opening High,22:42:00,27.530000686645508
2024-05-08,Wednesday,Win,27.579999923706055,27.51499938964844,28.545000076293945,27.51499938964844,0.06500053405761363,13.000106811522727,0.0003250026702880682,20:50:00,27.584999084472656,Above Opening High,20:52:00,27.584999084472656,Above Opening High,3.3631143431614516,0.004800004959106445,3.3631143431614516,0.004800004959106445,Crossed Below Opening Low,20:30:00,27.530000686645508
2024-05-09,Thursday,Win,28.6200008392334,28.545000076293945,29.0,28.270000457763672,0.07500076293945312,15.000152587890625,0.00037500381469726565,20:47:00,28.540000915527344,Below Opening Low,20:48:00,28.53499984741211,Below Opening Low,0.9550776561431671,0.0013500022888183593,0.9373872846035339,0.0013249969482421874,Crossed Above Opening High,21:02:00,28.61000061035156
2024-05-12,Sunday,Win,28.440000534057617,28.38999938964844,28.614999771118164,28.184999465942383,0.050001144409176135,10.000228881835227,0.0002500057220458807,20:48:00,28.454999923706055,Above Opening High,20:48:00,28.454999923706055,Above Opening High,0.5591467715949494,0.0007999992370605469,0.5591467715949494,0.0007999992370605469,Crossed Below Opening Low,21:00:00,28.385000228881836
2024-05-13,Monday,Win,28.575000762939453,28.48500061035156,28.98500061035156,28.309999465942383,0.09000015258789418,18.000030517578836,0.00045000076293947086,21:40:00,28.46500015258789,Below Opening Low,21:41:00,28.454999923706055,Below Opening Low,0.5475121496627982,0.000775003433227539,0.5121881331651418,0.0007250022888183594,Crossed Above Opening High,21:19:00,28.56999969482422
2024-05-14,Tuesday,Win,28.885000228881836,28.815000534057617,29.989999771118164,28.674999237060547,0.06999969482421875,13.99993896484375,0.00034999847412109375,20:39:00,28.809999465942383,Below Opening Low,21:00:00,28.7549991607666,Below Opening Low,0.4707941847383104,0.0006750011444091797,0.2789884074440011,0.00039999961853027344,Crossed Above Opening High,03:00:00,28.88999938964844
2024-05-15,Wednesday,Win,30.05500030517578,29.905000686645508,30.104999542236328,29.55500030517578,0.14999961853027344,29.999923706054688,0.0007499980926513671,21:02:00,30.075000762939453,Above Opening High,21:18:00,30.06999969482422,Above Opening High,0.09964716742409412,0.000149993896484375,0.11625925243083207,0.00017499923706054688,Crossed Below Opening Low,21:07:00,29.934999465942383
2024-05-16,Thursday,Win,29.954999923706055,29.8799991607666,31.809999465942383,29.700000762939453,0.07500076293945312,15.000152587890625,0.00037500381469726565,20:59:00,29.875,Below Opening Low,21:01:00,29.850000381469727,Below Opening Low,0.5892230052698051,0.0008749961853027344,0.5050492076668477,0.0007499980926513671,Crossed Above Opening High,02:21:00,29.959999084472656
2024-05-19,Sunday,Win,31.729999542236328,31.579999923706055,32.75,31.18000030517578,0.14999961853027344,29.999923706054688,0.0007499980926513671,20:31:00,31.739999771118164,Above Opening High,20:32:00,31.739999771118164,Above Opening High,3.0839701645246897,0.00505000114440918,3.0839701645246897,0.00505000114440918,Crossed Below Opening Low,08:01:00,31.604999542236328
2024-05-20,Monday,Win,32.10499954223633,31.96500015258789,32.720001220703125,31.280000686645508,0.1399993896484375,27.9998779296875,0.0006999969482421875,20:43:00,32.1150016784668,Above Opening High,20:46:00,32.125,Above Opening High,1.8490205368743173,0.0030249977111816407,1.8184633206145673,0.002975006103515625,Crossed Below Opening Low,21:55:00,31.829999923706055
2024-05-21,Tuesday,Win,32.29999923706055,32.255001068115234,32.439998626708984,30.96500015258789,0.0449981689453125,8.9996337890625,0.0002249908447265625,20:33:00,32.25,Below Opening Low,20:36:00,32.244998931884766,Below Opening Low,4.14984608777635,0.006424999237060547,4.133695375389493,0.006399993896484375,Crossed Above Opening High,21:01:00,32.30500030517578
