Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,38839.0,38809.0,39094.0,38653.0,30.0,30.0,30.0,23:18:00,38840.0,Above Opening High,23:18:00,38840.0,Above Opening High,0.6497160689619891,254.0,0.6497160689619891,254.0,Crossed Below Opening Low,04:18:00,38807.0
2024-03-12,Tuesday,Win,39038.0,39023.0,39225.0,38950.0,15.0,15.0,15.0,20:41:00,39015.0,Below Opening Low,20:43:00,39009.0,Below Opening Low,0.1668806161745828,65.0,0.1514762516046213,59.0,Crossed Above Opening High,01:57:00,39035.0
2024-03-13,Wednesday,Win,39105.0,39078.0,39244.0,38706.0,27.0,27.0,27.0,01:54:00,39107.0,Above Opening High,01:54:00,39107.0,Above Opening High,0.3490979512791764,137.0,0.3490979512791764,137.0,Crossed Below Opening Low,09:46:00,39072.0
2024-03-14,Thursday,Win,38891.0,38867.0,38994.0,38702.0,24.0,24.0,24.0,20:32:00,38896.0,Above Opening High,20:32:00,38896.0,Above Opening High,0.2513207160075909,98.0,0.2513207160075909,98.0,Crossed Below Opening Low,09:22:00,38866.0
2024-03-17,Sunday,Win,39132.0,39101.0,39337.0,39089.0,31.0,31.0,31.0,21:05:00,39133.0,Above Opening High,21:09:00,39133.0,Above Opening High,0.5185957241274118,204.0,0.5185957241274118,204.0,Crossed Below Opening Low,04:29:00,39099.0
2024-03-18,Monday,Win,39230.0,39211.0,39556.0,39115.0,19.0,19.0,19.0,20:31:00,39210.0,Below Opening Low,20:32:00,39210.0,Below Opening Low,0.24287357791128722,95.0,0.24287357791128722,95.0,Crossed Above Opening High,23:42:00,39219.0
2024-03-19,Tuesday,Win,39546.0,39525.0,39974.0,39426.0,21.0,21.0,21.0,21:33:00,39524.0,Below Opening Low,21:34:00,39524.0,Below Opening Low,0.24856693552478057,98.0,0.24856693552478057,98.0,Crossed Above Opening High,03:08:00,39553.0
2024-03-20,Wednesday,Win,40025.0,40002.0,40316.0,40001.0,23.0,23.0,23.0,22:18:00,40026.0,Above Opening High,22:19:00,40026.0,Above Opening High,0.719317392598472,290.0,0.719317392598472,290.0,Crossed Below Opening Low,20:30:00,40005.0
2024-03-21,Thursday,Win,40256.0,40237.0,40267.0,39847.0,19.0,19.0,19.0,21:37:00,40236.0,Below Opening Low,21:38:00,40234.0,Below Opening Low,0.9762340954149622,389.0,0.9712148969809521,387.0,Crossed Above Opening High,20:32:00,40255.0
2024-03-24,Sunday,Win,39847.0,39829.0,39853.0,39681.0,18.0,18.0,18.0,20:54:00,39828.0,Below Opening Low,20:56:00,39828.0,Below Opening Low,0.37045437362969685,147.0,0.37045437362969685,147.0,Crossed Above Opening High,04:11:00,39844.0
2024-03-25,Monday,Win,39736.0,39708.0,39822.0,39657.0,28.0,28.0,28.0,20:35:00,39741.0,Above Opening High,20:36:00,39739.0,Above Opening High,0.20340515293054093,81.0,0.20842750238561603,83.0,Crossed Below Opening Low,09:22:00,39707.0
2024-03-26,Tuesday,Loss,39776.0,39756.0,40162.0,39770.0,20.0,20.0,20.0,20:46:00,39778.0,Above Opening High,20:49:00,39778.0,Above Opening High,0.9561276828843186,384.0,0.9561276828843186,384.0,Not Crossed,N/A,N/A
2024-03-27,Wednesday,Win,40131.0,40102.0,40240.0,40093.0,29.0,29.0,29.0,20:33:00,40132.0,Above Opening High,03:23:00,40097.0,Below Opening Low,0.268389662027833,108.0,0.009976803930860749,4.0,Crossed Below Opening Low,03:14:00,40105.0
2024-03-31,Sunday,Loss,40358.0,40302.0,40328.0,39829.0,56.0,56.0,56.0,21:33:00,40301.0,Below Opening Low,21:36:00,40296.0,Below Opening Low,1.1850661578247006,472.0,1.1725124908985913,467.0,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,39783.0,39741.0,39805.0,39368.0,42.0,42.0,42.0,21:29:00,39784.0,Above Opening High,21:30:00,39784.0,Above Opening High,0.05275719130762467,21.0,0.05275719130762467,21.0,Crossed Below Opening Low,01:19:00,39742.0
2024-04-02,Tuesday,Win,39500.0,39445.0,39633.0,39345.0,55.0,55.0,55.0,21:06:00,39441.0,Below Opening Low,22:15:00,39443.0,Below Opening Low,0.24399542508577965,96.0,0.24907866310840007,98.0,Crossed Above Opening High,07:05:00,39496.0
2024-04-03,Wednesday,Win,39567.0,39504.0,39759.0,38876.0,63.0,63.0,63.0,03:36:00,39569.0,Above Opening High,03:38:00,39570.0,Above Opening High,0.4778792223144445,190.0,0.47536406851278956,189.0,Crossed Below Opening Low,21:04:00,39506.0
2024-04-04,Thursday,Win,38956.0,38913.0,39369.0,38864.0,43.0,43.0,43.0,20:36:00,38896.0,Below Opening Low,20:37:00,38870.0,Below Opening Low,0.08233841086867023,32.0,0.01543845203787567,6.0,Crossed Above Opening High,01:10:00,38949.0
2024-04-07,Sunday,Win,39298.0,39230.0,39331.0,39117.0,68.0,68.0,68.0,20:32:00,39228.0,Below Opening Low,20:33:00,39220.0,Below Opening Low,0.2837640923383695,111.0,0.2633126262238924,103.0,Crossed Above Opening High,09:32:00,39286.0
2024-04-08,Monday,Win,39238.0,39213.0,39307.0,38873.0,25.0,25.0,25.0,21:18:00,39211.0,Below Opening Low,21:19:00,39210.0,Below Opening Low,0.8694981092274843,338.0,0.8669256296143852,337.0,Crossed Above Opening High,07:58:00,39239.0
2024-04-09,Tuesday,Win,39239.0,39211.0,39345.0,38590.0,28.0,28.0,28.0,21:30:00,39210.0,Below Opening Low,21:31:00,39210.0,Below Opening Low,1.6066338429644986,620.0,1.6066338429644986,620.0,Crossed Above Opening High,20:38:00,39236.0
2024-04-10,Wednesday,Win,38717.0,38661.0,38880.0,38473.0,56.0,56.0,56.0,21:50:00,38726.0,Above Opening High,21:51:00,38729.0,Above Opening High,0.39609053497942387,154.0,0.38837448559670784,151.0,Crossed Below Opening Low,04:59:00,38657.0
2024-04-11,Thursday,Win,38772.0,38740.0,38835.0,38132.0,32.0,32.0,32.0,20:34:00,38774.0,Above Opening High,20:35:00,38773.0,Above Opening High,0.15707480365649543,61.0,0.15964980043774946,62.0,Crossed Below Opening Low,06:00:00,38732.0
2024-04-14,Sunday,Win,38357.0,38261.0,38637.0,37911.0,96.0,96.0,96.0,01:01:00,38359.0,Above Opening High,01:02:00,38375.0,Above Opening High,0.7195175608872325,278.0,0.6781064782462406,262.0,Crossed Below Opening Low,21:15:00,38269.0
2024-04-15,Monday,Win,38022.0,37978.0,38283.0,37838.0,44.0,44.0,44.0,21:06:00,37972.0,Below Opening Low,21:07:00,37962.0,Below Opening Low,0.35414133939425974,134.0,0.327712881230509,124.0,Crossed Above Opening High,06:06:00,38037.0
2024-04-16,Tuesday,Win,38155.0,38109.0,38257.0,37855.0,46.0,46.0,46.0,20:31:00,38102.0,Below Opening Low,20:32:00,38086.0,Below Opening Low,0.652489763571523,247.0,0.6102232201822745,231.0,Crossed Above Opening High,04:12:00,38160.0
2024-04-17,Wednesday,Win,38014.0,37984.0,38317.0,37900.0,30.0,30.0,30.0,20:40:00,38015.0,Above Opening High,21:57:00,38020.0,Above Opening High,0.7881619124670511,302.0,0.7751128741811729,297.0,Crossed Below Opening Low,05:22:00,37984.0
2024-04-18,Thursday,Win,37985.0,37881.0,38344.0,37463.0,104.0,104.0,104.0,20:32:00,37877.0,Below Opening Low,20:51:00,37868.0,Below Opening Low,1.10509035581774,414.0,1.081066652430398,405.0,Crossed Above Opening High,08:20:00,37990.0
2024-04-21,Sunday,Win,38356.0,38294.0,38681.0,38208.0,62.0,62.0,62.0,20:40:00,38290.0,Below Opening Low,20:53:00,38288.0,Below Opening Low,0.2146147403685092,82.0,0.20938023450586263,80.0,Crossed Above Opening High,02:28:00,38357.0
2024-04-22,Monday,Win,38493.0,38468.0,38789.0,38442.0,25.0,25.0,25.0,20:36:00,38498.0,Above Opening High,20:37:00,38494.0,Above Opening High,0.7502126891644538,291.0,0.7605248910773673,295.0,Crossed Below Opening Low,21:42:00,38470.0
2024-04-23,Tuesday,Win,38752.0,38719.0,38800.0,38520.0,33.0,33.0,33.0,20:57:00,38753.0,Above Opening High,20:59:00,38754.0,Above Opening High,0.12113402061855671,47.0,0.11855670103092784,46.0,Crossed Below Opening Low,03:17:00,38711.0
2024-04-24,Wednesday,Win,38619.0,38572.0,38637.0,37944.0,47.0,47.0,47.0,20:31:00,38620.0,Above Opening High,20:33:00,38622.0,Above Opening High,0.043999275306053784,17.0,0.03882288997592981,15.0,Crossed Below Opening Low,01:19:00,38572.0
2024-04-25,Thursday,Win,38323.0,38288.0,38535.0,38242.0,35.0,35.0,35.0,20:35:00,38324.0,Above Opening High,21:33:00,38325.0,Above Opening High,0.5475541715323731,211.0,0.544959128065395,210.0,Crossed Below Opening Low,08:52:00,38289.0
2024-04-28,Sunday,Win,38541.0,38490.0,38593.0,38393.0,51.0,51.0,51.0,20:51:00,38543.0,Above Opening High,20:52:00,38542.0,Above Opening High,0.12955717358070115,50.0,0.1321483170523152,51.0,Crossed Below Opening Low,04:55:00,38488.0
2024-04-29,Monday,Win,38546.0,38520.0,38571.0,37981.0,26.0,26.0,26.0,22:18:00,38518.0,Below Opening Low,22:28:00,38518.0,Below Opening Low,1.4138648271504173,537.0,1.4138648271504173,537.0,Crossed Above Opening High,02:04:00,38545.0
2024-04-30,Tuesday,Win,37988.0,37954.0,38527.0,37866.0,34.0,34.0,34.0,21:10:00,37989.0,Above Opening High,21:17:00,37992.0,Above Opening High,1.3964232875645652,538.0,1.3886365406078853,535.0,Crossed Below Opening Low,03:39:00,37955.0
2024-05-01,Wednesday,Win,38199.0,38139.0,38451.0,38038.0,60.0,60.0,60.0,20:36:00,38202.0,Above Opening High,20:37:00,38208.0,Above Opening High,0.6475774362175236,249.0,0.6319731606460169,243.0,Crossed Below Opening Low,09:48:00,38133.0
2024-05-02,Thursday,Win,38617.0,38596.0,38957.0,38585.0,21.0,21.0,21.0,20:36:00,38618.0,Above Opening High,20:37:00,38621.0,Above Opening High,0.8701902097184074,339.0,0.8624894114023153,336.0,Crossed Below Opening Low,03:08:00,38596.0
2024-05-05,Sunday,Win,38900.0,38848.0,39028.0,38834.0,52.0,52.0,52.0,05:18:00,38901.0,Above Opening High,05:19:00,38903.0,Above Opening High,0.3254073998155171,127.0,0.3202828738341703,125.0,Crossed Below Opening Low,11:33:00,38849.0
2024-05-06,Monday,Win,39012.0,38987.0,39127.0,38978.0,25.0,25.0,25.0,23:20:00,39013.0,Above Opening High,23:23:00,39013.0,Above Opening High,0.2913589081708283,114.0,0.2913589081708283,114.0,Crossed Below Opening Low,21:31:00,38987.0
2024-05-07,Tuesday,Win,39030.0,39012.0,39236.0,38936.0,18.0,18.0,18.0,21:57:00,39011.0,Below Opening Low,22:16:00,39008.0,Below Opening Low,0.19262379289089787,75.0,0.18491884117526197,72.0,Crossed Above Opening High,03:00:00,39035.0
2024-05-08,Wednesday,Win,39205.0,39181.0,39558.0,39087.0,24.0,24.0,24.0,21:24:00,39179.0,Below Opening Low,22:27:00,39178.0,Below Opening Low,0.23537237444674702,92.0,0.23281397907232584,91.0,Crossed Above Opening High,09:46:00,39202.0
2024-05-09,Thursday,Win,39598.0,39575.0,39718.0,39532.0,23.0,23.0,23.0,20:33:00,39574.0,Below Opening Low,21:49:00,39574.0,Below Opening Low,0.1062430436102398,42.0,0.1062430436102398,42.0,Crossed Above Opening High,02:24:00,39601.0
2024-05-12,Sunday,Win,39638.0,39617.0,39780.0,39519.0,21.0,21.0,21.0,23:21:00,39642.0,Above Opening High,23:24:00,39642.0,Above Opening High,0.3469079939668175,138.0,0.3469079939668175,138.0,Crossed Below Opening Low,22:52:00,39617.0
