Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,2100.300048828125,2097.800048828125,2109.199951171875,2073.60009765625,2.5,25.0,0.25,20:45:00,2097.0,Below Opening Low,21:00:00,2096.60009765625,Below Opening Low,1.1284674595742186,2.339990234375,1.1091820465284725,2.3,Crossed Above Opening High,20:30:00,2100.300048828125
2024-03-12,Tuesday,Win,2089.300048828125,2086.0,2105.89990234375,2083.0,3.300048828125,33.00048828125,0.3300048828125,21:00:00,2085.5,Below Opening Low,22:15:00,2084.89990234375,Below Opening Low,0.1200192030724916,0.25,0.09120990608497359,0.189990234375,Crossed Above Opening High,03:00:00,2090.800048828125
2024-03-13,Wednesday,Win,2099.699951171875,2096.199951171875,2106.300048828125,2040.300048828125,3.5,35.0,0.35,23:30:00,2096.0,Below Opening Low,00:15:00,2095.39990234375,Below Opening Low,2.729988229126743,5.5699951171875,2.70057600338109,5.5099853515625,Crossed Above Opening High,02:45:00,2100.10009765625
2024-03-14,Thursday,Win,2056.800048828125,2053.800048828125,2069.60009765625,2049.699951171875,3.0,30.0,0.3,21:00:00,2057.199951171875,Above Opening High,21:30:00,2058.300048828125,Above Opening High,0.5991566437601996,1.2400146484375,0.5460015604426146,1.1300048828125,Crossed Below Opening Low,09:15:00,2051.10009765625
2024-03-17,Sunday,Win,2063.60009765625,2060.60009765625,2076.39990234375,2047.199951171875,3.0,30.0,0.3,21:45:00,2065.10009765625,Above Opening High,21:45:00,2065.10009765625,Above Opening High,0.5442017539465915,1.12998046875,0.5442017539465915,1.12998046875,Crossed Below Opening Low,09:30:00,2055.5
2024-03-18,Monday,Win,2049.199951171875,2047.800048828125,2065.699951171875,2032.4000244140625,1.39990234375,13.9990234375,0.139990234375,20:45:00,2046.300048828125,Below Opening Low,21:00:00,2046.199951171875,Below Opening Low,0.6839216811203225,1.39000244140625,0.6789965849262866,1.37999267578125,Crossed Above Opening High,23:30:00,2050.699951171875
2024-03-19,Tuesday,Win,2059.10009765625,2056.800048828125,2108.39990234375,2047.699951171875,2.300048828125,23.00048828125,0.2300048828125,21:00:00,2056.60009765625,Below Opening Low,21:30:00,2056.39990234375,Below Opening Low,0.4346411435562886,0.8900146484375,0.4248645494617568,0.8699951171875,Crossed Above Opening High,10:15:00,2062.5
2024-03-20,Wednesday,Win,2110.5,2104.800048828125,2132.60009765625,2104.699951171875,5.699951171875,56.99951171875,0.5699951171875,23:00:00,2111.39990234375,Above Opening High,23:15:00,2112.0,Above Opening High,0.9941008319280881,2.12001953125,0.965961582712564,2.060009765625,Crossed Below Opening Low,20:30:00,2104.800048828125
2024-03-21,Thursday,Win,2129.60009765625,2127.199951171875,2131.89990234375,2091.199951171875,2.400146484375,24.00146484375,0.2400146484375,20:45:00,2130.10009765625,Above Opening High,21:00:00,2131.10009765625,Above Opening High,0.08442257000534341,0.17998046875,0.03751605254171256,0.07998046875,Crossed Below Opening Low,21:45:00,2125.10009765625
2024-03-24,Sunday,Win,2096.699951171875,2093.39990234375,2111.89990234375,2089.199951171875,3.300048828125,33.00048828125,0.3300048828125,02:00:00,2091.699951171875,Below Opening Low,02:15:00,2091.699951171875,Below Opening Low,0.1196630317073145,0.25,0.1196630317073145,0.25,Crossed Above Opening High,09:00:00,2097.199951171875
