Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-10,Sunday,Win,5131.25,5123.5,5191.5,5103.0,7.75,31.0,1.9375,23:30:00,5123.25,Below Opening Low,00:00:00,5117.75,Below Opening Low,0.3968253968253968,5.0625,0.2890456594160298,3.6875,Crossed Above Opening High,21:30:00,5130.75
2024-03-11,Monday,Win,5202.25,5196.75,5246.75,5175.75,5.5,22.0,1.375,00:45:00,5203.0,Above Opening High,01:00:00,5205.25,Above Opening High,0.8338495258969838,10.9375,0.7909658359937104,10.375,Crossed Below Opening Low,21:00:00,5197.25
2024-03-12,Tuesday,Win,5244.5,5238.75,5247.5,5217.5,5.75,23.0,1.4375,21:00:00,5238.5,Below Opening Low,22:45:00,5236.75,Below Opening Low,0.40249161475802586,5.25,0.36895064686152373,4.8125,Crossed Above Opening High,01:45:00,5243.5
2024-03-13,Wednesday,Win,5239.25,5234.75,5253.5,5188.0,4.5,18.0,1.125,01:45:00,5239.75,Above Opening High,02:15:00,5240.25,Above Opening High,0.2617302750547254,3.4375,0.2522128105072809,3.3125,Crossed Below Opening Low,20:30:00,5235.75
2024-03-14,Thursday,Win,5218.0,5210.0,5230.5,5167.75,8.0,32.0,2.0,21:30:00,5218.25,Above Opening High,05:15:00,5220.75,Above Opening High,0.23420323104865692,3.0625,0.1864066532836249,2.4375,Crossed Below Opening Low,01:30:00,5210.0
2024-03-17,Sunday,Loss,5187.25,5181.75,5240.25,5183.25,5.5,22.0,1.375,21:00:00,5188.25,Above Opening High,21:45:00,5190.0,Above Opening High,0.9923190687467202,13.0,0.95892371547159,12.5625,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,5210.75,5206.75,5244.75,5186.0,4.0,16.0,1.0,20:45:00,5205.0,Below Opening Low,21:15:00,5203.5,Below Opening Low,0.3663709988430389,4.75,0.3374469726185885,4.375,Crossed Above Opening High,23:30:00,5210.0
2024-03-19,Tuesday,Win,5240.75,5236.25,5295.75,5233.0,4.5,18.0,1.125,21:30:00,5234.75,Below Opening Low,21:45:00,5234.5,Below Opening Low,0.033441620485381233,0.4375,0.02866424613032677,0.375,Crossed Above Opening High,03:00:00,5240.25
2024-03-20,Wednesday,Win,5304.0,5299.5,5324.0,5298.75,4.5,18.0,1.125,22:30:00,5304.5,Above Opening High,23:00:00,5305.75,Above Opening High,0.36626596543951917,4.875,0.34278737791134484,4.5625,Crossed Below Opening Low,20:30:00,5299.75
2024-03-21,Thursday,Win,5311.0,5308.25,5311.75,5289.0,2.75,11.0,0.6875,21:30:00,5307.5,Below Opening Low,22:00:00,5304.5,Below Opening Low,0.34978256759311777,4.625,0.2930610701455852,3.875,Crossed Above Opening High,05:00:00,5310.5
2024-03-24,Sunday,Win,5294.75,5291.0,5295.0,5272.75,3.75,15.0,0.9375,21:00:00,5290.75,Below Opening Low,22:30:00,5289.25,Below Opening Low,0.3413778388886255,4.5,0.3129296856479067,4.125,Crossed Above Opening High,21:30:00,5293.75
2024-03-25,Monday,Win,5286.25,5282.0,5300.5,5263.0,4.25,17.0,1.0625,21:00:00,5286.75,Above Opening High,02:45:00,5290.25,Above Opening High,0.25940948967078575,3.4375,0.19337798320913122,2.5625,Crossed Below Opening Low,23:30:00,5282.0
2024-03-26,Tuesday,Win,5276.5,5274.0,5313.75,5270.5,2.5,10.0,0.625,21:45:00,5277.5,Above Opening High,22:30:00,5276.75,Above Opening High,0.6821924253116913,9.0625,0.6963067513526229,9.25,Crossed Below Opening Low,10:00:00,5277.0
2024-03-27,Wednesday,Win,5307.75,5302.5,5321.0,5301.0,5.25,21.0,1.3125,05:15:00,5301.25,Below Opening Low,09:15:00,5309.75,Above Opening High,0.004716091303527636,0.0625,0.21142642360458558,2.8125,Crossed Above Opening High,20:30:00,5306.75
2024-03-31,Sunday,Loss,5333.25,5327.0,5330.5,5282.25,6.25,25.0,1.5625,22:15:00,5326.75,Below Opening Low,22:30:00,5326.0,Below Opening Low,0.8424440342657012,11.125,0.828245539306167,10.9375,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,5291.0,5286.25,5296.0,5235.0,4.75,19.0,1.1875,21:15:00,5291.25,Above Opening High,04:15:00,5294.0,Above Opening High,0.08969033232628398,1.1875,0.0377643504531722,0.5,Crossed Below Opening Low,01:15:00,5287.0
2024-04-02,Tuesday,Win,5260.25,5252.75,5280.75,5244.25,7.5,30.0,1.875,21:45:00,5251.75,Below Opening Low,01:45:00,5248.75,Below Opening Low,0.14301377699385043,1.875,0.08580826619631024,1.125,Crossed Above Opening High,08:00:00,5258.5
2024-04-03,Wednesday,Win,5284.75,5273.75,5308.5,5194.5,11.0,44.0,2.75,06:45:00,5285.5,Above Opening High,08:45:00,5300.0,Above Opening High,0.4332674013374776,5.75,0.16012056136385042,2.125,Crossed Below Opening Low,14:00:00,5266.5
2024-04-04,Thursday,Win,5205.25,5190.75,5272.5,5190.75,14.5,58.0,3.625,01:00:00,5205.75,Above Opening High,02:00:00,5207.0,Above Opening High,1.2660028449502134,16.6875,1.2422949265054528,16.375,Crossed Below Opening Low,20:30:00,5195.75
2024-04-07,Sunday,Win,5260.0,5249.0,5268.75,5236.5,11.0,44.0,2.75,23:15:00,5248.0,Below Opening Low,23:30:00,5246.0,Below Opening Low,0.21961233648429296,2.875,0.18141888666093764,2.375,Crossed Above Opening High,08:30:00,5259.75
2024-04-08,Monday,Win,5257.5,5253.0,5274.5,5208.75,4.5,18.0,1.125,21:45:00,5252.25,Below Opening Low,03:45:00,5249.0,Below Opening Low,0.8351331893448524,10.875,0.7727381809455244,10.0625,Crossed Above Opening High,00:45:00,5257.0
2024-04-09,Tuesday,Win,5265.5,5261.25,5287.5,5177.0,4.25,17.0,1.0625,00:30:00,5265.75,Above Opening High,07:45:00,5268.0,Above Opening High,0.41134751773049644,5.4375,0.36879432624113473,4.875,Crossed Below Opening Low,05:45:00,5260.75
2024-04-10,Wednesday,Win,5202.25,5194.25,5257.5,5171.25,8.0,32.0,2.0,22:00:00,5203.25,Above Opening High,22:15:00,5204.5,Above Opening High,1.0318592486923441,13.5625,1.0080836899667143,13.25,Crossed Below Opening Low,05:00:00,5197.0
2024-04-11,Thursday,Win,5246.5,5240.5,5249.0,5150.0,6.0,24.0,1.5,21:45:00,5247.25,Above Opening High,05:15:00,5236.0,Below Opening Low,0.03333968374928558,0.4375,1.6699029126213591,21.5,Crossed Below Opening Low,04:45:00,5239.5
2024-04-14,Sunday,Win,5187.75,5171.25,5213.5,5094.0,16.5,66.0,4.125,01:00:00,5188.5,Above Opening High,02:30:00,5191.75,Above Opening High,0.47952431188261246,6.25,0.41718615133787285,5.4375,Crossed Below Opening Low,10:45:00,5170.25
2024-04-15,Monday,Win,5107.5,5100.25,5122.75,5078.5,7.25,29.0,1.8125,21:00:00,5097.25,Below Opening Low,22:30:00,5088.5,Below Opening Low,0.36920350497194054,4.6875,0.19690853598503494,2.5,Crossed Above Opening High,07:00:00,5110.75
2024-04-16,Tuesday,Win,5107.0,5093.25,5120.25,5047.0,13.75,55.0,3.4375,01:45:00,5091.0,Below Opening Low,02:00:00,5083.75,Below Opening Low,0.8718050326926888,11.0,0.7281553398058253,9.1875,Crossed Above Opening High,04:30:00,5110.75
2024-04-17,Wednesday,Win,5069.0,5063.75,5095.25,5038.5,5.25,21.0,1.3125,21:45:00,5070.25,Above Opening High,22:00:00,5072.5,Above Opening High,0.49065305922182423,6.25,0.4464942838918601,5.6875,Crossed Below Opening Low,05:30:00,5070.5
2024-04-18,Thursday,Win,5046.0,5027.75,5057.5,4963.25,18.25,73.0,4.5625,20:45:00,5024.25,Below Opening Low,21:00:00,5009.25,Below Opening Low,1.229033395456606,15.25,0.9268120687049816,11.5,Crossed Above Opening High,07:30:00,5044.5
2024-04-21,Sunday,Win,5023.75,5009.5,5076.75,5006.0,14.25,57.0,3.5625,02:00:00,5026.75,Above Opening High,02:15:00,5027.25,Above Opening High,0.9848820603732702,12.5,0.9750332397695375,12.375,Crossed Below Opening Low,20:30:00,5012.75
2024-04-22,Monday,Win,5049.0,5044.0,5113.25,5039.0,5.0,20.0,1.25,21:30:00,5043.75,Below Opening Low,03:00:00,5050.25,Above Opening High,0.09426473506648145,1.1875,1.2320930914780228,15.75,Crossed Above Opening High,20:45:00,5048.25
2024-04-23,Tuesday,Win,5120.0,5113.75,5128.75,5082.0,6.25,25.0,1.5625,21:15:00,5120.25,Above Opening High,22:00:00,5122.5,Above Opening High,0.1657323909334633,2.125,0.12186205215695832,1.5625,Crossed Below Opening Low,04:45:00,5113.75
2024-04-24,Wednesday,Win,5080.5,5071.5,5132.0,5022.25,9.0,36.0,2.25,20:45:00,5081.0,Above Opening High,01:15:00,5069.5,Below Opening Low,0.9937646141855028,12.75,0.9408133804569665,11.8125,Crossed Below Opening Low,01:00:00,5071.0
2024-04-25,Thursday,Win,5121.25,5116.5,5146.5,5104.5,4.75,19.0,1.1875,21:15:00,5121.5,Above Opening High,21:45:00,5123.25,Above Opening High,0.485767026134266,6.25,0.45176333430486737,5.8125,Crossed Below Opening Low,04:45:00,5117.25
2024-04-28,Sunday,Win,5143.0,5137.0,5154.25,5118.75,6.0,24.0,1.5,21:15:00,5143.5,Above Opening High,21:45:00,5146.25,Above Opening High,0.2085657467138769,2.6875,0.1552117184847456,2.0,Crossed Below Opening Low,05:15:00,5138.25
2024-04-29,Monday,Win,5145.5,5141.75,5145.5,5051.5,3.75,15.0,0.9375,23:00:00,5141.5,Below Opening Low,01:15:00,5140.0,Below Opening Low,1.7816490151440167,22.5,1.7519548648916163,22.125,Crossed Above Opening High,07:00:00,5145.0
2024-04-30,Tuesday,Win,5060.25,5052.75,5126.25,5037.75,7.5,30.0,1.875,22:30:00,5062.0,Above Opening High,22:45:00,5061.5,Above Opening High,1.2533528407705437,16.0625,1.263106559375762,16.1875,Crossed Below Opening Low,03:45:00,5051.25
2024-05-01,Wednesday,Win,5070.25,5060.0,5100.5,5036.0,10.25,41.0,2.5625,21:00:00,5071.25,Above Opening High,22:00:00,5073.25,Above Opening High,0.5734731889030487,7.3125,0.5342613469267719,6.8125,Crossed Below Opening Low,09:45:00,5061.25
2024-05-02,Thursday,Win,5109.5,5103.5,5168.0,5099.0,6.0,24.0,1.5,21:15:00,5110.25,Above Opening High,03:30:00,5100.25,Below Opening Low,1.117453560371517,14.4375,0.024514610707981957,0.3125,Crossed Below Opening Low,00:45:00,5104.25
2024-05-05,Sunday,Win,5163.5,5156.0,5207.75,5155.5,7.5,30.0,1.875,04:15:00,5164.5,Above Opening High,05:00:00,5165.75,Above Opening High,0.8304930152177044,10.8125,0.8064903269166146,10.5,Crossed Below Opening Low,20:30:00,5158.0
2024-05-06,Monday,Win,5207.25,5204.25,5226.75,5202.25,3.0,12.0,0.75,23:00:00,5207.5,Above Opening High,23:45:00,5208.25,Above Opening High,0.36829769933515094,4.8125,0.3539484383220931,4.625,Crossed Below Opening Low,20:30:00,5206.25
2024-05-07,Tuesday,Win,5216.0,5212.75,5218.0,5188.75,3.25,13.0,0.8125,22:30:00,5211.5,Below Opening Low,22:45:00,5212.25,Below Opening Low,0.4384485666104553,5.6875,0.45290291496025054,5.875,Crossed Above Opening High,03:00:00,5215.5
2024-05-08,Wednesday,Win,5212.0,5207.25,5244.75,5195.0,4.75,19.0,1.1875,00:15:00,5207.0,Below Opening Low,01:00:00,5206.75,Below Opening Low,0.23099133782483158,3.0,0.22617901828681425,2.9375,Crossed Above Opening High,21:45:00,5211.5
2024-05-09,Thursday,Win,5245.75,5242.25,5264.0,5232.75,3.5,14.0,0.875,21:45:00,5241.25,Below Opening Low,22:15:00,5242.0,Below Opening Low,0.16243848836653768,2.125,0.1767712961635851,2.3125,Crossed Above Opening High,21:00:00,5243.5
2024-05-12,Sunday,Win,5244.75,5241.25,5264.0,5233.25,3.5,14.0,0.875,20:45:00,5245.0,Above Opening High,23:30:00,5248.5,Above Opening High,0.3609422492401216,4.75,0.2944528875379939,3.875,Crossed Below Opening Low,11:30:00,5244.25
2024-05-13,Monday,Win,5246.0,5243.75,5274.25,5216.5,2.25,9.0,0.5625,20:45:00,5243.5,Below Opening Low,21:15:00,5242.5,Below Opening Low,0.5175884213553149,6.75,0.4984184798236365,6.5,Crossed Above Opening High,02:00:00,5245.5
2024-05-14,Tuesday,Win,5273.5,5269.0,5337.0,5266.25,4.5,18.0,1.125,21:30:00,5273.75,Above Opening High,22:00:00,5274.0,Above Opening High,1.1851227281244145,15.8125,1.1804384485666104,15.75,Crossed Below Opening Low,20:30:00,5270.25
2024-05-15,Wednesday,Win,5341.0,5337.25,5349.0,5317.0,3.75,15.0,0.9375,23:15:00,5341.75,Above Opening High,23:30:00,5342.5,Above Opening High,0.1355393531501215,1.8125,0.12151804075528137,1.625,Crossed Below Opening Low,20:30:00,5338.25
2024-05-16,Thursday,Win,5321.25,5318.5,5328.75,5305.5,2.75,11.0,0.6875,21:00:00,5321.75,Above Opening High,21:30:00,5322.75,Above Opening High,0.13136288998357964,1.75,0.11259676284306826,1.5,Crossed Below Opening Low,23:00:00,5318.75
