Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-10,Sunday,Win,18048.0,18010.75,18055.5,17890.0,37.25,149.0,9.3125,22:45:00,18010.5,Below Opening Low,00:00:00,17987.0,Below Opening Low,0.6735606484069312,30.125,0.5422023476802683,24.25,Crossed Above Opening High,21:30:00,18046.0
2024-03-11,Monday,Win,18065.5,18035.75,18491.0,17930.0,29.75,119.0,7.4375,00:45:00,18071.0,Above Opening High,01:00:00,18086.75,Above Opening High,2.271375263641772,105.0,2.186198691255205,101.0625,Crossed Below Opening Low,04:30:00,18054.75
2024-03-12,Tuesday,Win,18486.75,18458.25,18504.25,18281.5,28.5,114.0,7.125,21:30:00,18457.5,Below Opening Low,22:45:00,18452.25,Below Opening Low,0.9627218773076608,44.0,0.9340043213084265,42.6875,Crossed Above Opening High,03:00:00,18496.5
2024-03-13,Wednesday,Win,18377.5,18353.5,18428.25,18161.25,24.0,96.0,6.0,21:45:00,18379.25,Above Opening High,01:00:00,18380.25,Above Opening High,0.2658961105910762,12.25,0.2604696593545236,12.0,Crossed Below Opening Low,08:30:00,18383.5
2024-03-14,Thursday,Win,18259.25,18223.75,18323.0,18006.25,35.5,142.0,8.875,20:45:00,18261.25,Above Opening High,02:00:00,18212.5,Below Opening Low,0.3370081318561371,15.4375,1.1454356126345018,51.5625,Crossed Below Opening Low,00:30:00,18223.5
2024-03-17,Sunday,Loss,18088.75,18063.75,18380.75,18071.75,25.0,100.0,6.25,20:45:00,18089.5,Above Opening High,21:30:00,18099.0,Above Opening High,1.5845381717285747,72.8125,1.532853664839574,70.4375,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,18196.5,18176.0,18289.5,18053.25,20.5,82.0,5.125,20:45:00,18163.5,Below Opening Low,21:00:00,18167.25,Below Opening Low,0.6106933654605127,27.5625,0.6314652486394416,28.5,Crossed Above Opening High,23:00:00,18196.5
2024-03-19,Tuesday,Win,18281.5,18246.75,18540.75,18227.5,34.75,139.0,8.6875,21:00:00,18244.75,Below Opening Low,21:45:00,18233.0,Below Opening Low,0.0946372239747634,4.3125,0.03017418735427239,1.375,Crossed Above Opening High,06:30:00,18285.75
2024-03-20,Wednesday,Win,18585.25,18563.0,18708.5,18552.25,22.25,89.0,5.5625,20:45:00,18561.0,Below Opening Low,22:45:00,18588.25,Above Opening High,0.04716409060895579,2.1875,0.6427559665392736,30.0625,Crossed Above Opening High,22:30:00,18589.75
2024-03-21,Thursday,Win,18595.5,18581.5,18626.0,18492.75,14.0,56.0,3.5,21:30:00,18578.0,Below Opening Low,22:00:00,18563.5,Below Opening Low,0.4609914696299901,21.3125,0.3825823633586135,17.6875,Crossed Above Opening High,21:00:00,18591.0
2024-03-24,Sunday,Win,18598.0,18571.25,18601.25,18415.0,26.75,107.0,6.6875,22:30:00,18568.75,Below Opening Low,01:15:00,18557.0,Below Opening Low,0.8349171870757535,38.4375,0.7711105077382568,35.5,Crossed Above Opening High,21:30:00,18593.5
2024-03-25,Monday,Win,18548.0,18532.25,18618.75,18439.25,15.75,63.0,3.9375,21:00:00,18553.5,Above Opening High,23:45:00,18523.25,Below Opening Low,0.3504531722054381,16.3125,0.4555499816966525,21.0,Crossed Below Opening Low,23:30:00,18520.25
2024-03-26,Tuesday,Win,18493.0,18483.0,18572.25,18378.5,10.0,40.0,2.5,21:45:00,18493.25,Above Opening High,23:15:00,18499.25,Above Opening High,0.4253658011280271,19.75,0.3930595377512148,18.25,Crossed Below Opening Low,21:30:00,18486.0
2024-03-27,Wednesday,Win,18503.5,18475.0,18539.25,18447.25,28.5,114.0,7.125,01:30:00,18504.25,Above Opening High,05:30:00,18468.0,Below Opening Low,0.18878865110508786,8.75,0.11248289040371871,5.1875,Crossed Below Opening Low,05:15:00,18464.75
2024-03-31,Sunday,Loss,18611.75,18589.75,18607.25,18414.5,22.0,88.0,5.5,21:30:00,18586.5,Below Opening Low,21:45:00,18585.75,Below Opening Low,0.9340465394118764,43.0,0.9299736620597899,42.8125,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,18481.25,18458.0,18514.0,18201.0,23.25,93.0,5.8125,22:45:00,18487.0,Above Opening High,23:00:00,18488.75,Above Opening High,0.14583558388246734,6.75,0.13638327751971482,6.3125,Crossed Below Opening Low,21:00:00,18460.75
2024-04-02,Tuesday,Win,18333.25,18300.5,18452.0,18232.75,32.75,131.0,8.1875,21:45:00,18293.5,Below Opening Low,01:15:00,18294.5,Below Opening Low,0.3331916468991238,15.1875,0.33867628306207237,15.4375,Crossed Above Opening High,10:00:00,18370.25
