Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-04-28,Sunday,Loss,926.2999877929688,922.7000122070312,965.5,922.7999877929688,3.5999755859375,35.999755859375,0.35999755859375,20:45:00,927.0999755859376,Above Opening High,23:15:00,928.0,Above Opening High,3.9772164074637377,3.840002441406239,3.8839979285344386,3.75,Not Crossed,N/A,N/A
2024-04-29,Monday,Loss,963.0999755859376,958.0,962.4000244140624,940.0,5.099975585937614,50.99975585937614,0.5099975585937614,23:00:00,957.7999877929688,Below Opening Low,01:15:00,955.2999877929688,Below Opening Low,1.89361572265625,1.779998779296875,1.6276582758477394,1.529998779296875,Not Crossed,N/A,N/A
2024-04-30,Tuesday,Win,947.2000122070312,943.0,967.9000244140624,942.2000122070312,4.20001220703125,42.0001220703125,0.420001220703125,02:45:00,942.9000244140624,Below Opening Low,05:00:00,949.0999755859376,Above Opening High,0.07429549967754843,0.07000122070311363,1.9423544120174763,1.8800048828124774,Crossed Above Opening High,03:15:00,947.5
2024-05-01,Wednesday,Win,969.0,965.2000122070312,971.2000122070312,951.9000244140624,3.79998779296875,37.9998779296875,0.379998779296875,01:30:00,969.2000122070312,Above Opening High,02:15:00,969.7999877929688,Above Opening High,0.20593080466041622,0.2,0.14415407706605918,0.14000244140625,Crossed Below Opening Low,04:00:00,965.0999755859376
2024-05-02,Thursday,Win,966.2000122070312,962.9000244140624,980.2999877929688,957.5,3.2999877929688637,32.99987792968864,0.32999877929688637,21:00:00,966.5999755859376,Above Opening High,21:15:00,967.0,Above Opening High,1.39753263058537,1.3700012207031136,1.3567263040482254,1.329998779296875,Crossed Below Opening Low,09:45:00,962.7000122070312
2024-05-05,Sunday,Loss,964.2999877929688,956.2999877929688,978.5999755859376,956.9000244140624,8.0,80.0,0.8,01:45:00,964.4000244140624,Above Opening High,02:15:00,966.0999755859376,Above Opening High,1.4510475706248607,1.4199951171875227,1.2773350001889805,1.25,Not Crossed,N/A,N/A
2024-05-06,Monday,Win,968.4000244140624,965.7000122070312,992.7999877929688,961.0999755859376,2.7000122070311363,27.000122070311363,0.2700012207031136,20:45:00,970.5,Above Opening High,21:00:00,969.4000244140624,Above Opening High,2.2461712396413755,2.229998779296875,2.356966525646858,2.3399963378906365,Crossed Below Opening Low,03:45:00,963.2000122070312
2024-05-07,Tuesday,Win,991.5,988.0,991.5,972.4000244140624,3.5,35.0,0.35,21:30:00,986.2999877929688,Below Opening Low,21:45:00,985.9000244140624,Below Opening Low,1.4294490980995238,1.3899963378906364,1.3883175299316426,1.35,Crossed Above Opening High,20:30:00,991.5
2024-05-08,Wednesday,Win,986.0,983.9000244140624,997.7000122070312,982.0,2.0999755859376137,20.999755859376137,0.20999755859376137,21:15:00,986.0999755859376,Above Opening High,21:45:00,987.5999755859376,Above Opening High,1.1626778068723258,1.1600036621093637,1.012332013382575,1.0100036621093635,Crossed Below Opening Low,08:45:00,983.5
2024-05-09,Thursday,Loss,995.9000244140624,992.5,1008.5,993.2999877929688,3.4000244140623863,34.00024414062386,0.34000244140623864,21:15:00,996.5999755859376,Above Opening High,21:30:00,997.2999877929688,Above Opening High,1.179972673679959,1.1900024414062387,1.1105614483917947,1.120001220703125,Not Crossed,N/A,N/A
2024-05-12,Sunday,Win,1005.2000122070312,1002.5999755859376,1025.9000244140625,1001.0,2.6000366210936363,26.000366210936363,0.26000366210936365,21:15:00,1001.4000244140624,Below Opening Low,23:30:00,1006.2999877929688,Above Opening High,0.03996247892731132,0.04000244140623863,1.910521118496728,1.960003662109375,Crossed Above Opening High,22:45:00,1005.7000122070312
2024-05-13,Monday,Win,1012.7000122070312,1010.2999877929688,1048.0999755859375,1009.5999755859376,2.4000244140625,24.000244140625,0.24000244140625,21:00:00,1013.0999755859376,Above Opening High,21:15:00,1013.2000122070312,Above Opening High,3.3393760915253554,3.4999999999999885,3.3298315229322966,3.489996337890625,Crossed Below Opening Low,20:45:00,1010.2999877929688
2024-05-14,Tuesday,Loss,1061.699951171875,1048.199951171875,1075.699951171875,1050.5999755859375,13.5,135.0,1.35,22:00:00,1063.5,Above Opening High,22:00:00,1063.5,Above Opening High,1.1341407200571394,1.2199951171875,1.1341407200571394,1.2199951171875,Not Crossed,N/A,N/A
2024-05-15,Wednesday,Win,1084.300048828125,1075.5999755859375,1091.0999755859375,1058.0999755859375,8.7000732421875,87.000732421875,0.87000732421875,02:30:00,1074.5,Below Opening Low,02:45:00,1074.300048828125,Below Opening Low,1.5499503631479399,1.64000244140625,1.5310531722880427,1.62000732421875,Crossed Above Opening High,06:15:00,1085.9000244140625
2024-05-16,Thursday,Win,1073.199951171875,1069.0999755859375,1100.5,1062.0,4.0999755859375,40.999755859375,0.40999755859375,21:15:00,1068.9000244140625,Below Opening Low,23:00:00,1066.5999755859375,Below Opening Low,0.6497198130002354,0.69000244140625,0.4331427105402542,0.45999755859375,Crossed Above Opening High,01:00:00,1074.0999755859375
2024-05-19,Sunday,Win,1098.0999755859375,1091.4000244140625,1105.0,1056.300048828125,6.699951171875,66.99951171875,0.6699951171875,21:00:00,1099.9000244140625,Above Opening High,22:30:00,1100.4000244140625,Above Opening High,0.4615362521210407,0.50999755859375,0.4162873833427602,0.45999755859375,Crossed Below Opening Low,02:15:00,1086.300048828125
2024-05-20,Monday,Win,1059.4000244140625,1048.4000244140625,1070.9000244140625,1039.5999755859375,11.0,110.0,1.1,22:00:00,1044.0999755859375,Below Opening Low,22:15:00,1045.5999755859375,Below Opening Low,0.43285880200831267,0.45,0.5771450693444169,0.6,Crossed Above Opening High,08:15:00,1059.5
2024-05-21,Tuesday,Win,1062.300048828125,1059.300048828125,1069.0999755859375,1043.0,3.0,30.0,0.3,20:45:00,1058.5,Below Opening Low,22:00:00,1068.199951171875,Above Opening High,1.486097794822627,1.55,0.08418524315924963,0.09000244140625,Crossed Above Opening High,21:15:00,1062.9000244140625
2024-05-22,Wednesday,Win,1047.300048828125,1043.199951171875,1053.0,1026.5999755859375,4.10009765625,41.0009765625,0.410009765625,20:45:00,1042.4000244140625,Below Opening Low,21:15:00,1037.800048828125,Below Opening Low,1.5390657708818896,1.5800048828125,1.0909870941497928,1.12000732421875,Crossed Above Opening High,08:30:00,1047.800048828125
2024-05-23,Thursday,Win,1029.5,1024.5,1042.800048828125,1021.9000244140624,5.0,50.0,0.5,21:15:00,1029.9000244140625,Above Opening High,21:30:00,1031.5,Above Opening High,1.2370563684341263,1.29000244140625,1.0836256519956762,1.1300048828125,Crossed Below Opening Low,20:30:00,1024.5
2024-05-26,Sunday,Win,1040.300048828125,1038.0999755859375,1067.699951171875,1038.0999755859375,2.2000732421875,22.000732421875,0.22000732421875,20:45:00,1040.699951171875,Above Opening High,21:30:00,1044.0999755859375,Above Opening High,2.528800340429502,2.7,2.2103565294758027,2.35999755859375,Crossed Below Opening Low,20:30:00,1038.0999755859375
