Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,18066.0,18035.5,18241.75,17930.0,30.5,3050.0,0.305,00:45:00,18071.5,Above Opening High,01:00:00,18085.75,Above Opening High,0.933298614442145,1.7025,0.8551811092685735,1.56,Crossed Below Opening Low,04:30:00,18030.25
2024-03-12,Tuesday,Win,18238.0,18210.0,18256.5,18033.25,28.0,2800.0,0.28,22:30:00,18209.0,Below Opening Low,22:45:00,18204.25,Below Opening Low,0.9745886071562253,1.7575,0.9482483745303814,1.71,Crossed Above Opening High,03:00:00,18250.0
2024-03-13,Wednesday,Win,18126.25,18105.0,18177.75,17915.5,21.25,2125.0,0.2125,21:45:00,18129.0,Above Opening High,01:00:00,18130.25,Above Opening High,0.2681850063951809,0.4875,0.2613084677696635,0.475,Crossed Below Opening Low,08:30:00,18104.0
2024-03-14,Thursday,Win,18010.5,17977.5,18074.75,17831.75,33.0,3300.0,0.33,20:45:00,18013.5,Above Opening High,00:45:00,17974.75,Below Opening Low,0.33887052379700966,0.6125,0.8019403591907692,1.43,Crossed Below Opening Low,00:30:00,17972.25
2024-03-17,Sunday,Loss,18088.5,18063.5,18381.0,18071.75,25.0,2500.0,0.25,20:45:00,18089.75,Above Opening High,21:15:00,18091.75,Above Opening High,1.5845166204232632,2.9125,1.5736358195963223,2.8925,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,18196.25,18175.75,18289.25,18053.25,20.5,2050.0,0.205,20:45:00,18164.0,Below Opening Low,21:00:00,18168.0,Below Opening Low,0.6134629498843698,1.1075,0.6356196252752274,1.1475,Crossed Above Opening High,23:00:00,18200.0
2024-03-19,Tuesday,Win,18281.25,18246.75,18540.75,18227.5,34.5,3450.0,0.345,21:00:00,18244.5,Below Opening Low,21:45:00,18232.75,Below Opening Low,0.09326567000411466,0.17,0.028802633383623648,0.0525,Crossed Above Opening High,06:30:00,18292.5
2024-03-20,Wednesday,Win,18584.75,18563.0,18709.0,18552.5,21.75,2175.0,0.2175,20:45:00,18561.0,Below Opening Low,22:45:00,18588.5,Above Opening High,0.045815927772537395,0.085,0.6440750440964242,1.205,Crossed Above Opening High,22:15:00,18585.0
2024-03-21,Thursday,Win,18595.0,18581.25,18626.0,18492.0,13.75,1375.0,0.1375,21:30:00,18577.75,Below Opening Low,22:00:00,18563.25,Below Opening Low,0.46371403850313647,0.8575,0.3853017521090201,0.7125,Crossed Above Opening High,21:00:00,18595.25
2024-03-24,Sunday,Win,18597.5,18571.75,18601.25,18414.75,25.75,2575.0,0.2575,22:30:00,18569.0,Below Opening Low,01:15:00,18556.25,Below Opening Low,0.8376437366784778,1.5425,0.7684057616856053,1.415,Crossed Above Opening High,21:30:00,18601.25
2024-03-25,Monday,Win,18548.0,18532.25,18619.0,18439.25,15.75,1575.0,0.1575,21:00:00,18553.5,Above Opening High,23:45:00,18523.75,Below Opening Low,0.35179118105161394,0.655,0.45826158873056116,0.845,Crossed Below Opening Low,23:30:00,18517.0
2024-03-26,Tuesday,Win,18493.25,18483.0,18571.75,18378.5,10.25,1025.0,0.1025,22:15:00,18495.0,Above Opening High,23:15:00,18499.25,Above Opening High,0.4132620781563396,0.7675,0.3903778588447508,0.725,Crossed Below Opening Low,21:30:00,18481.75
2024-03-27,Wednesday,Win,18503.75,18474.75,18538.75,18447.5,29.0,2900.0,0.29,01:30:00,18504.0,Above Opening High,05:30:00,18467.75,Below Opening Low,0.1874452161014092,0.3475,0.1097709716763789,0.2025,Crossed Below Opening Low,05:15:00,18464.0
2024-03-31,Sunday,Loss,18612.0,18590.0,18607.0,18414.5,22.0,2200.0,0.22,21:30:00,18586.5,Below Opening Low,21:45:00,18585.5,Below Opening Low,0.9340465394118764,1.72,0.9286160362757611,1.71,Not Crossed,N/A,N/A
