Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,38839.0,38809.0,39094.0,38653.0,30.0,30.0,30.0,23:30:00,38842.0,Above Opening High,01:00:00,38853.0,Above Opening High,0.6446001944032332,252.0,0.6164628843300762,241.0,Crossed Below Opening Low,04:15:00,38789.0
2024-03-12,Tuesday,Win,39038.0,39009.0,39225.0,38950.0,29.0,29.0,29.0,21:15:00,39004.0,Below Opening Low,21:30:00,38999.0,Below Opening Low,0.1386392811296534,54.0,0.1258023106546855,49.0,Crossed Above Opening High,01:45:00,39038.0
2024-03-13,Wednesday,Win,39105.0,39078.0,39244.0,38706.0,27.0,27.0,27.0,01:45:00,39107.0,Above Opening High,01:45:00,39107.0,Above Opening High,0.3490979512791764,137.0,0.3490979512791764,137.0,Crossed Below Opening Low,09:45:00,38910.0
2024-03-14,Thursday,Win,38896.0,38867.0,38994.0,38702.0,29.0,29.0,29.0,21:45:00,38900.0,Above Opening High,21:45:00,38900.0,Above Opening High,0.24106272759911782,94.0,0.24106272759911782,94.0,Crossed Below Opening Low,09:15:00,38702.0
2024-03-17,Sunday,Win,39132.0,39101.0,39337.0,39089.0,31.0,31.0,31.0,21:00:00,39136.0,Above Opening High,21:45:00,39148.0,Above Opening High,0.5109693164196558,201.0,0.4804636855886316,189.0,Crossed Below Opening Low,04:15:00,39099.0
2024-03-18,Monday,Win,39230.0,39207.0,39556.0,39115.0,23.0,23.0,23.0,20:45:00,39201.0,Below Opening Low,21:00:00,39201.0,Below Opening Low,0.21986450210916528,86.0,0.21986450210916528,86.0,Crossed Above Opening High,23:30:00,39232.0
2024-03-19,Tuesday,Win,39546.0,39525.0,39988.0,39426.0,21.0,21.0,21.0,21:30:00,39521.0,Below Opening Low,21:45:00,39520.0,Below Opening Low,0.24095774362096078,95.0,0.2384213463196875,94.0,Crossed Above Opening High,03:00:00,39559.0
2024-03-20,Wednesday,Win,40025.0,40001.0,40316.0,40001.0,24.0,24.0,24.0,22:15:00,40032.0,Above Opening High,22:30:00,40039.0,Above Opening High,0.7044349637860898,284.0,0.687072130171644,277.0,Crossed Below Opening Low,20:30:00,40001.0
2024-03-21,Thursday,Win,40258.0,40237.0,40267.0,39825.0,21.0,21.0,21.0,21:30:00,40235.0,Below Opening Low,22:00:00,40218.0,Below Opening Low,1.0295040803515378,410.0,0.9868173258003767,393.0,Crossed Above Opening High,20:30:00,40258.0
2024-03-24,Sunday,Win,39847.0,39827.0,39853.0,39681.0,20.0,20.0,20.0,21:00:00,39821.0,Below Opening Low,22:30:00,39814.0,Below Opening Low,0.35281368917113987,140.0,0.3351730047125829,133.0,Crossed Above Opening High,04:00:00,39853.0
2024-03-25,Monday,Win,39742.0,39708.0,39822.0,39657.0,34.0,34.0,34.0,20:45:00,39745.0,Above Opening High,03:00:00,39749.0,Above Opening High,0.19336045402039073,77.0,0.18331575511024056,73.0,Crossed Below Opening Low,09:15:00,39701.0
2024-03-26,Tuesday,Loss,39777.0,39756.0,40177.0,39770.0,21.0,21.0,21.0,21:00:00,39780.0,Above Opening High,22:00:00,39779.0,Above Opening High,0.9881275356547278,397.0,0.9906165218906339,398.0,Not Crossed,N/A,N/A
2024-03-27,Wednesday,Win,40135.0,40102.0,40240.0,40093.0,33.0,33.0,33.0,03:15:00,40101.0,Below Opening Low,04:45:00,40138.0,Above Opening High,0.019953607861721498,8.0,0.25347912524850896,102.0,Crossed Above Opening High,20:30:00,40135.0
2024-03-31,Sunday,Loss,40358.0,40302.0,40328.0,39829.0,56.0,56.0,56.0,21:30:00,40292.0,Below Opening Low,21:45:00,40294.0,Below Opening Low,1.1624695573577042,463.0,1.1674910241281478,465.0,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,39783.0,39741.0,39805.0,39368.0,42.0,42.0,42.0,21:15:00,39784.0,Above Opening High,04:15:00,39795.0,Above Opening High,0.05275719130762467,21.0,0.025122472051249845,10.0,Crossed Below Opening Low,01:15:00,39740.0
