Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-10,Sunday,Win,38774.0,38726.0,39258.0,38565.0,48.0,48.0,48.0,22:30:00,38720.0,Below Opening Low,22:35:00,38721.0,Below Opening Low,0.401918838324906,155.0,0.4045118630882925,156.0,Crossed Above Opening High,21:40:00,38783.0
2024-03-11,Monday,Win,39277.0,39251.0,39543.0,39093.0,26.0,26.0,26.0,23:35:00,39278.0,Above Opening High,00:45:00,39278.0,Above Opening High,0.6701565384518119,265.0,0.6701565384518119,265.0,Crossed Below Opening Low,21:05:00,39251.0
2024-03-12,Tuesday,Win,39488.0,39468.0,39683.0,39404.0,20.0,20.0,20.0,20:40:00,39460.0,Below Opening Low,20:50:00,39461.0,Below Opening Low,0.1421175515176124,56.0,0.14465536493756978,57.0,Crossed Above Opening High,03:00:00,39489.0
2024-03-13,Wednesday,Win,39559.0,39531.0,39698.0,39138.0,28.0,28.0,28.0,01:55:00,39561.0,Above Opening High,02:05:00,39562.0,Above Opening High,0.34510554687893596,137.0,0.3425865282885788,136.0,Crossed Below Opening Low,09:30:00,39529.0
2024-03-14,Thursday,Win,39336.0,39295.0,39427.0,39048.0,41.0,41.0,41.0,20:50:00,39339.0,Above Opening High,21:50:00,39345.0,Above Opening High,0.22319730134172014,88.0,0.2079793035229665,82.0,Crossed Below Opening Low,09:20:00,39256.0
2024-03-17,Sunday,Win,39133.0,39099.0,39337.0,39089.0,34.0,34.0,34.0,21:10:00,39135.0,Above Opening High,21:10:00,39135.0,Above Opening High,0.5135114523222412,202.0,0.5135114523222412,202.0,Crossed Below Opening Low,04:25:00,39099.0
2024-03-18,Monday,Win,39230.0,39208.0,39555.0,39116.0,22.0,22.0,22.0,20:45:00,39206.0,Below Opening Low,20:55:00,39200.0,Below Opening Low,0.23008487575416708,90.0,0.21474588403722264,84.0,Crossed Above Opening High,23:40:00,39233.0
2024-03-19,Tuesday,Win,39547.0,39525.0,39972.0,39426.0,22.0,22.0,22.0,21:30:00,39524.0,Below Opening Low,21:40:00,39522.0,Below Opening Low,0.24856693552478057,98.0,0.24349414092223404,96.0,Crossed Above Opening High,03:05:00,39554.0
2024-03-20,Wednesday,Win,40027.0,40001.0,40315.0,40001.0,26.0,26.0,26.0,22:20:00,40029.0,Above Opening High,22:25:00,40032.0,Above Opening High,0.7094133697135061,286.0,0.7019719707304973,283.0,Crossed Below Opening Low,20:35:00,40001.0
2024-03-21,Thursday,Win,40257.0,40237.0,40270.0,39839.0,20.0,20.0,20.0,21:35:00,40233.0,Below Opening Low,21:50:00,40225.0,Below Opening Low,0.988980647104596,394.0,0.9688998217826752,386.0,Crossed Above Opening High,20:30:00,40257.0
