Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,18060.75,18035.5,18241.75,17930.0,25.25,101.0,6.3125,00:50:00,18069.0,Above Opening High,00:55:00,18071.5,Above Opening High,0.9470034399111928,43.1875,0.933298614442145,42.5625,Crossed Below Opening Low,04:30:00,18030.25
2024-03-12,Tuesday,Win,18238.0,18224.5,18256.5,18033.25,13.5,54.0,3.375,20:35:00,18223.0,Below Opening Low,20:40:00,18212.0,Below Opening Low,1.052222977000818,47.4375,0.9912245435514953,44.6875,Crossed Above Opening High,03:00:00,18250.0
2024-03-13,Wednesday,Win,18126.25,18105.0,18177.75,17915.5,21.25,85.0,5.3125,21:55:00,18129.0,Above Opening High,21:55:00,18129.0,Above Opening High,0.2681850063951809,12.1875,0.2681850063951809,12.1875,Crossed Below Opening Low,08:30:00,18104.0
2024-03-14,Thursday,Win,18008.75,17977.5,18074.75,17831.75,31.25,125.0,7.8125,20:50:00,18014.25,Above Opening High,21:00:00,18016.0,Above Opening High,0.3347210888117401,15.125,0.32503907384611125,14.6875,Crossed Below Opening Low,00:35:00,17972.25
2024-03-17,Sunday,Loss,18088.5,18063.5,18381.0,18071.75,25.0,100.0,6.25,20:55:00,18089.75,Above Opening High,21:10:00,18098.75,Above Opening High,1.5845166204232632,72.8125,1.5355530167020293,70.5625,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,18196.25,18175.75,18289.25,18053.25,20.5,82.0,5.125,20:45:00,18169.25,Below Opening Low,20:50:00,18164.25,Below Opening Low,0.6425435863348704,29.0,0.6148477420962984,27.75,Crossed Above Opening High,23:00:00,18197.75
2024-03-19,Tuesday,Win,18281.25,18246.75,18527.0,18227.5,34.5,138.0,8.625,21:10:00,18244.5,Below Opening Low,21:35:00,18236.5,Below Opening Low,0.09326567000411466,4.25,0.04937594294335482,2.25,Crossed Above Opening High,06:30:00,18292.5
2024-03-20,Wednesday,Win,18584.75,18569.0,18709.0,18552.5,15.75,63.0,3.9375,20:35:00,18565.0,Below Opening Low,20:40:00,18565.25,Below Opening Low,0.06737636437137852,3.125,0.06872389165880609,3.1875,Crossed Above Opening High,22:25:00,18585.0
2024-03-21,Thursday,Win,18595.0,18584.0,18626.0,18492.0,11.0,44.0,2.75,20:40:00,18583.0,Below Opening Low,20:45:00,18583.25,Below Opening Low,0.49210469392169587,22.75,0.49345662989400824,22.8125,Crossed Above Opening High,21:05:00,18595.25
2024-03-24,Sunday,Win,18597.5,18571.75,18601.25,18414.75,25.75,103.0,6.4375,21:35:00,18597.75,Above Opening High,00:20:00,18569.25,Below Opening Low,0.018815939788992677,0.875,0.8390013440312794,38.625,Crossed Below Opening Low,22:15:00,18568.0
2024-03-25,Monday,Win,18547.25,18532.25,18619.0,18439.25,15.0,60.0,3.75,20:45:00,18548.5,Above Opening High,21:05:00,18551.5,Above Opening High,0.37864546968150814,17.625,0.3625328965035716,16.875,Crossed Below Opening Low,23:35:00,18530.5
2024-03-26,Tuesday,Win,18493.25,18483.0,18571.75,18378.5,10.25,41.0,2.5625,21:35:00,18482.5,Below Opening Low,22:30:00,18495.75,Above Opening High,0.5658786081562696,26.0,0.409223686513118,19.0,Crossed Above Opening High,20:45:00,18494.25
2024-03-27,Wednesday,Win,18503.75,18474.75,18538.75,18447.5,29.0,116.0,7.25,01:00:00,18507.5,Above Opening High,01:05:00,18505.5,Above Opening High,0.16856584181781403,7.8125,0.17935405569415414,8.3125,Crossed Below Opening Low,05:15:00,18472.5
2024-03-31,Sunday,Loss,18612.0,18590.0,18607.0,18414.5,22.0,88.0,5.5,21:35:00,18586.5,Below Opening Low,21:40:00,18586.5,Below Opening Low,0.9340465394118764,43.0,0.9340465394118764,43.0,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,18481.0,18458.0,18511.0,18201.5,23.0,92.0,5.75,22:30:00,18481.5,Above Opening High,22:55:00,18487.0,Above Opening High,0.15936470206904002,7.375,0.1296526389714224,6.0,Crossed Below Opening Low,21:10:00,18457.75
2024-04-02,Tuesday,Win,18333.25,18300.5,18451.75,18232.5,32.75,131.0,8.1875,21:15:00,18295.25,Below Opening Low,22:15:00,18299.0,Below Opening Low,0.34416563828328534,15.6875,0.3647333059097765,16.625,Crossed Above Opening High,10:00:00,18353.5
2024-04-03,Wednesday,Win,18485.0,18416.5,18568.0,18069.25,68.5,274.0,17.125,03:05:00,18413.25,Below Opening Low,08:45:00,18512.25,Above Opening High,1.9037868201502555,86.0,0.3002477380439466,13.9375,Crossed Above Opening High,08:35:00,18487.0
2024-04-04,Thursday,Win,18110.0,18084.0,18408.25,18051.5,26.0,104.0,6.5,20:35:00,18078.25,Below Opening Low,20:45:00,18081.5,Below Opening Low,0.1481871312633299,6.6875,0.1661911752485943,7.5,Crossed Above Opening High,23:55:00,18110.75
2024-04-07,Sunday,Win,18325.5,18283.75,18376.0,18237.5,41.75,167.0,10.4375,21:40:00,18332.0,Above Opening High,03:50:00,18338.25,Above Opening High,0.239442751414889,11.0,0.2054309969525468,9.4375,Crossed Below Opening Low,20:30:00,18283.75
2024-04-08,Monday,Win,18313.75,18291.75,18407.25,18160.75,22.0,88.0,5.5,21:55:00,18287.5,Below Opening Low,22:05:00,18288.75,Below Opening Low,0.6979337307104607,31.6875,0.7048167063584929,32.0,Crossed Above Opening High,00:35:00,18314.25
2024-04-09,Tuesday,Win,18380.75,18366.75,18474.25,18053.5,14.0,56.0,3.5,20:50:00,18381.0,Above Opening High,23:20:00,18382.25,Above Opening High,0.5047566207017876,23.3125,0.4979904461615492,23.0,Crossed Below Opening Low,05:50:00,18361.0
2024-04-10,Wednesday,Win,18176.75,18147.75,18518.75,18088.0,29.0,116.0,7.25,21:50:00,18180.75,Above Opening High,22:00:00,18179.0,Above Opening High,1.8251771852851837,84.5,1.8346270671616605,84.9375,Crossed Below Opening Low,05:20:00,18145.5
2024-04-11,Thursday,Win,18495.75,18473.0,18507.75,18120.25,22.75,91.0,5.6875,20:40:00,18497.0,Above Opening High,02:45:00,18502.5,Above Opening High,0.05808377571557861,2.6875,0.028366495116910483,1.3125,Crossed Below Opening Low,03:25:00,18472.5
2024-04-14,Sunday,Win,18255.0,18192.5,18350.75,17841.5,62.5,250.0,15.625,01:00:00,18258.25,Above Opening High,02:25:00,18269.25,Above Opening High,0.504066591283735,23.125,0.44412353718512865,20.375,Crossed Below Opening Low,10:10:00,18191.0
2024-04-15,Monday,Win,17893.75,17863.25,17988.0,17792.0,30.5,122.0,7.625,22:00:00,17861.5,Below Opening Low,22:30:00,17840.25,Below Opening Low,0.390625,17.375,0.2711892985611511,12.0625,Crossed Above Opening High,07:30:00,17898.75
2024-04-16,Tuesday,Win,17940.0,17892.25,17968.5,17620.25,47.75,191.0,11.9375,01:40:00,17885.25,Below Opening Low,01:45:00,17877.0,Below Opening Low,1.503951419531505,66.25,1.4571302904328827,64.1875,Crossed Above Opening High,06:30:00,17940.5
2024-04-17,Wednesday,Win,17700.5,17678.5,17770.75,17506.25,22.0,88.0,5.5,21:15:00,17702.5,Above Opening High,22:00:00,17704.5,Above Opening High,0.3840580729569658,17.0625,0.37280362393258587,16.5625,Crossed Below Opening Low,05:30:00,17677.5
2024-04-18,Thursday,Win,17517.25,17437.75,17553.25,17113.25,79.5,318.0,19.875,20:55:00,17437.5,Below Opening Low,21:05:00,17396.5,Below Opening Low,1.8947306911311412,81.0625,1.6551502490760084,70.8125,Crossed Above Opening High,08:10:00,17518.0
2024-04-21,Sunday,Win,17273.0,17249.25,17448.0,17148.5,23.75,95.0,5.9375,20:35:00,17229.75,Below Opening Low,20:40:00,17216.75,Below Opening Low,0.47380237338542724,20.3125,0.39799399364375887,17.0625,Crossed Above Opening High,01:40:00,17276.25
2024-04-22,Monday,Win,17338.5,17316.0,17661.0,17291.5,22.5,90.0,5.625,21:40:00,17315.75,Below Opening Low,21:50:00,17295.0,Below Opening Low,0.140242315588584,6.0625,0.020241158950929646,0.875,Crossed Above Opening High,00:10:00,17342.25
2024-04-23,Tuesday,Win,17717.25,17681.25,17795.5,17567.25,36.0,144.0,9.0,21:15:00,17722.0,Above Opening High,21:20:00,17722.25,Above Opening High,0.41302576494057486,18.375,0.41162091539996065,18.3125,Crossed Below Opening Low,05:45:00,17678.75
2024-04-24,Wednesday,Win,17484.25,17447.25,17788.0,17308.25,37.0,148.0,9.25,20:45:00,17488.0,Above Opening High,20:50:00,17486.25,Above Opening High,1.6865302451090622,75.0,1.696368338205532,75.4375,Crossed Below Opening Low,01:00:00,17442.0
